lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.409749299287796,0.6052014827728271,0.18197482824325562,0.8821691870689392,0.5118778944015503,0.6215333938598633,0.49715033173561096,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.5107921361923218,0.26246440410614014,0.4740000069141388,0.4989134669303894,0.4991588890552521,0.45430025458335876,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,1.2190722227096558,0.6423519849777222,0.21723252534866333,0.1307743787765503,0.5047270655632019,0.527090311050415,0.1225433349609375,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.5767358541488647,0.326102077960968,0.5680000185966492,0.5420297384262085,0.5329047441482544,0.5200768113136292,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.48519834876060486,0.6950178146362305,0.2520834505558014,0.8547199368476868,0.586764931678772,0.6131782531738281,0.5967641472816467,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.5708434581756592,0.3191148638725281,0.6000000238418579,0.5509517788887024,0.5416616797447205,0.5373454689979553,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.37566640973091125,0.7322965860366821,0.28463488817214966,0.8839544653892517,0.5179553031921387,0.6688715815544128,0.508047342300415,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.6121523976325989,0.3726043105125427,0.46799999475479126,0.5429072976112366,0.5353984832763672,0.4617215394973755,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.588771402835846,0.751038670539856,0.30841976404190063,0.736219584941864,0.6930053234100342,0.5943533182144165,0.5954958200454712,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.6642428636550903,0.4032914638519287,0.6840000152587891,0.6151403188705444,0.6045655608177185,0.608134925365448,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.3686424791812897,0.7730843424797058,0.32865971326828003,0.884847104549408,0.5167700052261353,0.6881592273712158,0.5052788257598877,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.6810840368270874,0.46813124418258667,0.6200000047683716,0.6326918601989746,0.6021983027458191,0.5876736044883728,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.6595000624656677,,,,,,,,
,,55,0.3771844804286957,0.7834138870239258,0.33915284276008606,0.8837313055992126,0.5828790068626404,0.694014847278595,0.6060886979103088,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.6893792152404785,0.4733574390411377,0.6179999709129333,0.631344199180603,0.6011000871658325,0.5860047936439514,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.3612356185913086,0.7932112216949463,0.3534345030784607,0.8866324424743652,0.5794491171836853,0.7107295989990234,0.6032848954200745,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.7647464275360107,0.5289503931999207,0.7020000219345093,0.6601370573043823,0.6374067664146423,0.6431838274002075,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.34215590357780457,0.801310658454895,0.36836493015289307,0.8886409401893616,0.5535500645637512,0.7358500957489014,0.5683162212371826,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.7518334984779358,0.5485582947731018,0.6579999923706055,0.6734678745269775,0.6342843770980835,0.625641942024231,,,,,,,,,
0.0005,0.0005,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.3895045518875122,0.8094223737716675,0.3855883777141571,0.8638696670532227,0.6671212911605835,0.6660006642341614,0.666557788848877,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.7959840297698975,0.6103551983833313,0.75,0.725349485874176,0.6922459602355957,0.7018115520477295,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.3319000005722046,0.8140132427215576,0.3927687704563141,0.889979898929596,0.5872538089752197,0.7326766848564148,0.6144900321960449,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.771223783493042,0.5957632064819336,0.7099999785423279,0.7135648727416992,0.6697953343391418,0.6725960969924927,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.3583487868309021,0.8108622431755066,0.3917624354362488,0.8897567391395569,0.5457323789596558,0.7620875239372253,0.556046187877655,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.8336154222488403,0.7088574171066284,0.7239999771118164,0.7482814192771912,0.6939208507537842,0.6942356824874878,,,,,,,,,
5e-05,5e-05,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.719873309135437,,,,,,,,
