lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.3005517721176147,0.5222808718681335,0.1431349515914917,0.11805400252342224,0.48993775248527527,0.3897649645805359,0.10811642557382584,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.514869213104248,0.24105137586593628,0.49000000953674316,0.4985883831977844,0.4989989101886749,0.45502471923828125,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,1.1145435571670532,0.6139227151870728,0.19209113717079163,0.12274046242237091,0.49596449732780457,0.46614015102386475,0.1133972778916359,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.492565393447876,0.23511728644371033,0.5366666913032532,0.485695481300354,0.4895527958869934,0.46913468837738037,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.7504512071609497,0.6874828934669495,0.24864020943641663,0.3865208625793457,0.5951378345489502,0.5458759069442749,0.3641777038574219,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.5375493764877319,0.28737717866897583,0.5716666579246521,0.5465368032455444,0.5336581468582153,0.5150562524795532,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.5073180198669434,0.7255232334136963,0.2910745143890381,0.8578442335128784,0.6113395690917969,0.6327633261680603,0.6203969120979309,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.5248761177062988,0.23820632696151733,0.4833333194255829,0.5069640278816223,0.5049651265144348,0.4544750452041626,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.9949497580528259,,,,,,,,
,,49,0.5233621597290039,0.7438056468963623,0.3159802556037903,0.8212452530860901,0.6616272330284119,0.6174745559692383,0.6323368549346924,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.5840705633163452,0.30861303210258484,0.57833331823349,0.5686523914337158,0.5492290258407593,0.5285348296165466,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.5013294816017151,0.767403244972229,0.34506767988204956,0.8263780474662781,0.6695957183837891,0.6247230172157288,0.6402857899665833,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.5671152472496033,0.295829713344574,0.5299999713897705,0.5372670888900757,0.5264046788215637,0.4910420775413513,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.45517387986183167,0.7862926721572876,0.36270761489868164,0.8482481837272644,0.6633650660514832,0.6430912017822266,0.6520063281059265,6,,,,,,,,,,,,,,,
,,69,,,,,,,,6,0.6081623435020447,0.3532663583755493,0.5933333039283752,0.560606062412262,0.5444833040237427,0.5314840078353882,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.4009363055229187,0.7993732690811157,0.38152244687080383,0.8756973743438721,0.6569070219993591,0.6855247020721436,0.6693168878555298,7,,,,,,,,,,,,,,,
,,79,,,,,,,,7,0.6424649953842163,0.3733099102973938,0.6083333492279053,0.6059194207191467,0.576192319393158,0.5599237084388733,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.3882317543029785,0.8056974411010742,0.3927310109138489,0.8678866028785706,0.6626321077346802,0.6713953614234924,0.6668233871459961,8,,,,,,,,,,,,,,,
,,89,,,,,,,,8,0.7122388482093811,0.47177594900131226,0.675000011920929,0.6542913913726807,0.6161791086196899,0.6161102652549744,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.5224896669387817,,,,,,,,
,,99,0.3822200894355774,0.804521918296814,0.3983950912952423,0.8629770278930664,0.6801338195800781,0.6688541769981384,0.6741839647293091,9,,,,,,,,,,,,,,,
,,99,,,,,,,,9,0.7105684280395508,0.4080501198768616,0.6633333563804626,0.6594203114509583,0.6170104742050171,0.6121302247047424,,,,,,,,,
0.0005,0.0005,100,,,,,,,,,,,,,,,,,,,,,,,
,,109,0.4482344686985016,0.8138110637664795,0.4242270886898041,0.8109796643257141,0.7310153245925903,0.6377278566360474,0.6596419215202332,10,,,,,,,,,,,,,,,
,,109,,,,,,,,10,0.6675293445587158,0.38419967889785767,0.6166666746139526,0.6316581964492798,0.5939725041389465,0.574934720993042,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.44218909740448,0.8156911134719849,0.43172144889831543,0.8181209564208984,0.7342048287391663,0.6432678699493408,0.6663874983787537,11,,,,,,,,,,,,,,,
,,119,,,,,,,,11,0.7251709699630737,0.4628317654132843,0.6516666412353516,0.659467339515686,0.6153361797332764,0.6056293845176697,,,,,,,,,
5e-05,5e-05,120,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.4204457700252533,0.816200315952301,0.4320671558380127,0.8370899558067322,0.7221112251281738,0.6533060073852539,0.6757224798202515,12,,,,,,,,,,,,,,,
,,129,,,,,,,,12,0.7432554960250854,0.46653449535369873,0.6166666746139526,0.6545265913009644,0.609544575214386,0.5832074880599976,,,,,,,,,
5e-05,5e-05,130,,,,,,,,,,,,,,,,,,,,,,,
,,139,0.37198540568351746,0.8176103830337524,0.4335554242134094,0.8727962374687195,0.6975081562995911,0.6898627281188965,0.6935620903968811,13,,,,,,,,,,,,,,,
,,139,,,,,,,,13,0.7304567098617554,0.49304068088531494,0.6616666913032532,0.6634199619293213,0.6192119121551514,0.6128798723220825,,,,,,,,,
5e-05,5e-05,140,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,14,,,,,,,0.43429073691368103,,,,,,,,
,,149,0.3770403265953064,0.8188015222549438,0.4349948465824127,0.8678866028785706,0.7006482481956482,0.6824715733528137,0.6908387541770935,14,,,,,,,,,,,,,,,
,,149,,,,,,,,14,0.7342838048934937,0.4727703332901001,0.67166668176651,0.6597496867179871,0.6187409162521362,0.6168197393417358,,,,,,,,,
5e-05,5e-05,150,,,,,,,,,,,,,,,,,,,,,,,
,,159,0.3758799731731415,0.8195893168449402,0.4356910288333893,0.8678866028785706,0.7014930248260498,0.6826982498168945,0.6913265585899353,15,,,,,,,,,,,,,,,
,,159,,,,,,,,15,0.743412435054779,0.46638137102127075,0.6916666626930237,0.6854413747787476,0.638262927532196,0.6390936374664307,,,,,,,,,
5e-05,5e-05,160,,,,,,,,,,,,,,,,,,,,,,,
,,169,0.3793596923351288,0.8202428817749023,0.43634656071662903,0.8620843291282654,0.701594352722168,0.6741350293159485,0.6861438751220703,16,,,,,,,,,,,,,,,
,,169,,,,,,,,16,0.7497333884239197,0.4593156576156616,0.6966666579246521,0.678524374961853,0.6356356143951416,0.6388888955116272,,,,,,,,,
5e-05,5e-05,170,,,,,,,,,,,,,,,,,,,,,,,
,,179,0.3736597001552582,0.8210502862930298,0.4371464252471924,0.8665476441383362,0.6998918056488037,0.6801831722259521,0.6891781091690063,17,,,,,,,,,,,,,,,
,,179,,,,,,,,17,0.7517409920692444,0.5086569786071777,0.6916666626930237,0.6829004287719727,0.6368035674095154,0.6380107998847961,,,,,,,,,
5e-05,5e-05,180,,,,,,,,,,,,,,,,,,,,,,,
,,189,0.3956330716609955,0.8212329149246216,0.4369678497314453,0.8482481837272644,0.715742826461792,0.6618201732635498,0.6817764043807983,18,,,,,,,,,,,,,,,
,,189,,,,,,,,18,0.761167585849762,0.49549537897109985,0.7066666483879089,0.7053453922271729,0.6533452272415161,0.6561380624771118,,,,,,,,,
5e-05,5e-05,190,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,19,,,,,,,0.5067479014396667,,,,,,,,
,,199,0.3645743429660797,0.8221958875656128,0.4380330443382263,0.870341420173645,0.6986558437347412,0.6859288215637207,0.6919440627098083,19,,,,,,,,,,,,,,,
,,199,,,,,,,,19,0.7353032827377319,0.4390472173690796,0.6600000262260437,0.6826651692390442,0.6310837268829346,0.6193840503692627,,,,,,,,,
5e-05,5e-05,200,,,,,,,,,,,,,,,,,,,,,,,
,,209,0.348831444978714,0.8230899572372437,0.439727246761322,0.8808301687240601,0.693598747253418,0.70477294921875,0.6989390850067139,20,,,,,,,,,,,,,,,
,,209,,,,,,,,20,0.7639908194541931,0.48287227749824524,0.7166666388511658,0.6915113925933838,0.649084210395813,0.6559818983078003,,,,,,,,,
5e-05,5e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,219,0.3841859698295593,0.8235538005828857,0.4397568702697754,0.8551662564277649,0.7188062071800232,0.6704468131065369,0.6893076300621033,21,,,,,,,,,,,,,,,
,,219,,,,,,,,21,0.7790168523788452,0.5281386375427246,0.7400000095367432,0.7295313477516174,0.6771584749221802,0.6864279508590698,,,,,,,,,
5e-05,5e-05,220,,,,,,,,,,,,,,,,,,,,,,,
,,229,0.3550336956977844,0.8243878483772278,0.43992289900779724,0.8750278949737549,0.6979240775108337,0.6940042972564697,0.6959324479103088,22,,,,,,,,,,,,,,,
,,229,,,,,,,,22,0.7380168437957764,0.5024175643920898,0.6466666460037231,0.6765481233596802,0.6258722543716431,0.6091012954711914,,,,,,,,,
5e-05,5e-05,230,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.33699825406074524,0.8246263265609741,0.44010448455810547,0.884847104549408,0.6840407848358154,0.7127068042755127,0.6967818737030029,23,,,,,,,,,,,,,,,
,,239,,,,,,,,23,0.7742487192153931,0.5252354145050049,0.7383333444595337,0.7055806517601013,0.665094256401062,0.6749202013015747,,,,,,,,,
5e-06,5e-06,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,24,,,,,,,0.5597280859947205,,,,,,,,
,,249,0.34129419922828674,0.8245487213134766,0.4399815797805786,0.8823923468589783,0.6902572512626648,0.7076967358589172,0.6983806490898132,24,,,,,,,,,,,,,,,
,,249,,,,,,,,24,0.7778404951095581,0.5340054631233215,0.7149999737739563,0.7031338214874268,0.6546221971511841,0.660173773765564,,,,,,,,,
5e-06,5e-06,250,,,,,,,,,,,,,,,,,,,,,,,
,,259,0.3455222249031067,0.8244457244873047,0.4397814869880676,0.8785985112190247,0.6931828260421753,0.6999797224998474,0.6964878439903259,25,,,,,,,,,,,,,,,
,,259,,,,,,,,25,0.7285275459289551,0.49582305550575256,0.6800000071525574,0.6549971699714661,0.6177606582641602,0.6190476417541504,,,,,,,,,
5e-06,5e-06,260,,,,,,,,,,,,,,,,,,,,,,,
,,269,0.35100746154785156,0.8243649005889893,0.43970614671707153,0.875474214553833,0.6956418752670288,0.6943299770355225,0.6949823498725891,26,,,,,,,,,,,,,,,
,,269,,,,,,,,26,0.759207010269165,0.5044023394584656,0.721666693687439,0.6972991228103638,0.6539299488067627,0.661476194858551,,,,,,,,,
5e-06,5e-06,270,,,,,,,,,,,,,,,,,,,,,,,
,,279,0.352662056684494,0.824310302734375,0.4394710063934326,0.8750278949737549,0.6979240775108337,0.6940042972564697,0.6959324479103088,27,,,,,,,,,,,,,,,
,,279,,,,,,,,27,0.7626105546951294,0.5154204964637756,0.6933333277702332,0.6839827299118042,0.637837827205658,0.6394230723381042,,,,,,,,,
5e-06,5e-06,280,,,,,,,,,,,,,,,,,,,,,,,
,,289,0.3552204668521881,0.8242654800415039,0.43940603733062744,0.8723499178886414,0.6972560286521912,0.6890152096748352,0.6929916143417358,28,,,,,,,,,,,,,,,
,,289,,,,,,,,28,0.7876591682434082,0.5310813188552856,0.7049999833106995,0.7017222046852112,0.6508816480636597,0.6536644101142883,,,,,,,,,
5e-06,5e-06,290,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,29,,,,,,,0.5167446732521057,,,,,,,,
,,299,0.3557914197444916,0.8243247270584106,0.43938347697257996,0.8716804385185242,0.6977226734161377,0.6879658699035645,0.6926414370536804,29,,,,,,,,,,,,,,,
,,299,,,,,,,,29,0.7645555138587952,0.4548763334751129,0.7049999833106995,0.6940994262695312,0.6466666460037231,0.6504635810852051,,,,,,,,,
5e-06,5e-06,300,,,,,,,,,,,,,,,,,,,,,,,
,,309,0.3555494546890259,0.8244103789329529,0.43942129611968994,0.8716804385185242,0.6977226734161377,0.6879658699035645,0.6926414370536804,30,,,,,,,,,,,,,,,
,,309,,,,,,,,30,0.7816519737243652,0.5454073548316956,0.7083333134651184,0.7089685797691345,0.6558045148849487,0.6586021184921265,,,,,,,,,
5e-06,5e-06,310,,,,,,,,,,,,,,,,,,,,,,,
,,319,0.3511403799057007,0.824515163898468,0.4396481513977051,0.8748047351837158,0.6961084604263306,0.6931785345077515,0.6946256160736084,31,,,,,,,,,,,,,,,
,,319,,,,,,,,31,0.7921136617660522,0.5856796503067017,0.7083333134651184,0.7115094661712646,0.6572136282920837,0.6596114635467529,,,,,,,,,
5e-06,5e-06,320,,,,,,,,,,,,,,,,,,,,,,,
,,329,0.3497677743434906,0.8245733976364136,0.43963372707366943,0.875251054763794,0.6946709752082825,0.6936900615692139,0.6941785216331482,32,,,,,,,,,,,,,,,
,,329,,,,,,,,32,0.7547681927680969,0.5148235559463501,0.6916666626930237,0.675277590751648,0.632444441318512,0.634665310382843,,,,,,,,,
5e-06,5e-06,330,,,,,,,,,,,,,,,,,,,,,,,
,,339,0.3470597565174103,0.8246826529502869,0.43975192308425903,0.8763668537139893,0.6927669048309326,0.6954144239425659,0.6940761804580688,33,,,,,,,,,,,,,,,
,,339,,,,,,,,33,0.7510979175567627,0.49119096994400024,0.6783333420753479,0.6818652153015137,0.6333141326904297,0.6299266815185547,,,,,,,,,
5e-06,5e-06,340,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,34,,,,,,,0.4306551218032837,,,,,,,,
,,349,0.3492579758167267,0.8247107863426208,0.4396975040435791,0.875474214553833,0.6947970390319824,0.6941413879394531,0.6944683194160461,34,,,,,,,,,,,,,,,
,,349,,,,,,,,34,0.7604931592941284,0.48273399472236633,0.6916666626930237,0.6829004287719727,0.6368035674095154,0.6380107998847961,,,,,,,,,
5e-06,5e-06,350,,,,,,,,,,,,,,,,,,,,,,,
,,359,0.34889766573905945,0.8247643709182739,0.4402346611022949,0.8756973743438721,0.6949231028556824,0.6945944428443909,0.6947585344314575,35,,,,,,,,,,,,,,,
,,359,,,,,,,,35,0.7594735622406006,0.5238649845123291,0.6983333230018616,0.6973931789398193,0.6467210650444031,0.647940993309021,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,360,,,,,,,,,,,,,,,,,,,,,,,
,,369,0.34927400946617126,0.8247702121734619,0.44026198983192444,0.875251054763794,0.6946709752082825,0.6936900615692139,0.6941785216331482,36,,,,,,,,,,,,,,,
,,369,,,,,,,,36,0.7524468302726746,0.5343653559684753,0.6983333230018616,0.6796066761016846,0.6367136836051941,0.6403008699417114,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,370,,,,,,,,,,,,,,,,,,,,,,,
,,379,0.3494119346141815,0.8247712850570679,0.44024449586868286,0.875251054763794,0.6946709752082825,0.6936900615692139,0.6941785216331482,37,,,,,,,,,,,,,,,
,,379,,,,,,,,37,0.7775425314903259,0.56773841381073,0.6899999976158142,0.6970638036727905,0.6446399092674255,0.6428525447845459,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,380,,,,,,,,,,,,,,,,,,,,,,,
,,389,0.3496248424053192,0.8247800469398499,0.44026249647140503,0.8750278949737549,0.6945449113845825,0.6932404041290283,0.6938890814781189,38,,,,,,,,,,,,,,,
,,389,,,,,,,,38,0.7938703298568726,0.5629401206970215,0.7083333134651184,0.7038866877555847,0.6530032157897949,0.6565383672714233,,,,,,,,,
