lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.4092292785644531,0.7407228350639343,0.3339231610298157,0.8736889362335205,0.5991706252098083,0.6609904766082764,0.6184452772140503,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.5904300212860107,0.422545850276947,0.546999990940094,0.5535342693328857,0.5482590794563293,0.5361415147781372,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.3544778823852539,0.7663755416870117,0.3500433564186096,0.8886409401893616,0.5206027626991272,0.8375011682510376,0.5108802914619446,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.6741483211517334,0.533987820148468,0.6349999904632568,0.6316523551940918,0.6199696063995361,0.6183282136917114,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.3294735550880432,0.7975128293037415,0.4003768563270569,0.8893104195594788,0.5809619426727295,0.7295325994491577,0.6064119338989258,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.7109087705612183,0.5854357481002808,0.6809999942779541,0.6673567295074463,0.6566300392150879,0.6591848134994507,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5293276906013489,,,,,,,,
,,63,0.31591227650642395,0.8028939962387085,0.4069483280181885,0.8928810358047485,0.5669278502464294,0.776952862739563,0.5890367031097412,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.7668082118034363,0.6367935538291931,0.6830000281333923,0.6779357194900513,0.6637883186340332,0.6654561758041382,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.31126469373703003,0.8108052015304565,0.41726693511009216,0.8924347162246704,0.5725893378257751,0.7640913724899292,0.5968030691146851,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.7728033065795898,0.6527973413467407,0.7139999866485596,0.7168550491333008,0.6982342004776001,0.7000033855438232,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.32563331723213196,0.8077471852302551,0.4184431731700897,0.8926578760147095,0.5507505536079407,0.8096287250518799,0.5643324851989746,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.8061690330505371,0.6869511604309082,0.7409999966621399,0.7311327457427979,0.7177654504776001,0.7220668792724609,,,,,,,,,
0.0005,0.0005,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.6011921763420105,,,,,,,,
,,111,0.32050028443336487,0.8105258941650391,0.41895943880081177,0.8904262185096741,0.6196084022521973,0.729236364364624,0.649964451789856,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.8103580474853516,0.6885589361190796,0.7400000095367432,0.7415187954902649,0.7221862077713013,0.7257430553436279,,,,,,,,,
0.0005,0.0005,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.32162317633628845,0.8149229288101196,0.41946613788604736,0.8895335793495178,0.6309313774108887,0.724360466003418,0.6599180698394775,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.8325989246368408,0.7342387437820435,0.746999979019165,0.7398791313171387,0.724866509437561,0.7294045090675354,,,,,,,,,
0.0005,0.0005,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.3351353704929352,0.8187878727912903,0.4241613745689392,0.8931041955947876,0.5611402988433838,0.7907301783561707,0.5806124806404114,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.8403024673461914,0.7400121688842773,0.7639999985694885,0.77371746301651,0.7497519850730896,0.7528940439224243,,,,,,,,,
0.0005,0.0005,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.40939581394195557,,,,,,,,
,,159,0.31076282262802124,0.8194747567176819,0.4289923906326294,0.8879714608192444,0.6342728734016418,0.7179744243621826,0.6615892648696899,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.8566768765449524,0.7628287076950073,0.800000011920929,0.7927544116973877,0.7786295413970947,0.7840210199356079,,,,,,,,,
0.0005,0.0005,160,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.32780343294143677,0.8098673224449158,0.41566991806030273,0.8933273553848267,0.5849208831787109,0.7619363069534302,0.6133995652198792,10,,,,,,,,,,,,,,,
,,175,,,,,,,,10,0.8600627183914185,0.7633981704711914,0.7860000133514404,0.7855833768844604,0.7662451267242432,0.7719756364822388,,,,,,,,,
0.0005,0.0005,176,,,,,,,,,,,,,,,,,,,,,,,
,,191,0.31378114223480225,0.8182414770126343,0.4255369305610657,0.8888640999794006,0.6297083497047424,0.7215376496315002,0.6582427620887756,11,,,,,,,,,,,,,,,
,,191,,,,,,,,11,0.8758736848831177,0.7923004627227783,0.7979999780654907,0.7933224439620972,0.7770916819572449,0.7828667163848877,,,,,,,,,
5e-05,5e-05,192,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,12,,,,,,,0.33293911814689636,,,,,,,,
,,207,0.31388452649116516,0.8184309005737305,0.42563730478286743,0.890203058719635,0.6203271746635437,0.7280625104904175,0.6504901647567749,12,,,,,,,,,,,,,,,
,,207,,,,,,,,12,0.8868564367294312,0.8197078704833984,0.7950000166893005,0.7938261032104492,0.774993360042572,0.7809808254241943,,,,,,,,,
5e-05,5e-05,208,,,,,,,,,,,,,,,,,,,,,,,
,,223,0.31428828835487366,0.8186860084533691,0.4257626533508301,0.8904262185096741,0.6246772408485413,0.7287386655807495,0.6548511385917664,13,,,,,,,,,,,,,,,
,,223,,,,,,,,13,0.8859778642654419,0.807890772819519,0.7990000247955322,0.7947801351547241,0.7782202959060669,0.7840639352798462,,,,,,,,,
5e-05,5e-05,224,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.3152795135974884,0.8192466497421265,0.42666810750961304,0.891095757484436,0.6157625913619995,0.7332167625427246,0.6466654539108276,14,,,,,,,,,,,,,,,
