lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.47497668862342834,0.4652674198150635,0.12150635570287704,0.8850703239440918,0.5008448362350464,0.692621111869812,0.4714428186416626,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.39018088579177856,0.11171913146972656,0.4266666769981384,0.4473975598812103,0.47420814633369446,0.3726901412010193,,,,,,,,,
0.0005,0.0005,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.5523866415023804,0.6104830503463745,0.21317245066165924,0.12184780091047287,0.503063440322876,0.5426272749900818,0.1115683913230896,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.47093021869659424,0.1397358775138855,0.6000000238418579,0.5282391905784607,0.5144312381744385,0.48024946451187134,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.39619457721710205,0.6781961917877197,0.27363067865371704,0.8870787620544434,0.5104274749755859,0.866675853729248,0.4908357262611389,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.6111111044883728,0.17594656348228455,0.49000000953674316,0.6137873530387878,0.5566349625587463,0.44989752769470215,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6343147158622742,0.7193347215652466,0.31359368562698364,0.6507475972175598,0.6683744192123413,0.5717828869819641,0.5392929911613464,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.6825396418571472,0.25080591440200806,0.7666666507720947,0.6052048802375793,0.5791666507720947,0.5865816473960876,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,0.43838539719581604,0.7389166951179504,0.33301255106925964,0.8620843291282654,0.6154245138168335,0.642181396484375,0.6264261603355408,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.6577150225639343,0.2834225296974182,0.550000011920929,0.5988372564315796,0.547602117061615,0.4815601706504822,,,,,,,,,
0.0005,0.0005,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.4905545711517334,0.75335693359375,0.3480916917324066,0.8047310709953308,0.6700387597084045,0.6105506420135498,0.6263749599456787,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.6754337549209595,0.27762800455093384,0.7733333110809326,0.5692137479782104,0.5600000023841858,0.5635056495666504,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.6155890822410583,0.7636629343032837,0.35745829343795776,0.6741798520088196,0.7027319669723511,0.5874464511871338,0.5631585121154785,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.7437246441841125,0.3966671824455261,0.503333330154419,0.6414728760719299,0.5704147815704346,0.46427929401397705,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.35073497891426086,0.7736272811889648,0.3641173839569092,0.8879714608192444,0.5776711106300354,0.7202028036117554,0.6016508340835571,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.7153931260108948,0.4006737470626831,0.7266666889190674,0.6517164707183838,0.589328408241272,0.5928230881690979,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.8937159776687622,0.7797286510467529,0.36899787187576294,0.41910287737846375,0.6371986865997314,0.5638763904571533,0.3929549753665924,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.6738649606704712,0.2907117009162903,0.6466666460037231,0.6151716709136963,0.5592705011367798,0.5370100736618042,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.5700734853744507,,,,,,,,
,,49,0.3446264863014221,0.7865732312202454,0.37267425656318665,0.8875250816345215,0.5799534320831299,0.7167128920555115,0.604318380355835,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.7498154044151306,0.3629065155982971,0.6299999952316284,0.685215950012207,0.5903606414794922,0.552268922328949,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,0.5707554817199707,0.7912484407424927,0.3778441548347473,0.7060924172401428,0.7148466110229492,0.5965919494628906,0.5856375098228455,10,,,,,,,,,,,,,,,
,,54,,,,,,,,10,0.7763012647628784,0.3822236657142639,0.800000011920929,0.7342192530632019,0.6546052694320679,0.6751137375831604,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.3704318404197693,0.7969924211502075,0.3798018991947174,0.8638696670532227,0.6409323811531067,0.6565296649932861,0.6480412483215332,11,,,,,,,,,,,,,,,
,,59,,,,,,,,11,0.8091546297073364,0.4940517544746399,0.6033333539962769,0.6896456480026245,0.5914349555969238,0.5377503633499146,,,,,,,,,
5e-05,5e-05,60,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.3581677973270416,0.797477126121521,0.3797192871570587,0.8692256212234497,0.6236828565597534,0.6601949334144592,0.6381011009216309,12,,,,,,,,,,,,,,,
,,64,,,,,,,,12,0.8505906462669373,0.6198428869247437,0.8199999928474426,0.7657806873321533,0.6788820028305054,0.7036007046699524,,,,,,,,,
5e-05,5e-05,65,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.37854066491127014,0.797482967376709,0.38002243638038635,0.8585137128829956,0.6556475162506104,0.6535764932632446,0.6545999646186829,13,,,,,,,,,,,,,,,
,,69,,,,,,,,13,0.7919896841049194,0.48985299468040466,0.7733333110809326,0.6788482666015625,0.6180555820465088,0.6317955255508423,,,,,,,,,
5e-05,5e-05,70,,,,,,,,,,,,,,,,,,,,,,,
,,74,0.42370346188545227,0.7974168658256531,0.3803091049194336,0.825262188911438,0.6900854110717773,0.6321004033088684,0.6506447196006775,14,,,,,,,,,,,,,,,
,,74,,,,,,,,14,0.8079549670219421,0.5760520100593567,0.7666666507720947,0.7447397708892822,0.6421526670455933,0.6563011407852173,,,,,,,,,
5e-05,5e-05,75,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.44545796513557434,0.7974022030830383,0.38028788566589355,0.8083017468452454,0.7016239762306213,0.6252986192703247,0.6444372534751892,15,,,,,,,,,,,,,,,
,,79,,,,,,,,15,0.814784049987793,0.5894151329994202,0.7200000286102295,0.7574750781059265,0.6334928274154663,0.6299341917037964,,,,,,,,,
5e-05,5e-05,80,,,,,,,,,,,,,,,,,,,,,,,
,,84,0.42795640230178833,0.7976856827735901,0.3805723488330841,0.8196831345558167,0.6903128027915955,0.6281545758247375,0.6468051671981812,16,,,,,,,,,,,,,,,
,,84,,,,,,,,16,0.8409006595611572,0.5791746973991394,0.7333333492279053,0.7253599166870117,0.6233582496643066,0.6273291707038879,,,,,,,,,
5e-05,5e-05,85,,,,,,,,,,,,,,,,,,,,,,,
,,89,0.4077611267566681,0.7979583740234375,0.3805893659591675,0.8370899558067322,0.683250367641449,0.6393170356750488,0.6555745005607605,17,,,,,,,,,,,,,,,
,,89,,,,,,,,17,0.8345330357551575,0.5762748718261719,0.7400000095367432,0.7192690968513489,0.6227019429206848,0.6291835308074951,,,,,,,,,
