lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.485751748085022,0.5849051475524902,0.19030915200710297,0.8768132328987122,0.528282642364502,0.6150530576705933,0.5287794470787048,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5101129412651062,0.27625536918640137,0.5362499952316284,0.513202428817749,0.5099787712097168,0.4891135096549988,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.5477110743522644,0.6716091632843018,0.25509995222091675,0.8616380095481873,0.5805355310440063,0.6210969686508179,0.5936516523361206,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.5470280051231384,0.28382572531700134,0.518750011920929,0.5234032273292542,0.5174942016601562,0.48563021421432495,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.6442893147468567,0.7189043760299683,0.3112083673477173,0.6391430497169495,0.6542154550552368,0.5653186440467834,0.5285907983779907,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.5382068157196045,0.287239670753479,0.4937500059604645,0.5202091932296753,0.5152161717414856,0.4706842303276062,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.8340203166007996,,,,,,,,
,,51,0.48477959632873535,0.749330997467041,0.34842368960380554,0.8683329820632935,0.6316266059875488,0.6614256501197815,0.644035279750824,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.5255478620529175,0.2793121635913849,0.5087500214576721,0.5184282064437866,0.5137804746627808,0.4783915877342224,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.38787513971328735,0.7685824632644653,0.37304770946502686,0.8881946206092834,0.5735731720924377,0.7227249145507812,0.596463143825531,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.5842105746269226,0.32855939865112305,0.5662500262260437,0.5516559481620789,0.5390853881835938,0.5213586688041687,,,,,,,,,
0.0005,0.0005,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.4866446256637573,0.7773947715759277,0.38175469636917114,0.8310645222663879,0.6899840831756592,0.636644184589386,0.654801070690155,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.5802974700927734,0.3053276538848877,0.5562499761581421,0.5416391491889954,0.5314393639564514,0.5119595527648926,,,,,,,,,
0.0005,0.0005,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.36187225580215454,0.7945213913917542,0.3930598795413971,0.8897567391395569,0.5761452913284302,0.7348682880401611,0.6004589796066284,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.6445538997650146,0.3880935311317444,0.5975000262260437,0.5959832668304443,0.572508692741394,0.5569589734077454,,,,,,,,,
0.0005,0.0005,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.7147858142852783,,,,,,,,
,,103,0.5162232518196106,0.7972210645675659,0.3984947204589844,0.7897790670394897,0.7173489332199097,0.621711254119873,0.6388130784034729,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.6405154466629028,0.40503209829330444,0.5950000286102295,0.58591628074646,0.5652003288269043,0.5511687994003296,,,,,,,,,
0.0005,0.0005,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.3406262695789337,0.8068020343780518,0.41141650080680847,0.890203058719635,0.6093447208404541,0.7293660044670105,0.6394205689430237,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.6739187240600586,0.42979082465171814,0.6100000143051147,0.6328731775283813,0.5995016098022461,0.5787171125411987,,,,,,,,,
0.0005,0.0005,117,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.3223475515842438,0.8114830255508423,0.4176410436630249,0.8922115564346313,0.5665496587753296,0.7684500217437744,0.5882860422134399,9,,,,,,,,,,,,,,,
,,129,,,,,,,,9,0.6333497762680054,0.3598017692565918,0.606249988079071,0.5665138959884644,0.5523699522018433,0.5462067723274231,,,,,,,,,
0.0005,0.0005,130,,,,,,,,,,,,,,,,,,,,,,,
