lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.4148382842540741,0.609205424785614,0.1681433916091919,0.8812764883041382,0.5020807981491089,0.5353406667709351,0.47763365507125854,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.5045971870422363,0.33759164810180664,0.5400000214576721,0.5245441794395447,0.521212100982666,0.5118845701217651,,,,,,,,,
0.0005,0.0005,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.6618707776069641,0.6951534748077393,0.23260030150413513,0.6284311413764954,0.6523880362510681,0.5639058947563171,0.5223156213760376,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.571191132068634,0.3873346447944641,0.4866666793823242,0.539192795753479,0.5357058048248291,0.484375,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.39083555340766907,0.7451101541519165,0.2889477014541626,0.8830618262290955,0.5394158363342285,0.6752122044563293,0.5460120439529419,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.6385642290115356,0.42381522059440613,0.6633333563804626,0.5754246711730957,0.5884503126144409,0.577847421169281,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.5342434048652649,0.7686862945556641,0.31927764415740967,0.7920107245445251,0.6865071654319763,0.6107852458953857,0.6264855861663818,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.6297854781150818,0.4549129605293274,0.5233333110809326,0.5716845989227295,0.5638889074325562,0.5194408297538757,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,0.34261107444763184,0.7854153513908386,0.33329662680625916,0.885962963104248,0.5233139395713806,0.7149333953857422,0.5173600912094116,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.6869773268699646,0.5245485305786133,0.6666666865348816,0.6548231244087219,0.6369022727012634,0.6383101940155029,,,,,,,,,
0.0005,0.0005,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.5095811486244202,0.7900866270065308,0.34758055210113525,0.7891095876693726,0.700919508934021,0.6151384115219116,0.6312251091003418,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.6904057264328003,0.5235397815704346,0.6233333349227905,0.6323047876358032,0.6135228872299194,0.6047799587249756,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.36995938420295715,0.8014506697654724,0.3602684736251831,0.8861861228942871,0.5124576091766357,0.7481566667556763,0.49575164914131165,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.8195937871932983,0.6942670345306396,0.7066666483879089,0.7223001718521118,0.6916394233703613,0.6897767186164856,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.4061993956565857,0.8022646307945251,0.3718770146369934,0.8515956401824951,0.663566529750824,0.6472238302230835,0.6546247005462646,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.7464028596878052,0.5996339917182922,0.7233333587646484,0.6781206130981445,0.6770811676979065,0.6775906085968018,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.3240155875682831,0.808302104473114,0.37990397214889526,0.889979898929596,0.5559961199760437,0.7512511014938354,0.5722313523292542,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.7722715735435486,0.6218250393867493,0.6733333468437195,0.7011064291000366,0.6720743179321289,0.6606491804122925,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.5722922682762146,,,,,,,,
,,49,0.32019850611686707,0.8132128119468689,0.38686636090278625,0.8888640999794006,0.5790202021598816,0.7266380190849304,0.6037583351135254,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.814191460609436,0.699784517288208,0.7666666507720947,0.7420912981033325,0.7296831011772156,0.7347949147224426,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,0.330166757106781,0.817969799041748,0.39178165793418884,0.8788216710090637,0.62910395860672,0.6862850189208984,0.649699330329895,10,,,,,,,,,,,,,,,
,,54,,,,,,,,10,0.8472287058830261,0.7179293036460876,0.7833333611488342,0.7778556942939758,0.7522637248039246,0.760297954082489,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.3478592336177826,0.8222561478614807,0.3937249183654785,0.8893104195594788,0.5488594770431519,0.7498060464859009,0.5610798001289368,11,,,,,,,,,,,,,,,
,,59,,,,,,,,11,0.8536180257797241,0.7511439323425293,0.7166666388511658,0.7502726912498474,0.7141714096069336,0.705267071723938,,,,,,,,,
5e-05,5e-05,60,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.335886687040329,0.8223364949226379,0.39430853724479675,0.8888640999794006,0.5562105774879456,0.7366864681243896,0.5723659992218018,12,,,,,,,,,,,,,,,
,,64,,,,,,,,12,0.8677991032600403,0.7831265926361084,0.8133333325386047,0.7611033320426941,0.7879030704498291,0.7717887163162231,,,,,,,,,
5e-05,5e-05,65,,,,,,,,,,,,,,,,,,,,,,,
