lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.36482104659080505,0.7830050587654114,0.34982016682624817,0.8694487810134888,0.6094473004341125,0.6546114683151245,0.6257252097129822,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.6109713315963745,0.4028874337673187,0.6012499928474426,0.5982180237770081,0.5884457230567932,0.5839792490005493,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.31980958580970764,0.8110639452934265,0.38598448038101196,0.8884177803993225,0.5745440721511841,0.724278450012207,0.5978193879127502,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.7591474056243896,0.6267490983009338,0.6887500286102295,0.6851502656936646,0.6690260171890259,0.6707606315612793,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.3681112825870514,0.8224235773086548,0.4042765200138092,0.8893104195594788,0.5336530208587646,0.782364547252655,0.5353603363037109,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.778644323348999,0.6524053812026978,0.7124999761581421,0.709433913230896,0.6919234991073608,0.6949278116226196,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5215377807617188,,,,,,,,
,,51,0.38187897205352783,0.8350439667701721,0.43064969778060913,0.8884177803993225,0.5272351503372192,0.7786669731140137,0.5238165855407715,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.790866494178772,0.6768702268600464,0.7212499976158142,0.7160377502441406,0.6991445422172546,0.7028642892837524,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.3491560220718384,0.8438379168510437,0.43791937828063965,0.8890872597694397,0.5352165699005127,0.7711660265922546,0.538196861743927,4,,,,,,,,,,,,,,,
