lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.106431245803833,0.7265724539756775,0.2854982316493988,0.1341218501329422,0.5083077549934387,0.5420233011245728,0.12633655965328217,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.5011136531829834,0.30513596534729004,0.5433333516120911,0.5155975222587585,0.5136403441429138,0.5074245929718018,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.3648449182510376,0.7580966949462891,0.3266702890396118,0.885962963104248,0.546968400478363,0.7068625688552856,0.5579349994659424,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.6091436147689819,0.3953002691268921,0.5916666388511658,0.5760012865066528,0.5661294460296631,0.5616533160209656,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.3780646026134491,0.7774289846420288,0.34432464838027954,0.8868556022644043,0.5195941925048828,0.7501000165939331,0.5097882747650146,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.708316445350647,0.5463322997093201,0.6466666460037231,0.6591989994049072,0.6362430453300476,0.628695547580719,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.4479741156101227,0.7872307896614075,0.34966450929641724,0.8873019218444824,0.5139327645301819,0.8189587593078613,0.49807414412498474,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.7668250799179077,0.6184031367301941,0.6966666579246521,0.7028329372406006,0.6757004261016846,0.6758643388748169,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.7023695707321167,,,,,,,,
,,49,0.37353456020355225,0.8034355044364929,0.36932671070098877,0.8877482414245605,0.524322509765625,0.7664612531661987,0.5185512900352478,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.7606252431869507,0.6074175238609314,0.7266666889190674,0.7170302867889404,0.6942582130432129,0.6996337175369263,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.3427334725856781,0.8071863055229187,0.3768449127674103,0.8893104195594788,0.5437906384468079,0.7571960687637329,0.5528548955917358,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.8250993490219116,0.6870721578598022,0.7699999809265137,0.7603386640548706,0.7368888854980469,0.7443655729293823,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.3678886890411377,0.8102120161056519,0.3790677785873413,0.8873019218444824,0.5316736102104187,0.7361247539520264,0.5322783589363098,6,,,,,,,,,,,,,,,
,,69,,,,,,,,6,0.8286421298980713,0.7005685567855835,0.7683333158493042,0.7636275291442871,0.7370689511299133,0.7445721626281738,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.35413825511932373,0.816625714302063,0.39361584186553955,0.890203058719635,0.5476741790771484,0.7667531967163086,0.5592169761657715,7,,,,,,,,,,,,,,,
,,79,,,,,,,,7,0.8449885845184326,0.7289918661117554,0.7566666603088379,0.7521979808807373,0.7257359027862549,0.7326006889343262,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
