lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.3569470942020416,0.7639405727386475,0.32318568229675293,0.8855166435241699,0.5534746646881104,0.7021616697311401,0.5677733421325684,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.6175326108932495,0.4342769682407379,0.5987499952316284,0.5990990996360779,0.5846951603889465,0.5760802030563354,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.3468218147754669,0.7845144867897034,0.34326136112213135,0.8873019218444824,0.5561728477478027,0.7192397117614746,0.5720391273498535,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.7918294072151184,0.6318073272705078,0.7287499904632568,0.7258503437042236,0.6991259455680847,0.7040769457817078,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.34802788496017456,0.8037381172180176,0.3690645098686218,0.8895335793495178,0.5557439923286438,0.7455126643180847,0.5717765688896179,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.8054348230361938,0.6621068120002747,0.7425000071525574,0.7403199076652527,0.7125241756439209,0.7184080481529236,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5078994035720825,,,,,,,,
,,51,0.3254305124282837,0.812142550945282,0.38803425431251526,0.885962963104248,0.6137077808380127,0.7086135745048523,0.6407921314239502,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.830167293548584,0.6770769357681274,0.7637500166893005,0.7522155046463013,0.7292507886886597,0.7365628480911255,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.3259951174259186,0.8140637278556824,0.3944472074508667,0.8897567391395569,0.6293678283691406,0.7253855466842651,0.6586769223213196,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.8568339943885803,0.7222071290016174,0.7837499976158142,0.7837285995483398,0.7533890008926392,0.7617698907852173,,,,,,,,,
0.0005,0.0005,65,,,,,,,,,,,,,,,,,,,,,,,
