lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.5400718450546265,0.7730397582054138,0.3334828019142151,0.8864092826843262,0.5142732262611389,0.7516878247261047,0.4993528127670288,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.6087071895599365,0.44480663537979126,0.5699999928474426,0.575541615486145,0.5675777196884155,0.5572031736373901,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.3353136479854584,0.7866721749305725,0.352392315864563,0.8839544653892517,0.5863842964172363,0.6958322525024414,0.6103045344352722,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.7327603101730347,0.5786750912666321,0.6875,0.6714885234832764,0.6604509353637695,0.6634153127670288,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.35121485590934753,0.8072078227996826,0.3863230347633362,0.889979898929596,0.5365656614303589,0.7911310195922852,0.5404242873191833,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.7570929527282715,0.6280380487442017,0.6762499809265137,0.6857092976570129,0.6667450666427612,0.6636227369308472,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.7542150020599365,,,,,,,,
,,51,0.3601483106613159,0.8227413892745972,0.4088708162307739,0.8886409401893616,0.5324300527572632,0.7673043012619019,0.5333130359649658,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.798092246055603,0.6684670448303223,0.737500011920929,0.724668025970459,0.711652398109436,0.7160243391990662,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.3095148503780365,0.8305235505104065,0.41450032591819763,0.890872597694397,0.5826892852783203,0.7413853406906128,0.6093367338180542,4,,,,,,,,,,,,,,,
