lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.7291960716247559,0.6977831125259399,0.265828937292099,0.8850703239440918,0.5008448362350464,0.692621111869812,0.4714428186416626,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5454103350639343,0.37580329179763794,0.5425000190734863,0.5364426970481873,0.5319650769233704,0.5219154357910156,,,,,,,,,
0.0005,0.0005,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.37029626965522766,0.7416712045669556,0.3123897314071655,0.8794912099838257,0.5585187673568726,0.6621742248535156,0.5737895369529724,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.67487633228302,0.5203117728233337,0.5950000286102295,0.6198689937591553,0.6050803661346436,0.5856777429580688,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.43302056193351746,0.7616909146308899,0.3286587595939636,0.8868556022644043,0.5136805772781372,0.7848427295684814,0.4978439509868622,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.7534254193305969,0.6127934455871582,0.7200000286102295,0.6938413381576538,0.6843895316123962,0.6880570650100708,,,,,,,,,
0.0005,0.0005,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.3370477557182312,0.7880870699882507,0.35412153601646423,0.8873019218444824,0.5435008406639099,0.7248286008834839,0.5524304509162903,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.7568579912185669,0.6459752321243286,0.6775000095367432,0.686847448348999,0.6643518209457397,0.6614862084388733,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.3423895537853241,0.8029322028160095,0.36762508749961853,0.8886409401893616,0.5290508270263672,0.778855562210083,0.5271324515342712,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.7578877806663513,0.637906551361084,0.7400000095367432,0.7004777193069458,0.7021430134773254,0.701286792755127,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.3330080211162567,0.8149205446243286,0.381445050239563,0.8890872597694397,0.5335269570350647,0.7763458490371704,0.5351835489273071,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.7945879697799683,0.6815528869628906,0.6299999952316284,0.6883492469787598,0.6711193323135376,0.6276167631149292,,,,,,,,,
