lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.7130907773971558,0.6762875318527222,0.6740276217460632,0.5566964149475098,0.5566964149475098,0.6476256847381592,0.4760090708732605,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5235854387283325,0.1495407223701477,0.4762499928474426,0.5314867496490479,0.5134276151657104,0.4116975963115692,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.7083004713058472,0.7046732306480408,0.7099823951721191,0.5234375,0.5234375,0.6218109130859375,0.40288037061691284,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.5896217823028564,0.19048111140727997,0.6175000071525574,0.5577651262283325,0.5259581804275513,0.488290011882782,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.6106168031692505,0.7482824325561523,0.7499954104423523,0.6863839030265808,0.6863839626312256,0.6879581809043884,0.6857259273529053,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.6643288135528564,0.20872099697589874,0.6637499928474426,0.6020359992980957,0.5479318499565125,0.5262405872344971,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.4269862771034241,,,,,,,,
,,51,0.7444484829902649,0.7611293792724609,0.7612427473068237,0.5522321462631226,0.5522321462631226,0.7184939384460449,0.4470389485359192,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.6672141551971436,0.24310842156410217,0.6262500286102295,0.6302083730697632,0.5570040345191956,0.5180907249450684,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.5837565064430237,0.7634614109992981,0.7668018341064453,0.7004464268684387,0.7004464268684387,0.702774167060852,0.6995842456817627,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.6817293763160706,0.2574195861816406,0.6600000262260437,0.6223958730697632,0.5562705993652344,0.5323206186294556,,,,,,,,,
0.0005,0.0005,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.578960120677948,0.7673979997634888,0.7711549401283264,0.699999988079071,0.699999988079071,0.701739490032196,0.6993519067764282,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.7623993754386902,0.3331221342086792,0.71875,0.7007575631141663,0.5968319773674011,0.5927371382713318,,,,,,,,,
0.0005,0.0005,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.5890910625457764,0.7663532495498657,0.7714112997055054,0.6899553537368774,0.6899553537368774,0.7083151340484619,0.6829700469970703,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.7262369990348816,0.27552056312561035,0.6712499856948853,0.673768937587738,0.5786125063896179,0.5564465522766113,,,,,,,,,
0.0005,0.0005,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.4442107379436493,,,,,,,,
,,103,0.7853541970252991,0.7771576046943665,0.7802022695541382,0.5872767567634583,0.587276816368103,0.7174043655395508,0.5146501064300537,7,,,,,,,,,,,,,,,
