lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.8189815282821655,0.6266814470291138,0.6520373821258545,0.5013392567634583,0.501339316368103,0.5115391612052917,0.3598839044570923,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.4933510422706604,0.06267021596431732,0.5649999976158142,0.45656031370162964,0.4899083375930786,0.3994823098182678,,,,,,,,,
0.0005,0.0005,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.2939224243164062,0.6774162650108337,0.6849449872970581,0.5151785612106323,0.5151785612106323,0.7015433311462402,0.3694019019603729,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.7903369069099426,0.35979679226875305,0.29499998688697815,0.625,0.5392156839370728,0.27272728085517883,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,1.9653669595718384,0.6988763809204102,0.7016838788986206,0.5102678537368774,0.5102678537368774,0.7155612707138062,0.3572295308113098,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.754875898361206,0.4099728465080261,0.8999999761581421,0.7127659320831299,0.6333333253860474,0.6603261232376099,,,,,,,,,
0.0005,0.0005,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.8805544972419739,0.7114897966384888,0.7158504724502563,0.5625,0.5625,0.7032267451286316,0.470905601978302,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.832446813583374,0.2928351163864136,0.8450000286102295,0.6835106611251831,0.5790227055549622,0.5961174964904785,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,2.001877784729004,0.7191361784934998,0.7203326225280762,0.5142857432365417,0.514285683631897,0.714159369468689,0.36646774411201477,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.916223406791687,0.4665541648864746,0.7450000047683716,0.8253545761108398,0.5865668058395386,0.5727033019065857,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,1.671924352645874,0.7207943201065063,0.7232909202575684,0.5238839387893677,0.5238839387893677,0.6986082196235657,0.389644980430603,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.8807623982429504,0.3539704978466034,0.8999999761581421,0.7127659320831299,0.6333333253860474,0.6603261232376099,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.9699156880378723,0.7200374603271484,0.7245119214057922,0.5694196224212646,0.5694196224212646,0.6995967030525208,0.48553627729415894,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.9392729997634888,0.6113861799240112,0.8450000286102295,0.8785461187362671,0.6310017108917236,0.6628785729408264,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,1.9267314672470093,0.721996545791626,0.7253998517990112,0.5243303775787354,0.5243303775787354,0.6968425512313843,0.3908705711364746,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.9835993051528931,0.8119167685508728,0.7350000143051147,0.8590425252914429,0.5923076868057251,0.573800802230835,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,35,3.8184335231781006,0.7228704690933228,0.7255298495292664,0.5060268044471741,0.5060268044471741,0.7060633897781372,0.34772810339927673,8,,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.9304078221321106,0.5035321116447449,0.9350000023841858,0.8484042882919312,0.7285548448562622,0.7727074027061462,,,,,,,,,
0.0005,0.0005,36,,,,,,,,,,,,,,,,,,,,,,,
,,39,1.7317951917648315,0.720349133014679,0.7254663705825806,0.5415178537368774,0.5415178537368774,0.7031209468841553,0.4276841878890991,9,,,,,,,,,,,,,,,
,,39,,,,,,,,9,0.966312050819397,0.7080877423286438,0.9449999928474426,0.7757092118263245,0.755861759185791,0.7653332948684692,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,43,2.0194902420043945,0.7186287045478821,0.7248349785804749,0.5357142686843872,0.5357142686843872,0.6998438835144043,0.4157559871673584,10,,,,,,,,,,,,,,,
,,43,,,,,,,,10,0.9844857454299927,0.813867449760437,0.875,0.9335106611251831,0.662162184715271,0.7092854380607605,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,47,3.960162878036499,0.7178166508674622,0.7241822481155396,0.5080357193946838,0.5080357193946838,0.6976819634437561,0.3528168797492981,11,,,,,,,,,,,,,,,
,,47,,,,,,,,11,0.9796099662780762,0.8098087310791016,0.9399999976158142,0.9290779829025269,0.7471910119056702,0.8071359395980835,,,,,,,,,
5e-05,5e-05,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,12,,,,,,,0.043563831597566605,,,,,,,,
,,51,3.859537124633789,0.7175215482711792,0.7240962982177734,0.5091517567634583,0.509151816368103,0.7032946944236755,0.3552112877368927,12,,,,,,,,,,,,,,,
,,51,,,,,,,,12,0.9920212030410767,0.900165319442749,0.9750000238418579,0.8696808815002441,0.9011543989181519,0.8846730589866638,,,,,,,,,
5e-05,5e-05,52,,,,,,,,,,,,,,,,,,,,,,,
,,55,3.6472620964050293,0.7172466516494751,0.724162757396698,0.5118303298950195,0.5118303298950195,0.7068473100662231,0.3612839877605438,13,,,,,,,,,,,,,,,
,,55,,,,,,,,13,0.9920212030410767,0.8637219071388245,0.9750000238418579,0.9476950168609619,0.8639639616012573,0.9007049798965454,,,,,,,,,
5e-05,5e-05,56,,,,,,,,,,,,,,,,,,,,,,,
