lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.9143167734146118,0.47662824392318726,0.49071401357650757,0.5024553537368774,0.5024553537368774,0.5138018131256104,0.3737444281578064,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.45455920696258545,0.08893929421901703,0.5066666603088379,0.4465579688549042,0.48422178626060486,0.38370993733406067,,,,,,,,,
0.0005,0.0005,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.7478289604187012,0.5862093567848206,0.5963302254676819,0.550000011920929,0.550000011920929,0.5725066661834717,0.5121411681175232,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.764643669128418,0.27138009667396545,0.7433333396911621,0.6893116235733032,0.569624125957489,0.5620936155319214,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,1.7225593328475952,0.6353017091751099,0.6499079465866089,0.5080357193946838,0.5080357193946838,0.6976819634437561,0.3528168797492981,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.7847222089767456,0.4613628387451172,0.6233333349227905,0.6621376276016235,0.5493316650390625,0.490922212600708,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.704814612865448,0.6468576788902283,0.6617164611816406,0.5986607074737549,0.5986607074737549,0.630013644695282,0.5729125738143921,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.7964975833892822,0.34821397066116333,0.846666693687439,0.7264492511749268,0.6200000047683716,0.6454629898071289,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,1.0655202865600586,0.6657353043556213,0.6801728010177612,0.5279017686843872,0.5279017686843872,0.6989566087722778,0.3986470699310303,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.8100845813751221,0.343769371509552,0.6033333539962769,0.7083333134651184,0.5619528889656067,0.4908655285835266,,,,,,,,,
0.0005,0.0005,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,1.5409351587295532,0.6738539338111877,0.6864217519760132,0.5095981955528259,0.5095982551574707,0.7218138575553894,0.35542815923690796,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.8464673757553101,0.41409993171691895,0.7566666603088379,0.7155797481536865,0.580500602722168,0.5786435604095459,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.9630930423736572,0.6787376403808594,0.6901044845581055,0.5383928418159485,0.5383928418159485,0.7020676732063293,0.421182245016098,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.8630736470222473,0.6024621725082397,0.8299999833106995,0.7744565010070801,0.6246998906135559,0.6504854559898376,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,1.7603213787078857,0.6795783042907715,0.6884627342224121,0.5073660612106323,0.5073660612106323,0.7375702857971191,0.34987401962280273,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.8679046034812927,0.5412968397140503,0.7699999809265137,0.8179347515106201,0.6136474013328552,0.6186370849609375,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,1.200706124305725,0.6739746332168579,0.6818336844444275,0.5223214030265808,0.5223214626312256,0.714067280292511,0.384488970041275,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.9228562712669373,0.7099648714065552,0.8933333158493042,0.8849637508392334,0.7039999961853027,0.7533655166625977,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.26026567816734314,,,,,,,,
,,49,1.2164064645767212,0.6685470342636108,0.675505518913269,0.5241071581840515,0.5241071581840515,0.7107552289962769,0.3887808620929718,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.902324914932251,0.6512678861618042,0.753333330154419,0.8088768124580383,0.6069189310073853,0.6045881509780884,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,1.6591167449951172,0.6739917397499084,0.6808695793151855,0.5122767686843872,0.512276828289032,0.7285214066505432,0.36114275455474854,10,,,,,,,,,,,,,,,
,,54,,,,,,,,10,0.9285929799079895,0.6574851274490356,0.8633333444595337,0.8686593770980835,0.6717420220375061,0.7133601903915405,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,59,1.795089602470398,0.6805538535118103,0.6873431205749512,0.5136160850524902,0.5136160850524902,0.7244718074798584,0.36434075236320496,11,,,,,,,,,,,,,,,
,,59,,,,,,,,11,0.9397644996643066,0.7125698328018188,0.8199999928474426,0.864130437374115,0.6442238688468933,0.6707049608230591,,,,,,,,,
5e-05,5e-05,60,,,,,,,,,,,,,,,,,,,,,,,
,,64,1.9936316013336182,0.6807015538215637,0.6874463558197021,0.5118303298950195,0.5118303298950195,0.7439034581184387,0.3594633936882019,12,,,,,,,,,,,,,,,
,,64,,,,,,,,12,0.9575784802436829,0.8590655326843262,0.9233333468437195,0.9012681245803833,0.7503060102462769,0.801581621170044,,,,,,,,,
5e-05,5e-05,65,,,,,,,,,,,,,,,,,,,,,,,
,,69,1.9247691631317139,0.679957926273346,0.6866043210029602,0.5118303298950195,0.5118303298950195,0.7354518175125122,0.35982903838157654,13,,,,,,,,,,,,,,,
,,69,,,,,,,,13,0.9504830837249756,0.7956728339195251,0.9266666769981384,0.9030797481536865,0.7567307949066162,0.8076026439666748,,,,,,,,,
5e-05,5e-05,70,,,,,,,,,,,,,,,,,,,,,,,
,,74,1.881373405456543,0.6791507601737976,0.6857064962387085,0.512499988079071,0.512499988079071,0.7289752960205078,0.36161667108535767,14,,,,,,,,,,,,,,,
,,74,,,,,,,,14,0.9616546034812927,0.7415139675140381,0.903333306312561,0.9094203114509583,0.7205057144165039,0.7738556861877441,,,,,,,,,
5e-05,5e-05,75,,,,,,,,,,,,,,,,,,,,,,,
,,79,1.6802858114242554,0.6783547401428223,0.6849163770675659,0.5167410969734192,0.5167410969734192,0.7197853922843933,0.3716095983982086,15,,,,,,,,,,,,,,,
,,79,,,,,,,,15,0.9461050629615784,0.698182225227356,0.8833333253860474,0.8605072498321533,0.6880462765693665,0.7333333492279053,,,,,,,,,
5e-05,5e-05,80,,,,,,,,,,,,,,,,,,,,,,,
,,84,1.597105860710144,0.6775854825973511,0.6839989423751831,0.520312488079071,0.520312488079071,0.7218666672706604,0.3793571889400482,16,,,,,,,,,,,,,,,
,,84,,,,,,,,16,0.9447463750839233,0.7272812128067017,0.8666666746139526,0.8704710006713867,0.6748361587524414,0.7174875140190125,,,,,,,,,
5e-05,5e-05,85,,,,,,,,,,,,,,,,,,,,,,,
,,89,1.6345727443695068,0.6768981218338013,0.6831330060958862,0.5189732313156128,0.5189732313156128,0.7194969654083252,0.37659329175949097,17,,,,,,,,,,,,,,,
,,89,,,,,,,,17,0.9664855003356934,0.7554895281791687,0.8999999761581421,0.9076087474822998,0.715999960899353,0.7687802314758301,,,,,,,,,
5e-05,5e-05,90,,,,,,,,,,,,,,,,,,,,,,,
,,94,1.5680814981460571,0.6754948496818542,0.6815502643585205,0.5223214030265808,0.5223214626312256,0.7175956964492798,0.3841535151004791,18,,,,,,,,,,,,,,,
,,94,,,,,,,,18,0.9550120234489441,0.7700900435447693,0.9100000262260437,0.9130434989929199,0.7300900220870972,0.7843393087387085,,,,,,,,,
5e-05,5e-05,95,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,19,,,,,,,0.6948094367980957,,,,,,,,
,,99,1.641097903251648,0.6749836802482605,0.6808957457542419,0.5183035731315613,0.5183035731315613,0.7182177305221558,0.3752067983150482,19,,,,,,,,,,,,,,,
,,99,,,,,,,,19,0.9222524166107178,0.7076223492622375,0.846666693687439,0.8596014380455017,0.6577065587043762,0.6937144994735718,,,,,,,,,
5e-05,5e-05,100,,,,,,,,,,,,,,,,,,,,,,,
,,104,1.6990950107574463,0.6744188666343689,0.680170476436615,0.5169642567634583,0.516964316368103,0.7305126190185547,0.37137338519096375,20,,,,,,,,,,,,,,,
,,104,,,,,,,,20,0.969957709312439,0.8498731255531311,0.8899999856948853,0.9021739363670349,0.7034986019134521,0.754165530204773,,,,,,,,,
5e-05,5e-05,105,,,,,,,,,,,,,,,,,,,,,,,
,,109,1.9352085590362549,0.6738752126693726,0.6793150305747986,0.5113839507102966,0.5113839507102966,0.7434461116790771,0.35851094126701355,21,,,,,,,,,,,,,,,
,,109,,,,,,,,21,0.963466227054596,0.8312281370162964,0.903333306312561,0.9094203114509583,0.7205057144165039,0.7738556861877441,,,,,,,,,
5e-05,5e-05,110,,,,,,,,,,,,,,,,,,,,,,,
,,114,1.9237629175186157,0.6733420491218567,0.6787317991256714,0.5116071701049805,0.5116071105003357,0.7436779737472534,0.35898733139038086,22,,,,,,,,,,,,,,,
,,114,,,,,,,,22,0.9678441286087036,0.7815924882888794,0.9200000166893005,0.8804347515106201,0.7423076629638672,0.7901118993759155,,,,,,,,,
5e-05,5e-05,115,,,,,,,,,,,,,,,,,,,,,,,
,,119,1.5774731636047363,0.671765923500061,0.6770946979522705,0.5214285850524902,0.5214285850524902,0.7088918685913086,0.3830024003982544,23,,,,,,,,,,,,,,,
,,119,,,,,,,,23,0.9562197923660278,0.7802690267562866,0.9266666769981384,0.9030797481536865,0.7567307949066162,0.8076026439666748,,,,,,,,,
5e-06,5e-06,120,,,,,,,,,,,,,,,,,,,,,,,
,,124,1.5575861930847168,0.6716563701629639,0.676969051361084,0.5220982432365417,0.522098183631897,0.7069000005722046,0.38470345735549927,24,,,,,,,,,,,,,,,
,,124,,,,,,,,24,0.9692028760910034,0.816635251045227,0.8866666555404663,0.9003623723983765,0.6996386647224426,0.7494842410087585,,,,,,,,,
5e-06,5e-06,125,,,,,,,,,,,,,,,,,,,,,,,
,,129,1.55548095703125,0.6716017723083496,0.6769059896469116,0.5225446224212646,0.5225446224212646,0.7077978849411011,0.38561180233955383,25,,,,,,,,,,,,,,,
