lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.222780466079712,0.6576260924339294,0.6808664798736572,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5118657350540161,0.08124789595603943,0.7825000286102295,0.522639274597168,0.5096544623374939,0.4985518455505371,,,,,,,,,
0.0005,0.0005,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,2.5568370819091797,0.7102614641189575,0.7191202640533447,0.5004464387893677,0.5004464387893677,0.7501116991043091,0.3343246281147003,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.6960579752922058,0.18809613585472107,0.25,0.5806772112846375,0.5333333611488342,0.23904219269752502,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.6865124702453613,0.7369850873947144,0.7423717975616455,0.5669642686843872,0.5669642686843872,0.7087106704711914,0.47840332984924316,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.7172077894210815,0.13644403219223022,0.8799999952316284,0.48902788758277893,0.48725637793540955,0.4880000054836273,,,,,,,,,
0.0005,0.0005,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.9173486828804016,0.7312923669815063,0.7389225959777832,0.5274553298950195,0.5274553894996643,0.7382768392562866,0.39324483275413513,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.6963558793067932,0.33748117089271545,0.4300000071525574,0.625657856464386,0.5334867835044861,0.36721158027648926,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,1.0799949169158936,0.7284426689147949,0.7379278540611267,0.5207589268684387,0.5207589268684387,0.7500389814376831,0.37821921706199646,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.7911826372146606,0.3645601272583008,0.862500011920929,0.6686029434204102,0.5938329100608826,0.6137572526931763,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.825814425945282,0.7417342066764832,0.748169481754303,0.5419642925262451,0.5419642925262451,0.7227497100830078,0.4253709018230438,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.7877072691917419,0.3074056804180145,0.5600000023841858,0.69536292552948,0.5492182970046997,0.4513544738292694,,,,,,,,,
0.0005,0.0005,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,1.4696687459945679,0.7351443767547607,0.7434876561164856,0.5080357193946838,0.5080357193946838,0.7520252466201782,0.3509458899497986,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.8201767802238464,0.44164618849754333,0.8650000095367432,0.6871214509010315,0.6024686098098755,0.625,,,,,,,,,
0.0005,0.0005,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.8581157326698303,,,,,,,,
,,55,0.7953687310218811,0.7467255592346191,0.7533099055290222,0.5629464387893677,0.5629464387893677,0.7256006002426147,0.46684807538986206,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.8846192359924316,0.40300440788269043,0.8475000262260437,0.7636282444000244,0.6149351000785828,0.6421815156936646,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,1.4982035160064697,0.7469102740287781,0.7542463541030884,0.510937511920929,0.510937511920929,0.7429619431495667,0.3575570285320282,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.882236123085022,0.442318856716156,0.7699999809265137,0.7907854318618774,0.5923264026641846,0.5924875736236572,,,,,,,,,
0.0005,0.0005,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.9989505410194397,0.7471168041229248,0.7537926435470581,0.5375000238418579,0.5375000238418579,0.7219297289848328,0.41621455550193787,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.847780704498291,0.4175615906715393,0.8774999976158142,0.7625359892845154,0.6372508406639099,0.6706491112709045,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,1.3960790634155273,0.7429335713386536,0.7486908435821533,0.5180803537368774,0.5180803537368774,0.7373682260513306,0.3733510971069336,10,,,,,,,,,,,,,,,
