lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,1.2474035024642944,0.6529273986816406,0.6642003059387207,0.4993303716182709,0.4993303716182709,0.24983248114585876,0.33303558826446533,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.5110569000244141,0.10351552069187164,0.5833333134651184,0.47069597244262695,0.4898800849914551,0.426175594329834,,,,,,,,,
0.0005,0.0005,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.8346439599990845,0.7144548892974854,0.7182914018630981,0.5071428418159485,0.5071428418159485,0.724022388458252,0.34976792335510254,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.7939221262931824,0.23217129707336426,0.6200000047683716,0.7411477565765381,0.5797979831695557,0.5180111527442932,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.7211898565292358,0.7390433549880981,0.738152265548706,0.5589285492897034,0.5589285492897034,0.6512352228164673,0.4795077443122864,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.801655113697052,0.3166360557079315,0.8566666841506958,0.7043142318725586,0.6337002515792847,0.6565403938293457,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,1.7656065225601196,0.7570688724517822,0.7550976276397705,0.5263392925262451,0.5263392925262451,0.7145468592643738,0.3932807445526123,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.8518518209457397,0.5365319848060608,0.5233333110809326,0.688034176826477,0.5621412992477417,0.45083779096603394,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,1.4347255229949951,0.764873743057251,0.7630205154418945,0.5388392806053162,0.5388392806053162,0.7153807878494263,0.41998356580734253,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.9209063053131104,0.49801066517829895,0.9066666960716248,0.7818477749824524,0.7239892482757568,0.7481712102890015,,,,,,,,,
0.0005,0.0005,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.8164812326431274,0.7691420316696167,0.7677882313728333,0.6080357432365417,0.6080357432365417,0.7102914452552795,0.5537928342819214,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.9093745946884155,0.48772692680358887,0.7799999713897705,0.8290598392486572,0.6308887600898743,0.642625093460083,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,1.9900377988815308,0.7706634402275085,0.7699034810066223,0.5256696343421936,0.5256696343421936,0.7366015911102295,0.38963305950164795,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.8761362433433533,0.5552025437355042,0.8433333039283752,0.8137973546981812,0.6567497849464417,0.6899667978286743,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.8715655207633972,0.7707226276397705,0.7706442475318909,0.6075893044471741,0.6075892448425293,0.7079135179519653,0.5537581443786621,7,,,,,,,,,,,,,,,
