lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,2.146841049194336,0.7101172208786011,0.7159630656242371,0.5044642686843872,0.5044642686843872,0.7094554305076599,0.3439466953277588,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.5659835338592529,0.1076846644282341,0.5699999928474426,0.5726509690284729,0.520025908946991,0.4373464584350586,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,1.8401713371276855,0.7394330501556396,0.7405422329902649,0.5149553418159485,0.5149553418159485,0.7213367223739624,0.3675190508365631,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.6925731897354126,0.19045451283454895,0.6833333373069763,0.605897068977356,0.5331323146820068,0.49783769249916077,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,1.606266736984253,0.7638729810714722,0.7607507705688477,0.5196428298950195,0.5196428298950195,0.720711350440979,0.3779767155647278,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.7947823405265808,0.28135108947753906,0.7277777791023254,0.7066165208816528,0.5670028924942017,0.5507106184959412,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.7564244270324707,,,,,,,,
,,59,1.783801794052124,0.7706238031387329,0.7701432704925537,0.5129464268684387,0.5129464268684387,0.7298460006713867,0.36256343126296997,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.8404185771942139,0.2912628650665283,0.7688888907432556,0.7636799812316895,0.5911477208137512,0.592632532119751,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,1.0770659446716309,0.7569431662559509,0.7591624855995178,0.5669642686843872,0.5669642686843872,0.7220436334609985,0.4753596782684326,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.8459233045578003,0.30185645818710327,0.7644444704055786,0.7543056607246399,0.5874525308609009,0.5869235992431641,,,,,,,,,
0.0005,0.0005,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,2.845033645629883,0.7589104175567627,0.7609285116195679,0.5113839507102966,0.5113838911056519,0.7346994876861572,0.35887762904167175,5,,,,,,,,,,,,,,,
