lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.9931859970092773,0.5829659700393677,0.5926926136016846,0.5004464387893677,0.5004464387893677,0.5209455490112305,0.33862733840942383,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.4724533259868622,0.07938800007104874,0.550000011920929,0.43737247586250305,0.48180076479911804,0.3973124623298645,,,,,,,,,
0.0005,0.0005,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.144944429397583,0.6737412214279175,0.6789286136627197,0.5111607313156128,0.5111607313156128,0.6981431245803833,0.3602263629436493,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.6642599105834961,0.1572187840938568,0.5199999809265137,0.6204677820205688,0.5341490507125854,0.4248895049095154,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.6225942373275757,0.7119531631469727,0.709823727607727,0.6569196581840515,0.6569195985794067,0.6607778668403625,0.6548489332199097,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.7086799144744873,0.24718983471393585,0.800000011920929,0.672421932220459,0.5753481388092041,0.5847176313400269,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,1.7854231595993042,0.7376348972320557,0.734046459197998,0.512499988079071,0.512499988079071,0.7289752960205078,0.36161667108535767,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.8389577865600586,0.3727424740791321,0.6800000071525574,0.7469785213470459,0.5750035643577576,0.538786768913269,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,0.6027826070785522,0.748254120349884,0.74302077293396,0.6761160492897034,0.6761160492897034,0.6850050091743469,0.672178328037262,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.7896719574928284,0.3745579719543457,0.846666693687439,0.6976926326751709,0.6059204339981079,0.6280323266983032,,,,,,,,,
0.0005,0.0005,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,2.403320550918579,0.7575845718383789,0.7510133385658264,0.5122767686843872,0.5122767686843872,0.7361609935760498,0.3607789874076843,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.9397268891334534,0.6137529611587524,0.6633333563804626,0.8176895380020142,0.5927419662475586,0.5449835658073425,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,1.3980181217193604,0.7615692615509033,0.7545639276504517,0.543749988079071,0.543749988079071,0.720941960811615,0.4293336570262909,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.9434939622879028,0.6229866743087769,0.9433333277702332,0.7500392198562622,0.813829779624939,0.7774772047996521,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,1.1330902576446533,0.7686704993247986,0.7606794834136963,0.5662946701049805,0.5662946105003357,0.7061509490013123,0.4777124524116516,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.8924815654754639,0.6025024652481079,0.6499999761581421,0.7706011533737183,0.5789955854415894,0.5269631147384644,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,3.30041241645813,0.774111270904541,0.7651010751724243,0.5098214149475098,0.5098214149475098,0.7416112422943115,0.3551659882068634,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.9420813322067261,0.5741913318634033,0.8766666650772095,0.8734107613563538,0.6790876388549805,0.7243673801422119,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.42626291513442993,,,,,,,,
,,49,1.488759994506836,0.7744308114051819,0.7659049034118652,0.5535714030265808,0.5535714626312256,0.7170430421829224,0.4500119686126709,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.9365876913070679,0.5905731916427612,0.9066666960716248,0.8099199533462524,0.7029082179069519,0.7407407760620117,,,,,,,,,
