lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.6877228617668152,0.5818985104560852,0.6043510437011719,0.5508928298950195,0.5508928298950195,0.552273154258728,0.5479083061218262,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.5367074012756348,0.17284327745437622,0.4928571283817291,0.5228389501571655,0.5106455087661743,0.42593657970428467,,,,,,,,,
0.0005,0.0005,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.6528423428535461,0.6813717484474182,0.6976172924041748,0.6247767806053162,0.6247767806053162,0.6600000262260437,0.6029231548309326,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.5666210055351257,0.19156500697135925,0.5671428442001343,0.5522611141204834,0.5246401429176331,0.47211360931396484,,,,,,,,,
0.0005,0.0005,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.6256088614463806,0.7133198976516724,0.7240903377532959,0.6553571224212646,0.6553571224212646,0.6707221269607544,0.6474242210388184,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.6549400091171265,0.24921441078186035,0.604285717010498,0.6051716804504395,0.5500538945198059,0.508515477180481,,,,,,,,,
0.0005,0.0005,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.6243259906768799,0.7255669832229614,0.7353605031967163,0.6484375,0.6484375,0.6843801736831665,0.6304265260696411,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.6261147260665894,0.2717917859554291,0.5971428751945496,0.5920581221580505,0.543774425983429,0.5004251599311829,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.9364417791366577,,,,,,,,
,,54,0.7257407307624817,0.7495458126068115,0.755230188369751,0.5877231955528259,0.5877231955528259,0.7215734720230103,0.514384388923645,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.7357454299926758,0.35219910740852356,0.6800000071525574,0.6758654117584229,0.5881369709968567,0.5733333826065063,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.6519301533699036,0.7684547901153564,0.7715058326721191,0.6332589387893677,0.6332589387893677,0.7234258651733398,0.5921059846878052,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.7449617385864258,0.37449443340301514,0.7171428799629211,0.6883294582366943,0.6001456379890442,0.5989583134651184,,,,,,,,,
0.0005,0.0005,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.6563374400138855,0.7796661853790283,0.781415581703186,0.6368303298950195,0.6368303298950195,0.7251613736152649,0.5973393321037292,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.7615511417388916,0.4223821759223938,0.7085714340209961,0.6968611478805542,0.6019862294197083,0.5972654819488525,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,1.1105366945266724,0.7871462106704712,0.787384033203125,0.5562499761581421,0.5562500357627869,0.7293359041213989,0.4530507028102875,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.8002598285675049,0.4111256003379822,0.727142870426178,0.7075872421264648,0.6106432676315308,0.6122828125953674,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,1.2671442031860352,0.7919079065322876,0.7913460731506348,0.5562499761581421,0.5562499761581421,0.7307964563369751,0.4527890086174011,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.8403377532958984,0.5106009244918823,0.7671428322792053,0.7531598806381226,0.6413117051124573,0.6550775766372681,,,,,,,,,
0.0005,0.0005,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.8020052313804626,,,,,,,,
,,109,2.018646478652954,0.7920489311218262,0.7909857034683228,0.520312488079071,0.520312488079071,0.7304427623748779,0.37867242097854614,9,,,,,,,,,,,,,,,
,,109,,,,,,,,9,0.8487641215324402,0.5275851488113403,0.7471428513526917,0.7505968809127808,0.6335672736167908,0.6407018899917603,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,120,1.750752568244934,0.7942659854888916,0.792899489402771,0.5370535850524902,0.5370535850524902,0.7327829599380493,0.41383910179138184,10,,,,,,,,,,,,,,,
,,120,,,,,,,,10,0.8652306795120239,0.531011700630188,0.772857129573822,0.7744364738464355,0.651513397693634,0.6667414903640747,,,,,,,,,
0.0005,0.0005,121,,,,,,,,,,,,,,,,,,,,,,,
,,131,1.6235648393630981,0.7960227727890015,0.7946816086769104,0.5495535731315613,0.5495535731315613,0.7351205348968506,0.43882858753204346,11,,,,,,,,,,,,,,,
,,131,,,,,,,,11,0.8812758922576904,0.5909520387649536,0.8114285469055176,0.7967137098312378,0.678020715713501,0.703766405582428,,,,,,,,,
5e-05,5e-05,132,,,,,,,,,,,,,,,,,,,,,,,
,,142,1.744873285293579,0.7963510751724243,0.7951032519340515,0.542187511920929,0.542187511920929,0.735001802444458,0.4240482747554779,12,,,,,,,,,,,,,,,
,,142,,,,,,,,12,0.8999543190002441,0.6184684038162231,0.808571457862854,0.8220279216766357,0.6845546960830688,0.7100786566734314,,,,,,,,,
5e-05,5e-05,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,13,,,,,,,0.3760281205177307,,,,,,,,
,,153,1.6509406566619873,0.7967278957366943,0.7955254316329956,0.5493303537368774,0.5493303537368774,0.7367364168167114,0.43813377618789673,13,,,,,,,,,,,,,,,
,,153,,,,,,,,13,0.8921073079109192,0.6236371397972107,0.8042857050895691,0.7836002111434937,0.6695618033409119,0.6933741569519043,,,,,,,,,
5e-05,5e-05,154,,,,,,,,,,,,,,,,,,,,,,,
,,164,1.8624241352081299,0.7973597645759583,0.796072244644165,0.5399553775787354,0.5399553775787354,0.7353275418281555,0.4194628596305847,14,,,,,,,,,,,,,,,
,,164,,,,,,,,14,0.9129977226257324,0.6440078020095825,0.8199999928474426,0.8331226706504822,0.694553792476654,0.7231673002243042,,,,,,,,,
5e-05,5e-05,165,,,,,,,,,,,,,,,,,,,,,,,
,,175,1.8187452554702759,0.7978804707527161,0.7966070771217346,0.5428571701049805,0.5428571701049805,0.7355508208274841,0.42532891035079956,15,,,,,,,,,,,,,,,
,,175,,,,,,,,15,0.906730592250824,0.6329500675201416,0.822857141494751,0.830278754234314,0.695457935333252,0.7246856689453125,,,,,,,,,
5e-05,5e-05,176,,,,,,,,,,,,,,,,,,,,,,,
,,186,1.817631483078003,0.7983073592185974,0.7971267700195312,0.5439732074737549,0.5439732074737549,0.7364441752433777,0.4274575710296631,16,,,,,,,,,,,,,,,
,,186,,,,,,,,16,0.9216698408126831,0.6833245754241943,0.8428571224212646,0.8283477425575256,0.7092732191085815,0.7417459487915039,,,,,,,,,
5e-05,5e-05,187,,,,,,,,,,,,,,,,,,,,,,,
,,197,1.7984561920166016,0.7985981106758118,0.7975295186042786,0.5457589030265808,0.5457589030265808,0.7339231371879578,0.43141958117485046,17,,,,,,,,,,,,,,,
,,197,,,,,,,,17,0.9141913652420044,0.6750885248184204,0.8585714101791382,0.8643880486488342,0.7313041090965271,0.7682514190673828,,,,,,,,,
5e-05,5e-05,198,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,18,,,,,,,0.33140289783477783,,,,,,,,
,,208,1.785972237586975,0.7986535429954529,0.7975406646728516,0.5475446581840515,0.5475446581840515,0.7353593111038208,0.4347856044769287,18,,,,,,,,,,,,,,,
,,208,,,,,,,,18,0.9050628542900085,0.6650031805038452,0.831428587436676,0.8397233486175537,0.7038254141807556,0.7351851463317871,,,,,,,,,
5e-05,5e-05,209,,,,,,,,,,,,,,,,,,,,,,,
,,219,1.9079458713531494,0.7988688945770264,0.7976312637329102,0.5430803298950195,0.5430803894996643,0.7378334999084473,0.42546364665031433,19,,,,,,,,,,,,,,,
,,219,,,,,,,,19,0.9182115197181702,0.6898183822631836,0.8299999833106995,0.8433923125267029,0.7039069533348083,0.7350837588310242,,,,,,,,,
5e-05,5e-05,220,,,,,,,,,,,,,,,,,,,,,,,
,,230,1.9106566905975342,0.799077033996582,0.7977538108825684,0.5439732074737549,0.5439732074737549,0.7344144582748413,0.42774680256843567,20,,,,,,,,,,,,,,,
,,230,,,,,,,,20,0.9275331497192383,0.7185571789741516,0.8514285683631897,0.86475670337677,0.7252992987632751,0.7613897323608398,,,,,,,,,
5e-05,5e-05,231,,,,,,,,,,,,,,,,,,,,,,,
,,241,1.945801854133606,0.7994760274887085,0.7980799078941345,0.543749988079071,0.543749988079071,0.7342296242713928,0.4273220896720886,21,,,,,,,,,,,,,,,
,,241,,,,,,,,21,0.9065374135971069,0.6942001581192017,0.8271428346633911,0.8282599449157715,0.6976408362388611,0.7277148962020874,,,,,,,,,
5e-05,5e-05,242,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,22,,,,,,,0.44250962138175964,,,,,,,,
,,252,1.9762015342712402,0.7995269298553467,0.7981526851654053,0.5430803298950195,0.5430803298950195,0.7357316017150879,0.42575523257255554,22,,,,,,,,,,,,,,,
,,252,,,,,,,,22,0.9138227701187134,0.72151780128479,0.8442857265472412,0.8381609916687012,0.7129473090171814,0.7463220357894897,,,,,,,,,
5e-05,5e-05,253,,,,,,,,,,,,,,,,,,,,,,,
,,263,1.9864639043807983,0.7998313903808594,0.7985677719116211,0.5426339507102966,0.5426339507102966,0.7332887649536133,0.4251941442489624,23,,,,,,,,,,,,,,,
,,263,,,,,,,,23,0.9270591735839844,0.7409841418266296,0.8528571724891663,0.8206411600112915,0.7162178158760071,0.748429000377655,,,,,,,,,
5e-06,5e-06,264,,,,,,,,,,,,,,,,,,,,,,,
,,274,1.9143463373184204,0.7997995018959045,0.798606276512146,0.546875,0.546875,0.7367235422134399,0.4332423210144043,24,,,,,,,,,,,,,,,
,,274,,,,,,,,24,0.895232081413269,0.6456296443939209,0.8285714387893677,0.8066147565841675,0.6923229098320007,0.721526026725769,,,,,,,,,
5e-06,5e-06,275,,,,,,,,,,,,,,,,,,,,,,,
,,285,1.869378924369812,0.7998102903366089,0.7986403107643127,0.5488839149475098,0.5488839149475098,0.7345939874649048,0.43757718801498413,25,,,,,,,,,,,,,,,
,,285,,,,,,,,25,0.9301839470863342,0.6820252537727356,0.8428571224212646,0.8643002510070801,0.7185709476470947,0.7531386613845825,,,,,,,,,
5e-06,5e-06,286,,,,,,,,,,,,,,,,,,,,,,,
,,296,1.8823955059051514,0.7998558878898621,0.7986763715744019,0.5488839149475098,0.5488839149475098,0.736397385597229,0.43729838728904724,26,,,,,,,,,,,,,,,
,,296,,,,,,,,26,0.9105048775672913,0.6763997077941895,0.8428571224212646,0.8328418135643005,0.7104328870773315,0.7432512044906616,,,,,,,,,
5e-06,5e-06,297,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,27,,,,,,,0.45325249433517456,,,,,,,,
,,307,1.865657925605774,0.7998748421669006,0.7987261414527893,0.5488839149475098,0.5488839149475098,0.7345939874649048,0.43757718801498413,27,,,,,,,,,,,,,,,
,,307,,,,,,,,27,0.9321852922439575,0.7364128828048706,0.8357142806053162,0.8511867523193359,0.7099711298942566,0.7426133155822754,,,,,,,,,
5e-06,5e-06,308,,,,,,,,,,,,,,,,,,,,,,,
,,318,1.8874104022979736,0.7999536395072937,0.7987987995147705,0.5488839149475098,0.5488839149475098,0.736397385597229,0.43729838728904724,28,,,,,,,,,,,,,,,
,,318,,,,,,,,28,0.9289902448654175,0.6963726878166199,0.8271428346633911,0.8462362289428711,0.7028718590736389,0.7334592342376709,,,,,,,,,
5e-06,5e-06,319,,,,,,,,,,,,,,,,,,,,,,,
,,329,1.9251399040222168,0.8000764846801758,0.7988582849502563,0.546875,0.546875,0.7367235422134399,0.4332423210144043,29,,,,,,,,,,,,,,,
,,329,,,,,,,,29,0.9266729354858398,0.6637815237045288,0.8357142806053162,0.8421986103057861,0.7075070142745972,0.7397979497909546,,,,,,,,,
5e-06,5e-06,330,,,,,,,,,,,,,,,,,,,,,,,
,,340,1.9347002506256104,0.8001354932785034,0.7989083528518677,0.546875,0.546875,0.7367235422134399,0.4332423210144043,30,,,,,,,,,,,,,,,
,,340,,,,,,,,30,0.9363106489181519,0.758400559425354,0.8571428656578064,0.8725510835647583,0.731873631477356,0.7692632675170898,,,,,,,,,
5e-06,5e-06,341,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,31,,,,,,,0.3126083016395569,,,,,,,,
,,351,1.9468965530395508,0.8001861572265625,0.7989373207092285,0.5464285612106323,0.5464285612106323,0.7363790273666382,0.4323999881744385,31,,,,,,,,,,,,,,,
,,351,,,,,,,,31,0.931816577911377,0.7243467569351196,0.8414285778999329,0.8544870615005493,0.7149586081504822,0.7488484978675842,,,,,,,,,
5e-06,5e-06,352,,,,,,,,,,,,,,,,,,,,,,,
,,362,1.970360279083252,0.8002700805664062,0.798978865146637,0.5455357432365417,0.545535683631897,0.7356785535812378,0.43071186542510986,32,,,,,,,,,,,,,,,
,,362,,,,,,,,32,0.9332034587860107,0.704796552658081,0.8471428751945496,0.844305157661438,0.7168164849281311,0.7509766221046448,,,,,,,,,
5e-06,5e-06,363,,,,,,,,,,,,,,,,,,,,,,,
,,373,1.9697891473770142,0.800338625907898,0.7990487813949585,0.5459821224212646,0.5459821224212646,0.7360306978225708,0.43155649304389954,33,,,,,,,,,,,,,,,
,,373,,,,,,,,33,0.9203181266784668,0.7117142081260681,0.8371428847312927,0.8205533027648926,0.7026637196540833,0.733914852142334,,,,,,,,,
5e-06,5e-06,374,,,,,,,,,,,,,,,,,,,,,,,
,,384,1.9673904180526733,0.8003129363059998,0.7990152835845947,0.5462053418159485,0.5462053418159485,0.7362053394317627,0.43197837471961975,34,,,,,,,,,,,,,,,
,,384,,,,,,,,34,0.9292535781860352,0.7559731006622314,0.8414285778999329,0.8410048484802246,0.7114285826683044,0.7446087002754211,,,,,,,,,
5e-06,5e-06,385,,,,,,,,,,,,,,,,,,,,,,,
,,395,1.9888392686843872,0.8003401756286621,0.7990257740020752,0.5453125238418579,0.5453125238418579,0.7355010509490967,0.4302891492843628,35,,,,,,,,,,,,,,,
,,395,,,,,,,,35,0.9412260055541992,0.7237240076065063,0.8671428561210632,0.8693385124206543,0.7403605580329895,0.778383731842041,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,396,,,,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,,36,,,,,,,0.3632158637046814,,,,,,,,
,,406,1.9861042499542236,0.8003404140472412,0.7990293502807617,0.5453125238418579,0.5453125238418579,0.7355010509490967,0.4302891492843628,36,,,,,,,,,,,,,,,
,,406,,,,,,,,36,0.9082928895950317,0.624000072479248,0.8242856860160828,0.8221157193183899,0.6939414739608765,0.7232142686843872,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,407,,,,,,,,,,,,,,,,,,,,,,,
,,417,1.9874123334884644,0.8003487586975098,0.7990370988845825,0.5453125238418579,0.5453125238418579,0.7355010509490967,0.4302891492843628,37,,,,,,,,,,,,,,,
,,417,,,,,,,,37,0.9244786500930786,0.7175257205963135,0.8242856860160828,0.8266097903251648,0.6952768564224243,0.7247081995010376,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,418,,,,,,,,,,,,,,,,,,,,,,,
,,428,1.9844257831573486,0.8003431558609009,0.7990344166755676,0.5453125238418579,0.5453125238418579,0.7355010509490967,0.4302891492843628,38,,,,,,,,,,,,,,,
,,428,,,,,,,,38,0.9270240664482117,0.6990028619766235,0.8571428656578064,0.8500807285308838,0.7268611192703247,0.7624187469482422,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,429,,,,,,,,,,,,,,,,,,,,,,,
,,439,1.9826215505599976,0.8003376126289368,0.7990342378616333,0.5455357432365417,0.545535683631897,0.7356785535812378,0.43071186542510986,39,,,,,,,,,,,,,,,
,,439,,,,,,,,39,0.925373911857605,0.6994630098342896,0.8371428847312927,0.8430236577987671,0.708760678768158,0.7413491010665894,,,,,,,,,
