lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,2.322866916656494,0.7025569677352905,0.7113044261932373,0.5026785731315613,0.5026785731315613,0.7149574756622314,0.3396476209163666,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.5688467025756836,0.09544292092323303,0.5477777719497681,0.5629956126213074,0.5162503719329834,0.42110660672187805,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,2.3616726398468018,0.7183026671409607,0.7253197431564331,0.5069196224212646,0.5069196224212646,0.7231720685958862,0.3492848575115204,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.670913815498352,0.19402804970741272,0.6700000166893005,0.606224536895752,0.5306102633476257,0.48756879568099976,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,1.7664051055908203,0.7357633113861084,0.7378058433532715,0.5160714387893677,0.5160714387893677,0.713398814201355,0.37056323885917664,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.767611026763916,0.25064653158187866,0.7344444394111633,0.7005735635757446,0.562769889831543,0.5469279885292053,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.3747280240058899,,,,,,,,
,,59,2.2616231441497803,0.7517478466033936,0.7520946264266968,0.5102678537368774,0.5102678537368774,0.7079565525054932,0.3575966954231262,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.8405189514160156,0.3257160782814026,0.7744444608688354,0.7817961573600769,0.5926768779754639,0.5950788855552673,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,1.1326078176498413,0.7663780450820923,0.7654069066047668,0.5627232193946838,0.5627232193946838,0.7149176597595215,0.4686548709869385,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.8586111664772034,0.3159042000770569,0.8133333325386047,0.742936372756958,0.5942953824996948,0.6098064184188843,,,,,,,,,
0.0005,0.0005,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,2.1725964546203613,0.7658560276031494,0.7657597661018372,0.5167410969734192,0.5167410969734192,0.7301678657531738,0.3709069490432739,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.860266387462616,0.41253918409347534,0.7977777719497681,0.7719224095344543,0.5968626737594604,0.6082502007484436,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.3305804133415222,,,,,,,,
,,104,2.064985990524292,0.7688319087028503,0.7681089639663696,0.5169642567634583,0.516964316368103,0.7305126190185547,0.37137338519096375,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.8439255952835083,0.4304601848125458,0.801111102104187,0.7438409328460693,0.5901714563369751,0.6014655232429504,,,,,,,,,
0.0005,0.0005,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,2.264934539794922,0.7696148157119751,0.7676181793212891,0.5245535969734192,0.5245535373687744,0.728087306022644,0.38803088665008545,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.9197012782096863,0.4711500108242035,0.8500000238418579,0.8373046517372131,0.6381280422210693,0.6720036864280701,,,,,,,,,
0.0005,0.0005,120,,,,,,,,,,,,,,,,,,,,,,,
,,134,2.408045530319214,0.7715697884559631,0.7686115503311157,0.5189732313156128,0.5189732313156128,0.7285302877426147,0.3759024143218994,8,,,,,,,,,,,,,,,
,,134,,,,,,,,8,0.9264377355575562,0.47465604543685913,0.8566666841506958,0.8558202981948853,0.6469893455505371,0.6843178868293762,,,,,,,,,
0.0005,0.0005,135,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.029064545407891273,,,,,,,,
,,149,2.7857072353363037,0.7728230953216553,0.7701548337936401,0.5160714387893677,0.5160714387893677,0.7290909290313721,0.3695056140422821,9,,,,,,,,,,,,,,,
,,149,,,,,,,,9,0.9440680742263794,0.6200623512268066,0.8788889050483704,0.8826891779899597,0.6704486012458801,0.7166696786880493,,,,,,,,,
0.0005,0.0005,150,,,,,,,,,,,,,,,,,,,,,,,
,,164,3.120121955871582,0.7684034109115601,0.7688171863555908,0.5120535492897034,0.5120536088943481,0.7280542850494385,0.36066848039627075,10,,,,,,,,,,,,,,,
,,164,,,,,,,,10,0.9577527046203613,0.6788594722747803,0.8788889050483704,0.8826891779899597,0.6704486012458801,0.7166696786880493,,,,,,,,,
0.0005,0.0005,165,,,,,,,,,,,,,,,,,,,,,,,
,,179,3.3445701599121094,0.7667806148529053,0.768393337726593,0.5098214149475098,0.5098214149475098,0.7224830389022827,0.35590633749961853,11,,,,,,,,,,,,,,,
,,179,,,,,,,,11,0.9138501882553101,0.5392746925354004,0.8399999737739563,0.8169990181922913,0.6270833015441895,0.6562662124633789,,,,,,,,,
5e-05,5e-05,180,,,,,,,,,,,,,,,,,,,,,,,
,,194,1.7030168771743774,0.7666832804679871,0.7695353031158447,0.5522321462631226,0.5522321462631226,0.7243536114692688,0.4459710121154785,12,,,,,,,,,,,,,,,
,,194,,,,,,,,12,0.9515166878700256,0.5726982355117798,0.9300000071525574,0.8205212354660034,0.7354413270950317,0.7695112228393555,,,,,,,,,
5e-05,5e-05,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,13,,,,,,,0.16443654894828796,,,,,,,,
,,209,1.7296684980392456,0.7664888501167297,0.7692916393280029,0.5517857074737549,0.5517857074737549,0.7224360704421997,0.4454186260700226,13,,,,,,,,,,,,,,,
,,209,,,,,,,,13,0.9622565507888794,0.6238160133361816,0.8755555748939514,0.9182385206222534,0.6751007437705994,0.7229063510894775,,,,,,,,,
5e-05,5e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,224,2.0011773109436035,0.7673323154449463,0.7699052095413208,0.5424107313156128,0.5424107313156128,0.7373145818710327,0.42418256402015686,14,,,,,,,,,,,,,,,
,,224,,,,,,,,14,0.9614673852920532,0.6279003620147705,0.9122222065925598,0.8856532573699951,0.7096556425094604,0.7620282769203186,,,,,,,,,
5e-05,5e-05,225,,,,,,,,,,,,,,,,,,,,,,,
,,239,1.9168670177459717,0.767463743686676,0.7699718475341797,0.5457589030265808,0.5457589030265808,0.7358551025390625,0.43113434314727783,15,,,,,,,,,,,,,,,
,,239,,,,,,,,15,0.9669912457466125,0.6356658339500427,0.902222216129303,0.9101547598838806,0.7002819776535034,0.7546437978744507,,,,,,,,,
5e-05,5e-05,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,16,,,,,,,0.13424426317214966,,,,,,,,
,,254,2.123673439025879,0.7678655385971069,0.770164430141449,0.5395089387893677,0.5395089387893677,0.7395964860916138,0.4180019795894623,16,,,,,,,,,,,,,,,
,,254,,,,,,,,16,0.9774231910705566,0.7339377999305725,0.9055555462837219,0.9343482851982117,0.7084692120552063,0.766037106513977,,,,,,,,,
5e-05,5e-05,255,,,,,,,,,,,,,,,,,,,,,,,
,,269,1.8514896631240845,0.7678854465484619,0.7702124118804932,0.5495535731315613,0.5495535731315613,0.7233914136886597,0.44075602293014526,17,,,,,,,,,,,,,,,
,,269,,,,,,,,17,0.9667025804519653,0.7230039834976196,0.9133333563804626,0.8787820339202881,0.7102563977241516,0.7616105079650879,,,,,,,,,
5e-05,5e-05,270,,,,,,,,,,,,,,,,,,,,,,,
,,284,2.1620614528656006,0.7679505944252014,0.7699388265609741,0.5390625,0.5390625,0.7392580509185791,0.4171370565891266,18,,,,,,,,,,,,,,,
,,284,,,,,,,,18,0.976056694984436,0.7268568277359009,0.9122222065925598,0.9379281997680664,0.7176674604415894,0.7768354415893555,,,,,,,,,
5e-05,5e-05,285,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,19,,,,,,,0.06878811866044998,,,,,,,,
,,299,2.3870930671691895,0.7684787511825562,0.7702182531356812,0.5330356955528259,0.5330356955528259,0.7398147583007812,0.4047154486179352,19,,,,,,,,,,,,,,,
,,299,,,,,,,,19,0.9777888655662537,0.7284042835235596,0.9300000071525574,0.9250712394714355,0.7446413636207581,0.8026254177093506,,,,,,,,,
5e-05,5e-05,300,,,,,,,,,,,,,,,,,,,,,,,
,,314,2.2014060020446777,0.768365740776062,0.7702231407165527,0.5406249761581421,0.5406249761581421,0.740423858165741,0.4201590418815613,20,,,,,,,,,,,,,,,
,,314,,,,,,,,20,0.9738817811012268,0.7453631162643433,0.9255555272102356,0.9226845502853394,0.7362947463989258,0.7942253351211548,,,,,,,,,
5e-05,5e-05,315,,,,,,,,,,,,,,,,,,,,,,,
,,329,2.449326515197754,0.7694172859191895,0.7710707783699036,0.5337053537368774,0.5337053537368774,0.7375364303588867,0.4063524603843689,21,,,,,,,,,,,,,,,
,,329,,,,,,,,21,0.971264123916626,0.6903868913650513,0.9288889169692993,0.9244745969772339,0.742500901222229,0.800495982170105,,,,,,,,,
5e-05,5e-05,330,,,,,,,,,,,,,,,,,,,,,,,
,,344,2.2514126300811768,0.7696359157562256,0.7714905738830566,0.5410714149475098,0.5410714149475098,0.7362478971481323,0.42161256074905396,22,,,,,,,,,,,,,,,
,,344,,,,,,,,22,0.9814843535423279,0.7295835018157959,0.9311110973358154,0.9406036138534546,0.7480818033218384,0.8086419701576233,,,,,,,,,
5e-05,5e-05,345,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,23,,,,,,,0.14921118319034576,,,,,,,,
,,359,2.078799247741699,0.7685544490814209,0.77069091796875,0.5473214387893677,0.5473214387893677,0.7333333492279053,0.4346475601196289,23,,,,,,,,,,,,,,,
,,359,,,,,,,,23,0.9676264524459839,0.7265878915786743,0.9166666865348816,0.8955077528953552,0.7180057168006897,0.7718908786773682,,,,,,,,,
5e-06,5e-06,360,,,,,,,,,,,,,,,,,,,,,,,
,,374,2.13264536857605,0.7685690522193909,0.7706490755081177,0.5455357432365417,0.545535683631897,0.7337391376495361,0.4309975504875183,24,,,,,,,,,,,,,,,
,,374,,,,,,,,24,0.9852567315101624,0.7692568302154541,0.902222216129303,0.9474940299987793,0.7066666483879089,0.7647449970245361,,,,,,,,,
5e-06,5e-06,375,,,,,,,,,,,,,,,,,,,,,,,
,,389,2.1794869899749756,0.7685558795928955,0.770635724067688,0.5428571701049805,0.5428571701049805,0.737661600112915,0.4250369071960449,25,,,,,,,,,,,,,,,
,,389,,,,,,,,25,0.9694549441337585,0.7221359610557556,0.9077777862548828,0.9131380319595337,0.7078431248664856,0.7634511590003967,,,,,,,,,
5e-06,5e-06,390,,,,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,,26,,,,,,,0.21173922717571259,,,,,,,,
,,404,2.2096524238586426,0.7685428261756897,0.7706234455108643,0.5426339507102966,0.5426339507102966,0.7374886274337769,0.424609899520874,26,,,,,,,,,,,,,,,
,,404,,,,,,,,26,0.9777697324752808,0.7465708255767822,0.9088888764381409,0.9361382722854614,0.7129698991775513,0.7713726758956909,,,,,,,,,
