lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,1.3340364694595337,0.6361004114151001,0.6470803022384644,0.5008928775787354,0.5008928179740906,0.6252236366271973,0.3361016809940338,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.5831938982009888,0.03636156767606735,0.7080000042915344,0.584123432636261,0.5087906718254089,0.4455583989620209,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,1.7810723781585693,0.6903722286224365,0.686326265335083,0.5013392567634583,0.5013392567634583,0.6878354549407959,0.33669552206993103,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.624837338924408,0.049177125096321106,0.6499999761581421,0.6877672672271729,0.5175347328186035,0.43372657895088196,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.7792608737945557,0.7095638513565063,0.7028413414955139,0.5292410850524902,0.5292410850524902,0.6322908997535706,0.4153944253921509,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.5963934063911438,0.057050012052059174,0.6660000085830688,0.518218994140625,0.5017784833908081,0.42164501547813416,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,3.548487424850464,0.7303833365440369,0.7107544541358948,0.5002232193946838,0.5002232193946838,0.7500557899475098,0.3338291645050049,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.7914110422134399,0.09143661707639694,0.6100000143051147,0.7117494344711304,0.5189214944839478,0.41836532950401306,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.7696601748466492,0.7285931706428528,0.7153866291046143,0.5482142567634583,0.548214316368103,0.6606669425964355,0.45239564776420593,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.6032719612121582,0.12427505850791931,0.8100000023841858,0.5474066138267517,0.5069105625152588,0.4768664836883545,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,2.4215197563171387,0.7515870332717896,0.7335085868835449,0.5,0.5,0.5,0.33372974395751953,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.8746978640556335,0.22835372388362885,0.527999997138977,0.7586911916732788,0.52226722240448,0.3836059868335724,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,1.6891661882400513,,,,,,,,
,,55,0.7223908305168152,0.7486985921859741,0.7338685989379883,0.5787946581840515,0.5787946581840515,0.685528039932251,0.5080389380455017,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.6279977560043335,0.0986238345503807,0.9359999895095825,0.5673917531967163,0.530526340007782,0.5389580726623535,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.9220784902572632,0.746834933757782,0.7339612245559692,0.53125,0.53125,0.6923690438270569,0.4071049094200134,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.8049823045730591,0.2070876955986023,0.7279999852180481,0.7720766067504883,0.5286673903465271,0.47806328535079956,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,1.058863878250122,0.7447267770767212,0.7310549020767212,0.5191964507102966,0.5191964507102966,0.68116295337677,0.38079920411109924,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.8862241506576538,0.4183938801288605,0.843999981880188,0.7869492769241333,0.5445956587791443,0.5420600175857544,,,,,,,,,
0.0005,0.0005,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.6831225156784058,0.7498893737792969,0.7343290448188782,0.6225446462631226,0.6225446462631226,0.6788715124130249,0.5902900695800781,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.8096300363540649,0.14719559252262115,0.7860000133514404,0.712864875793457,0.5266900062561035,0.49698662757873535,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,1.2309017181396484,0.7551169991493225,0.7385543584823608,0.5227678418159485,0.5227678418159485,0.6933701634407043,0.38772088289260864,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.918572187423706,0.3334008455276489,0.8799999952316284,0.8942182660102844,0.57130366563797,0.592391312122345,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.8755688071250916,0.7543799877166748,0.7377092838287354,0.5825892686843872,0.5825892686843872,0.6947734355926514,0.5123745799064636,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.8546197414398193,0.3228776156902313,0.8600000143051147,0.8395612239837646,0.5560774803161621,0.5638955235481262,,,,,,,,,
5e-05,5e-05,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.24381300806999207,,,,,,,,
