lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,1.419326901435852,0.5051529407501221,0.5262671709060669,0.49866071343421936,0.49866071343421936,0.24966472387313843,0.3327375650405884,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.5130357146263123,0.07458136975765228,0.6000000238418579,0.47232142090797424,0.49266481399536133,0.4203925132751465,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.7481057643890381,0.6429777145385742,0.6477118730545044,0.5055803656578064,0.5055803656578064,0.5457667112350464,0.36652064323425293,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.49910712242126465,0.0719967857003212,0.5116666555404663,0.48303571343421936,0.4957720935344696,0.38651376962661743,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6722010970115662,0.7028831243515015,0.704116940498352,0.5910714268684387,0.5910714268684387,0.6695569753646851,0.5375568270683289,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.5799106955528259,0.0915674939751625,0.5533333420753479,0.5517857074737549,0.5130021572113037,0.41961193084716797,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.729755699634552,0.7295504212379456,0.7293598651885986,0.5618303418159485,0.5618303418159485,0.6986528635025024,0.47068947553634644,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.6418749690055847,0.12816143035888672,0.6433333158493042,0.6116071343421936,0.529904305934906,0.47463175654411316,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.36166590452194214,,,,,,,,
,,49,1.1670310497283936,0.7239423394203186,0.7253369092941284,0.5073660612106323,0.5073660612106323,0.703078031539917,0.3510016202926636,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.7133482694625854,0.16368518769741058,0.54666668176651,0.6526785492897034,0.5380151867866516,0.43577051162719727,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
