lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.9568444490432739,0.6503372192382812,0.6603202223777771,0.515625,0.515625,0.6984307765960693,0.3706846833229065,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.5753886699676514,0.12283523380756378,0.6100000143051147,0.546450674533844,0.5116192102432251,0.44086021184921265,,,,,,,,,
0.0005,0.0005,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.7860931158065796,0.6996797919273376,0.7036976218223572,0.5506696701049805,0.5506696701049805,0.6801333427429199,0.45225149393081665,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.8544671535491943,0.3407084345817566,0.7233333587646484,0.7541674375534058,0.5700784921646118,0.5475277900695801,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,2.3389029502868652,0.7243167161941528,0.725407063961029,0.5069196224212646,0.5069196224212646,0.7231720685958862,0.3492848575115204,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.8494099974632263,0.4499976933002472,0.8766666650772095,0.7624086737632751,0.6292912364006042,0.6623984575271606,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6281823515892029,0.738905668258667,0.739106297492981,0.6571428775787354,0.6571428775787354,0.6903849840164185,0.6414936780929565,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.8585877418518066,0.4171387553215027,0.8166666626930237,0.7794530391693115,0.5987818241119385,0.6154832243919373,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,2.888446092605591,0.7573429346084595,0.7539275884628296,0.5091517567634583,0.5091517567634583,0.7300889492034912,0.3540992736816406,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.9269526600837708,0.37813785672187805,0.800000011920929,0.8687020540237427,0.6146409511566162,0.6279761791229248,,,,,,,,,
0.0005,0.0005,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,1.458083987236023,0.7601720094680786,0.7575024962425232,0.5332589149475098,0.5332589149475098,0.7122207880020142,0.4085743725299835,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.964600145816803,0.6165585517883301,0.9566666483879089,0.8541861772537231,0.8091890215873718,0.8298355340957642,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,1.3114973306655884,0.7633609771728516,0.76056969165802,0.5415178537368774,0.5415178537368774,0.7031209468841553,0.4276841878890991,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.9393144845962524,0.7610334753990173,0.8100000023841858,0.8740401268005371,0.6194092631340027,0.6373353600502014,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,2.4804952144622803,0.766357421875,0.7636974453926086,0.515625,0.515625,0.712314248085022,0.3696304261684418,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.9638508558273315,0.7402373552322388,0.903333306312561,0.8993257284164429,0.6892755627632141,0.7428394556045532,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,2.8292171955108643,0.7679957747459412,0.7658939361572266,0.5133928656578064,0.5133928656578064,0.7306709885597229,0.36350879073143005,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.9835175275802612,0.7636300921440125,0.9333333373069763,0.9153399467468262,0.7390835881233215,0.7964997887611389,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.03770384564995766,,,,,,,,
,,49,1.9125216007232666,0.7700757384300232,0.7690963745117188,0.5305803418159485,0.5305803418159485,0.7106075286865234,0.40300196409225464,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.9842666983604431,0.8270772695541382,0.9366666674613953,0.9416557550430298,0.748106062412262,0.809841513633728,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,2.8087520599365234,0.7728700041770935,0.7716823816299438,0.5169642567634583,0.516964316368103,0.7252542972564697,0.37172454595565796,10,,,,,,,,,,,,,,,
