lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.7942802309989929,0.736458957195282,0.7372989654541016,0.5073660612106323,0.5073660612106323,0.606304943561554,0.35798361897468567,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.5778172016143799,0.08509160578250885,0.6583333611488342,0.5842198729515076,0.521117627620697,0.4678066372871399,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,2.3845884799957275,0.7345147132873535,0.7352571487426758,0.5060268044471741,0.5060268044471741,0.7342751026153564,0.3469688594341278,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.7886130809783936,0.18402087688446045,0.6566666960716248,0.7263593673706055,0.5541878938674927,0.499805748462677,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,1.666597843170166,0.7422991991043091,0.7416393756866455,0.5229910612106323,0.5229910612106323,0.7152596712112427,0.38585299253463745,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.8404255509376526,0.3273340165615082,0.75,0.75,0.5699405074119568,0.5570517778396606,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.7585375905036926,0.7488396167755127,0.7495750188827515,0.6073660850524902,0.6073660850524902,0.7033612728118896,0.5548314452171326,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.8638691902160645,0.42800045013427734,0.8299999833106995,0.792553186416626,0.6031249761581421,0.6242263317108154,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.06211516633629799,,,,,,,,
,,49,2.042506217956543,0.7637348175048828,0.7605040073394775,0.5283482074737549,0.5283482074737549,0.7262896299362183,0.39633864164352417,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.9041568040847778,0.47209322452545166,0.8416666388511658,0.8507683277130127,0.6228799819946289,0.6519105434417725,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,2.454197645187378,0.7698186635971069,0.7646255493164062,0.5216518044471741,0.5216518044471741,0.7321808934211731,0.38143041729927063,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.943804144859314,0.5721166133880615,0.846666693687439,0.8534278869628906,0.6261692047119141,0.6573216319084167,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,69,2.0489437580108643,0.7737777233123779,0.7679809331893921,0.5314732193946838,0.5314732193946838,0.7192507982254028,0.4038243889808655,6,,,,,,,,,,,,,,,
,,69,,,,,,,,6,0.9280929565429688,0.423021137714386,0.8700000047683716,0.8398345708847046,0.6380000114440918,0.6765811443328857,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,79,3.112551212310791,0.7743732929229736,0.766555905342102,0.5142857432365417,0.5142857432365417,0.7258520126342773,0.36575353145599365,7,,,,,,,,,,,,,,,
,,79,,,,,,,,7,0.9518814086914062,0.5696005821228027,0.8933333158493042,0.8782505989074707,0.6673202514648438,0.7162365913391113,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,89,1.2557029724121094,0.7684594392776489,0.762665867805481,0.5810267925262451,0.5810267925262451,0.7137118577957153,0.5040475726127625,8,,,,,,,,,,,,,,,
,,89,,,,,,,,8,0.9700059294700623,0.7083549499511719,0.92166668176651,0.8803191184997559,0.7055965065956116,0.7588733434677124,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.18004778027534485,,,,,,,,
,,99,2.263950824737549,0.7703452110290527,0.7645213603973389,0.5303571224212646,0.5303571224212646,0.7177505493164062,0.4016168713569641,9,,,,,,,,,,,,,,,
,,99,,,,,,,,9,0.9426714181900024,0.5828403234481812,0.875,0.8945035934448242,0.6541125774383545,0.698631763458252,,,,,,,,,
0.0005,0.0005,100,,,,,,,,,,,,,,,,,,,,,,,
,,109,3.2361087799072266,0.777334451675415,0.7697529792785645,0.5113839507102966,0.5113838911056519,0.7346994876861572,0.35887762904167175,10,,,,,,,,,,,,,,,
,,109,,,,,,,,10,0.9579393267631531,0.6095616817474365,0.8766666650772095,0.8953900933265686,0.6556296348571777,0.7008086442947388,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,119,3.4704761505126953,0.7836978435516357,0.7750496864318848,0.5162946581840515,0.5162946581840515,0.7294573187828064,0.3699730634689331,11,,,,,,,,,,,,,,,
,,119,,,,,,,,11,0.9679373502731323,0.6656822562217712,0.8799999952316284,0.9101654291152954,0.6614453792572021,0.7088949084281921,,,,,,,,,
5e-05,5e-05,120,,,,,,,,,,,,,,,,,,,,,,,
,,129,3.9665615558624268,0.7845085859298706,0.7754496335983276,0.5116071701049805,0.5116071701049805,0.7270777821540833,0.359718918800354,12,,,,,,,,,,,,,,,
,,129,,,,,,,,12,0.9874409437179565,0.8180838823318481,0.9449999928474426,0.9707446694374084,0.760869562625885,0.8277886509895325,,,,,,,,,
5e-05,5e-05,130,,,,,,,,,,,,,,,,,,,,,,,
,,139,3.9664485454559326,0.7842779159545898,0.7753466367721558,0.5118303298950195,0.5118303894996643,0.7275733351707458,0.3601938784122467,13,,,,,,,,,,,,,,,
,,139,,,,,,,,13,0.9808412194252014,0.7709652185440063,0.9433333277702332,0.9308511018753052,0.7550140023231506,0.8145455121994019,,,,,,,,,
5e-05,5e-05,140,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,14,,,,,,,0.15247657895088196,,,,,,,,
,,149,3.7835934162139893,0.7840126752853394,0.7753784656524658,0.5133928656578064,0.5133928656578064,0.7306709885597229,0.36350879073143005,14,,,,,,,,,,,,,,,
,,149,,,,,,,,14,0.9843872785568237,0.7792191505432129,0.9433333277702332,0.9438533782958984,0.7557030916213989,0.817850649356842,,,,,,,,,
5e-05,5e-05,150,,,,,,,,,,,,,,,,,,,,,,,
