lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,1.6471408605575562,0.7409713268280029,0.7380943894386292,0.5165178775787354,0.5165178179740906,0.7097697257995605,0.37184473872184753,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5330902338027954,0.12983249127864838,0.5475000143051147,0.5152778029441833,0.5055612921714783,0.430992066860199,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6309654116630554,0.7615945935249329,0.7638275027275085,0.6651785969734192,0.6651785373687744,0.7001205682754517,0.6498961448669434,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.6737152338027954,0.23149754106998444,0.6662499904632568,0.6090278029441833,0.543650209903717,0.5147560834884644,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.7387434840202332,0.7690798044204712,0.770285964012146,0.6303571462631226,0.6303571462631226,0.7151038646697998,0.5899713039398193,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.7382985949516296,0.3028317093849182,0.6775000095367432,0.6597222089767456,0.5631868243217468,0.5376344323158264,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.8046818375587463,,,,,,,,
,,51,1.0762807130813599,0.7786523103713989,0.7795233726501465,0.5602678656578064,0.5602678656578064,0.7220499515533447,0.46233415603637695,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.7800694704055786,0.33213889598846436,0.7012500166893005,0.6951389312744141,0.5786899924278259,0.5620695352554321,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,1.2483972311019897,0.7809076309204102,0.7841466069221497,0.5546875,0.5546875,0.7295130491256714,0.4499388337135315,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.8071354031562805,0.3883988559246063,0.7350000143051147,0.7194443941116333,0.5931713581085205,0.5897673964500427,,,,,,,,,
0.0005,0.0005,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,1.9337432384490967,0.7893521785736084,0.7909526228904724,0.5243303775787354,0.5243303775787354,0.7391517162322998,0.38657626509666443,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.8769097328186035,0.49261513352394104,0.7587500214576721,0.7770833373069763,0.6184688210487366,0.6239273548126221,,,,,,,,,
0.0005,0.0005,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,1.72959303855896,0.7962127327919006,0.7964911460876465,0.5486606955528259,0.5486606955528259,0.7344167232513428,0.4371594786643982,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.8673437833786011,0.4717429280281067,0.8087499737739563,0.7715277671813965,0.6354358792304993,0.6581377983093262,,,,,,,,,
0.0005,0.0005,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.2193164974451065,,,,,,,,
,,103,1.7849698066711426,0.7969040870666504,0.7975577116012573,0.5464285612106323,0.5464285612106323,0.7344690561294556,0.43268394470214844,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.9128645658493042,0.5017117857933044,0.8450000286102295,0.8472222089767456,0.6792114973068237,0.7152698040008545,,,,,,,,,
0.0005,0.0005,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.908360481262207,0.7956712245941162,0.7961273193359375,0.6404017806053162,0.6404017806053162,0.7252912521362305,0.6030049920082092,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.8934721946716309,0.5840570330619812,0.8337500095367432,0.7743055820465088,0.6507993340492249,0.6794939637184143,,,,,,,,,
0.0005,0.0005,117,,,,,,,,,,,,,,,,,,,,,,,
,,129,1.0570392608642578,0.792815089225769,0.7947558760643005,0.6127232313156128,0.6127232313156128,0.7218422889709473,0.5584228038787842,9,,,,,,,,,,,,,,,
,,129,,,,,,,,9,0.8604514598846436,0.47275495529174805,0.7674999833106995,0.7597222328186035,0.6153217554092407,0.6242082715034485,,,,,,,,,
0.0005,0.0005,130,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.9428991079330444,0.795200526714325,0.7966092228889465,0.645312488079071,0.645312488079071,0.7268609404563904,0.6102908253669739,10,,,,,,,,,,,,,,,
,,142,,,,,,,,10,0.9021180868148804,0.5562232732772827,0.8149999976158142,0.824999988079071,0.6549720168113708,0.6814429759979248,,,,,,,,,
0.0005,0.0005,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,11,,,,,,,0.10654792934656143,,,,,,,,
,,155,1.0164663791656494,0.7945021390914917,0.7962164878845215,0.6314732432365417,0.631473183631897,0.7256249189376831,0.5885493755340576,11,,,,,,,,,,,,,,,
,,155,,,,,,,,11,0.9163194298744202,0.5585460662841797,0.8525000214576721,0.8347222208976746,0.6815853118896484,0.7184576988220215,,,,,,,,,
5e-05,5e-05,156,,,,,,,,,,,,,,,,,,,,,,,
,,168,1.4540647268295288,0.7953848838806152,0.7971285581588745,0.5839285850524902,0.5839285850524902,0.738840639591217,0.5034058094024658,12,,,,,,,,,,,,,,,
,,168,,,,,,,,12,0.9463715553283691,0.7000710964202881,0.7837499976158142,0.8576388955116272,0.6514984369277954,0.6660029888153076,,,,,,,,,
5e-05,5e-05,169,,,,,,,,,,,,,,,,,,,,,,,
,,181,1.9964531660079956,0.7963556051254272,0.7980157732963562,0.5446428656578064,0.5446428656578064,0.7349624633789062,0.4290192723274231,13,,,,,,,,,,,,,,,
,,181,,,,,,,,13,0.965833306312561,0.731168270111084,0.8924999833106995,0.9125000238418579,0.7365026473999023,0.7862716913223267,,,,,,,,,
5e-05,5e-05,182,,,,,,,,,,,,,,,,,,,,,,,
,,194,1.781564474105835,0.7969933748245239,0.7984246015548706,0.5600446462631226,0.5600446462631226,0.7410010695457458,0.4583742916584015,14,,,,,,,,,,,,,,,
,,194,,,,,,,,14,0.9476215839385986,0.6838586926460266,0.9012500047683716,0.8618055582046509,0.7407606244087219,0.782607913017273,,,,,,,,,
5e-05,5e-05,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,15,,,,,,,0.13060736656188965,,,,,,,,
,,207,1.7873705625534058,0.7974872589111328,0.7987597584724426,0.5602678656578064,0.5602678656578064,0.7396659851074219,0.4590352177619934,15,,,,,,,,,,,,,,,
,,207,,,,,,,,15,0.9565972089767456,0.7161389589309692,0.8787500262260437,0.893750011920929,0.7184318900108337,0.7646709084510803,,,,,,,,,
5e-05,5e-05,208,,,,,,,,,,,,,,,,,,,,,,,
,,220,1.8395869731903076,0.7978184223175049,0.7990671396255493,0.557812511920929,0.557812511920929,0.7394981980323792,0.4543236196041107,16,,,,,,,,,,,,,,,
,,220,,,,,,,,16,0.965920090675354,0.7884753942489624,0.8899999856948853,0.8999999761581421,0.7315950393676758,0.7797549962997437,,,,,,,,,
5e-05,5e-05,221,,,,,,,,,,,,,,,,,,,,,,,
,,233,1.8051345348358154,0.7978304624557495,0.7989920377731323,0.5618303418159485,0.5618303418159485,0.7392795085906982,0.4621049165725708,17,,,,,,,,,,,,,,,
,,233,,,,,,,,17,0.9553819298744202,0.7009340524673462,0.8837500214576721,0.8798611164093018,0.7210301756858826,0.7664130926132202,,,,,,,,,
5e-05,5e-05,234,,,,,,,,,,,,,,,,,,,,,,,
,,246,1.739820122718811,0.7981957197189331,0.7991562485694885,0.5705357193946838,0.5705357193946838,0.7410662770271301,0.4782670736312866,18,,,,,,,,,,,,,,,
,,246,,,,,,,,18,0.9487500190734863,0.6946587562561035,0.8675000071525574,0.8652777671813965,0.7017180323600769,0.7437013387680054,,,,,,,,,
5e-05,5e-05,247,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,19,,,,,,,0.19450996816158295,,,,,,,,
,,259,1.971003532409668,0.7987250685691833,0.7995955944061279,0.5542410612106323,0.5542410612106323,0.7402629256248474,0.44725048542022705,19,,,,,,,,,,,,,,,
,,259,,,,,,,,19,0.9526735544204712,0.6998501420021057,0.8787500262260437,0.8659722208976746,0.7129486799240112,0.7563663721084595,,,,,,,,,
5e-05,5e-05,260,,,,,,,,,,,,,,,,,,,,,,,
,,272,1.919736623764038,0.7988020181655884,0.799566388130188,0.5575892925262451,0.5575892925262451,0.73780757188797,0.4541790783405304,20,,,,,,,,,,,,,,,
,,272,,,,,,,,20,0.9593402743339539,0.7140530347824097,0.8949999809265137,0.8805555701255798,0.7345991134643555,0.7803318500518799,,,,,,,,,
5e-05,5e-05,273,,,,,,,,,,,,,,,,,,,,,,,
,,285,1.917043685913086,0.7989903092384338,0.7997742891311646,0.5589285492897034,0.5589285492897034,0.7357894778251648,0.4571295380592346,21,,,,,,,,,,,,,,,
,,285,,,,,,,,21,0.9592882394790649,0.77457594871521,0.893750011920929,0.9131944179534912,0.7380595207214355,0.7880133986473083,,,,,,,,,
5e-05,5e-05,286,,,,,,,,,,,,,,,,,,,,,,,
,,298,2.059567928314209,0.7990411520004272,0.7998135089874268,0.5524553656578064,0.5524553656578064,0.7390208840370178,0.4439505636692047,22,,,,,,,,,,,,,,,
,,298,,,,,,,,22,0.9669097661972046,0.7558204531669617,0.8824999928474426,0.9236111640930176,0.7278244495391846,0.7771852016448975,,,,,,,,,
5e-05,5e-05,299,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,23,,,,,,,0.26221853494644165,,,,,,,,
,,311,2.1040515899658203,0.7988936901092529,0.79974764585495,0.5522321462631226,0.5522321462631226,0.7388625144958496,0.4435368478298187,23,,,,,,,,,,,,,,,
,,311,,,,,,,,23,0.9631076455116272,0.7604033946990967,0.9024999737739563,0.9013888835906982,0.7474421262741089,0.7960224151611328,,,,,,,,,
5e-06,5e-06,312,,,,,,,,,,,,,,,,,,,,,,,
,,324,2.099648952484131,0.7988972663879395,0.7997492551803589,0.5522321462631226,0.5522321462631226,0.7388625144958496,0.4435368478298187,24,,,,,,,,,,,,,,,
,,324,,,,,,,,24,0.9513020515441895,0.734735369682312,0.9024999737739563,0.8847222328186035,0.7453933358192444,0.7912652492523193,,,,,,,,,
5e-06,5e-06,325,,,,,,,,,,,,,,,,,,,,,,,
,,337,2.0837936401367188,0.7988864183425903,0.7997623682022095,0.5522321462631226,0.5522321462631226,0.7388625144958496,0.4435368478298187,25,,,,,,,,,,,,,,,
,,337,,,,,,,,25,0.9654687643051147,0.7577474117279053,0.9100000262260437,0.9222222566604614,0.7602851390838623,0.8117130398750305,,,,,,,,,
5e-06,5e-06,338,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,26,,,,,,,0.21934419870376587,,,,,,,,
,,350,2.0845861434936523,0.7989096641540527,0.7997668385505676,0.5522321462631226,0.5522321462631226,0.7388625144958496,0.4435368478298187,26,,,,,,,,,,,,,,,
,,350,,,,,,,,26,0.9754513502120972,0.8003507852554321,0.9150000214576721,0.9361110925674438,0.7688471078872681,0.8221734166145325,,,,,,,,,
5e-06,5e-06,351,,,,,,,,,,,,,,,,,,,,,,,
,,363,2.101527690887451,0.7989004850387573,0.7997546195983887,0.5522321462631226,0.5522321462631226,0.7388625144958496,0.4435368478298187,27,,,,,,,,,,,,,,,
,,363,,,,,,,,27,0.9776214957237244,0.8308871984481812,0.9024999737739563,0.9236111044883728,0.7502564191818237,0.8019676208496094,,,,,,,,,
5e-06,5e-06,364,,,,,,,,,,,,,,,,,,,,,,,
,,376,2.1080446243286133,0.798885703086853,0.7997381687164307,0.5522321462631226,0.5522321462631226,0.7388625144958496,0.4435368478298187,28,,,,,,,,,,,,,,,
,,376,,,,,,,,28,0.9659721851348877,0.7788230180740356,0.9024999737739563,0.8958333134651184,0.7467532157897949,0.7944663763046265,,,,,,,,,
5e-06,5e-06,377,,,,,,,,,,,,,,,,,,,,,,,
,,389,2.096803903579712,0.7988635897636414,0.7996947765350342,0.5520089268684387,0.5520089268684387,0.7369866371154785,0.4433958828449249,29,,,,,,,,,,,,,,,
,,389,,,,,,,,29,0.963680624961853,0.7558884024620056,0.893750011920929,0.8965277671813965,0.7354663610458374,0.7834112048149109,,,,,,,,,
5e-06,5e-06,390,,,,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,,30,,,,,,,0.16830508410930634,,,,,,,,
,,402,2.067667007446289,0.7988539934158325,0.7996724843978882,0.5531250238418579,0.5531249642372131,0.7378038167953491,0.44546106457710266,30,,,,,,,,,,,,,,,
,,402,,,,,,,,30,0.9661805629730225,0.7478312253952026,0.90625,0.925694465637207,0.7554405927658081,0.807489275932312,,,,,,,,,
5e-06,5e-06,403,,,,,,,,,,,,,,,,,,,,,,,
,,415,2.0520987510681152,0.7988268136978149,0.799638032913208,0.5542410612106323,0.5542410612106323,0.7386031150817871,0.447519451379776,31,,,,,,,,,,,,,,,
,,415,,,,,,,,31,0.9656597375869751,0.7746732234954834,0.8962500095367432,0.9090278148651123,0.7404106259346008,0.7900322675704956,,,,,,,,,
5e-06,5e-06,416,,,,,,,,,,,,,,,,,,,,,,,
,,428,2.0617270469665527,0.7988452911376953,0.799666166305542,0.5535714030265808,0.5535714030265808,0.7381255626678467,0.446285218000412,32,,,,,,,,,,,,,,,
,,428,,,,,,,,32,0.9695138931274414,0.778144359588623,0.9125000238418579,0.9236111044883728,0.7640692591667175,0.8155467510223389,,,,,,,,,
5e-06,5e-06,429,,,,,,,,,,,,,,,,,,,,,,,
,,441,2.038740873336792,0.7988406419754028,0.7996522188186646,0.5551339387893677,0.5551339387893677,0.7376160621643066,0.4494282007217407,33,,,,,,,,,,,,,,,
,,441,,,,,,,,33,0.9571701288223267,0.732048511505127,0.8912500143051147,0.8895833492279053,0.731342613697052,0.778315007686615,,,,,,,,,
5e-06,5e-06,442,,,,,,,,,,,,,,,,,,,,,,,
,,449,,,,,,,,34,,,,,,,0.284455269575119,,,,,,,,
,,454,2.041492462158203,0.7987977266311646,0.7995920777320862,0.5549107193946838,0.5549107193946838,0.7390745282173157,0.448751300573349,34,,,,,,,,,,,,,,,
,,454,,,,,,,,34,0.9685416221618652,0.7754454612731934,0.9012500047683716,0.90625,0.746380627155304,0.795717179775238,,,,,,,,,
5e-06,5e-06,455,,,,,,,,,,,,,,,,,,,,,,,
,,467,2.040590763092041,0.7988064289093018,0.7996073961257935,0.5551339387893677,0.5551339387893677,0.7376160621643066,0.4494282007217407,35,,,,,,,,,,,,,,,
,,467,,,,,,,,35,0.9680554866790771,0.8106356859207153,0.9049999713897705,0.9027777910232544,0.7510823011398315,0.799736499786377,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,468,,,,,,,,,,,,,,,,,,,,,,,
,,480,2.0426599979400635,0.7988090515136719,0.7996136546134949,0.5549107193946838,0.5549107193946838,0.7374550104141235,0.44901853799819946,36,,,,,,,,,,,,,,,
,,480,,,,,,,,36,0.9667882323265076,0.7608709335327148,0.8899999856948853,0.9055556058883667,0.732521116733551,0.7813012599945068,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,481,,,,,,,,,,,,,,,,,,,,,,,
,,493,2.047451972961426,0.7988149523735046,0.799618661403656,0.5549107193946838,0.5549107193946838,0.7390745282173157,0.448751300573349,37,,,,,,,,,,,,,,,
,,493,,,,,,,,37,0.9722048044204712,0.7666909098625183,0.893750011920929,0.9243055582046509,0.7397982478141785,0.7909486889839172,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,494,,,,,,,,,,,,,,,,,,,,,,,
,,499,,,,,,,,38,,,,,,,0.28011512756347656,,,,,,,,
,,506,2.0519139766693115,0.7988143563270569,0.7996171712875366,0.5549107193946838,0.5549107193946838,0.7390745282173157,0.448751300573349,38,,,,,,,,,,,,,,,
,,506,,,,,,,,38,0.9748611450195312,0.8353164196014404,0.8924999833106995,0.9236111044883728,0.73828125,0.7892156839370728,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,507,,,,,,,,,,,,,,,,,,,,,,,
,,519,2.057586908340454,0.7988191843032837,0.7996204495429993,0.5544642806053162,0.5544642806053162,0.7387609481811523,0.44793033599853516,39,,,,,,,,,,,,,,,
