lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,3.9078757762908936,0.6419738531112671,0.6560049057006836,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5071422457695007,0.0849924087524414,0.47749999165534973,0.5084221363067627,0.5025591850280762,0.3851810693740845,,,,,,,,,
0.0005,0.0005,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.838745653629303,0.697588324546814,0.7036697864532471,0.5160714387893677,0.5160714387893677,0.6241570711135864,0.3814511299133301,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.6122533679008484,0.12716616690158844,0.7074999809265137,0.5923953652381897,0.5343209505081177,0.5124542713165283,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,3.189422130584717,0.7133424282073975,0.7124315500259399,0.5004464387893677,0.5004464387893677,0.7501116991043091,0.3343246281147003,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.7180249691009521,0.19721069931983948,0.5550000071525574,0.6471802592277527,0.5445903539657593,0.45405471324920654,,,,,,,,,
0.0005,0.0005,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.9209451675415039,0.7269441485404968,0.7277072072029114,0.5488839149475098,0.5488839149475098,0.7025100588798523,0.44330543279647827,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.8172735571861267,0.3052418828010559,0.8600000143051147,0.6755016446113586,0.6155728101730347,0.6352028846740723,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,2.4505677223205566,0.7354447245597839,0.7307833433151245,0.5091517567634583,0.509151816368103,0.7203973531723022,0.35447072982788086,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.8174387216567993,0.36030423641204834,0.6625000238418579,0.7333415746688843,0.574243426322937,0.5323824882507324,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,1.9280242919921875,0.7476938366889954,0.7413331270217896,0.5185267925262451,0.5185267925262451,0.7143323421478271,0.37601470947265625,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.8839071989059448,0.35522231459617615,0.8675000071525574,0.7761126756668091,0.6555059552192688,0.6891085505485535,,,,,,,,,
0.0005,0.0005,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,2.022942066192627,0.7546360492706299,0.7477155923843384,0.5189732313156128,0.5189732313156128,0.7152487635612488,0.3769376873970032,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.8902650475502014,0.4417799115180969,0.7950000166893005,0.8193378448486328,0.6248587369918823,0.6409649848937988,,,,,,,,,
0.0005,0.0005,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.5569864511489868,,,,,,,,
