lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.6634896397590637,0.707770824432373,0.7160234451293945,0.5779017806053162,0.5779017806053162,0.6334254741668701,0.5288898348808289,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.5512946844100952,0.10425599664449692,0.5699999928474426,0.5258928537368774,0.5065860748291016,0.4214900732040405,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,1.372125506401062,0.7155797481536865,0.721695065498352,0.515625,0.515625,0.7227272987365723,0.36892399191856384,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.7763392925262451,0.24507874250411987,0.7200000286102295,0.7107142806053162,0.5616638660430908,0.5389344692230225,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,1.2562637329101562,0.7326315641403198,0.7336629033088684,0.5272321701049805,0.5272321701049805,0.7248848080635071,0.39409977197647095,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.8603124618530273,0.37422430515289307,0.7883333563804626,0.7937500476837158,0.5970515608787537,0.6046056747436523,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.866575300693512,0.7349681258201599,0.7376477718353271,0.5705357193946838,0.5705357193946838,0.7066714763641357,0.4858706593513489,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.885401725769043,0.33667564392089844,0.8316666483879089,0.8401786088943481,0.6254135370254517,0.6522018909454346,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.35320770740509033,,,,,,,,
,,49,1.1524429321289062,0.7469224333763123,0.7477800250053406,0.551562488079071,0.551562488079071,0.7056795358657837,0.4481946527957916,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.8878571391105652,0.39755672216415405,0.8450000286102295,0.8241071701049805,0.6284705996513367,0.6592386960983276,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,2.2581183910369873,0.7463358640670776,0.7459840774536133,0.5209821462631226,0.5209821462631226,0.7229677438735962,0.3807346224784851,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.9105356931686401,0.4879686236381531,0.8266666531562805,0.8142857551574707,0.616525411605835,0.6400886178016663,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,69,3.148299217224121,0.7491999268531799,0.7462630271911621,0.5089285969734192,0.5089285373687744,0.7295269966125488,0.35361945629119873,6,,,,,,,,,,,,,,,
,,69,,,,,,,,6,0.9395535588264465,0.5200920104980469,0.8650000095367432,0.8696428537368774,0.6525452136993408,0.6931799054145813,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,79,3.3457632064819336,0.746219277381897,0.7434736490249634,0.5087053775787354,0.5087053775787354,0.7188650965690613,0.3535118103027344,7,,,,,,,,,,,,,,,
,,79,,,,,,,,7,0.8942856788635254,0.46962770819664,0.7950000166893005,0.8089286088943481,0.6029777526855469,0.6137723326683044,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,89,1.8754509687423706,0.7543239593505859,0.7500808835029602,0.5368303656578064,0.5368303656578064,0.7108685970306396,0.4164167642593384,8,,,,,,,,,,,,,,,
,,89,,,,,,,,8,0.9370982646942139,0.6098122000694275,0.871666669845581,0.8151785731315613,0.6446987986564636,0.6827598810195923,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.16618677973747253,,,,,,,,
,,99,2.744525909423828,0.7600598335266113,0.7541126608848572,0.5225446224212646,0.5225446820259094,0.717974841594696,0.38460904359817505,9,,,,,,,,,,,,,,,
,,99,,,,,,,,9,0.9571875333786011,0.6352458000183105,0.8949999809265137,0.8857142925262451,0.683241069316864,0.7336359024047852,,,,,,,,,
0.0005,0.0005,100,,,,,,,,,,,,,,,,,,,,,,,
,,109,3.466674327850342,0.7624880075454712,0.7560749650001526,0.5158482193946838,0.5158482193946838,0.7406961917877197,0.3683280646800995,10,,,,,,,,,,,,,,,
,,109,,,,,,,,10,0.9565624594688416,0.6511399149894714,0.8633333444595337,0.8803571462631226,0.6537795066833496,0.6945692896842957,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,119,3.2587311267852783,0.7644662857055664,0.7590446472167969,0.5189732313156128,0.5189732313156128,0.733338475227356,0.3755559027194977,11,,,,,,,,,,,,,,,
,,119,,,,,,,,11,0.9651339054107666,0.668211817741394,0.8983333110809326,0.887499988079071,0.6873961091041565,0.7386442422866821,,,,,,,,,
5e-05,5e-05,120,,,,,,,,,,,,,,,,,,,,,,,
,,129,3.5686371326446533,0.7653615474700928,0.759605884552002,0.5169642567634583,0.5169642567634583,0.7418181896209717,0.370668888092041,12,,,,,,,,,,,,,,,
,,129,,,,,,,,12,0.9756696224212646,0.769753634929657,0.9049999713897705,0.9258928298950195,0.7023286819458008,0.7590038776397705,,,,,,,,,
5e-05,5e-05,130,,,,,,,,,,,,,,,,,,,,,,,
,,139,3.64986515045166,0.7656700611114502,0.7599441409111023,0.515625,0.515625,0.7404583692550659,0.3678588569164276,13,,,,,,,,,,,,,,,
,,139,,,,,,,,13,0.9615178108215332,0.7137085199356079,0.8949999809265137,0.8857142925262451,0.683241069316864,0.7336359024047852,,,,,,,,,
5e-05,5e-05,140,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,14,,,,,,,0.02471485547721386,,,,,,,,
,,149,3.7020580768585205,0.7654812335968018,0.7597426176071167,0.5149553418159485,0.5149553418159485,0.739714503288269,0.36644917726516724,14,,,,,,,,,,,,,,,
,,149,,,,,,,,14,0.9820535778999329,0.7346584796905518,0.9233333468437195,0.9241071343421936,0.7283653616905212,0.7870370149612427,,,,,,,,,
5e-05,5e-05,150,,,,,,,,,,,,,,,,,,,,,,,
,,159,3.4822139739990234,0.7644515037536621,0.7591660618782043,0.5171874761581421,0.5171875357627869,0.7363057136535645,0.371488094329834,15,,,,,,,,,,,,,,,
,,159,,,,,,,,15,0.9723660945892334,0.7180108428001404,0.9183333516120911,0.8866071701049805,0.7150430679321289,0.767975926399231,,,,,,,,,
5e-05,5e-05,160,,,,,,,,,,,,,,,,,,,,,,,
,,169,3.3421967029571533,0.7627367973327637,0.7579017281532288,0.5178571343421936,0.5178571343421936,0.7371097803115845,0.3728858530521393,16,,,,,,,,,,,,,,,
,,169,,,,,,,,16,0.9766071438789368,0.7871119976043701,0.9016666412353516,0.9125000238418579,0.6959661841392517,0.7505478858947754,,,,,,,,,
5e-05,5e-05,170,,,,,,,,,,,,,,,,,,,,,,,
,,179,3.598994016647339,0.7619888186454773,0.7573249340057373,0.5158482193946838,0.5158482193946838,0.7406961917877197,0.3683280646800995,17,,,,,,,,,,,,,,,
,,179,,,,,,,,17,0.9725000262260437,0.6767380833625793,0.9133333563804626,0.9187500476837158,0.71219801902771,0.7694422006607056,,,,,,,,,
5e-05,5e-05,180,,,,,,,,,,,,,,,,,,,,,,,
,,189,3.880500555038452,0.761559247970581,0.7568004131317139,0.5120535492897034,0.5120535492897034,0.7358115315437317,0.36030417680740356,18,,,,,,,,,,,,,,,
,,189,,,,,,,,18,0.9756696820259094,0.7807806134223938,0.9183333516120911,0.9214285612106323,0.7199902534484863,0.7780646085739136,,,,,,,,,
5e-05,5e-05,190,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,19,,,,,,,0.2488790899515152,,,,,,,,
,,199,3.4754579067230225,0.7603431940078735,0.7561802864074707,0.5176339149475098,0.5176339149475098,0.7368466854095459,0.3724202811717987,19,,,,,,,,,,,,,,,
,,199,,,,,,,,19,0.9795535802841187,0.7899646162986755,0.9366666674613953,0.9196428060531616,0.7533693313598633,0.809841513633728,,,,,,,,,
5e-05,5e-05,200,,,,,,,,,,,,,,,,,,,,,,,
,,209,3.715653419494629,0.760262131690979,0.7559622526168823,0.5145089030265808,0.5145089030265808,0.7391912341117859,0.3655076324939728,20,,,,,,,,,,,,,,,
,,209,,,,,,,,20,0.9839285612106323,0.841667652130127,0.9200000166893005,0.9455357193946838,0.725771427154541,0.7871774435043335,,,,,,,,,
5e-05,5e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,219,3.7985455989837646,0.7600569128990173,0.7557863593101501,0.5138393044471741,0.5138393044471741,0.7383600473403931,0.36409273743629456,21,,,,,,,,,,,,,,,
,,219,,,,,,,,21,0.9847320914268494,0.8420648574829102,0.9333333373069763,0.9526785612106323,0.7490421533584595,0.8120241761207581,,,,,,,,,
5e-05,5e-05,220,,,,,,,,,,,,,,,,,,,,,,,
,,229,3.9052786827087402,0.7605540752410889,0.7561379075050354,0.5127232074737549,0.5127232074737549,0.7368312478065491,0.3617275357246399,22,,,,,,,,,,,,,,,
,,229,,,,,,,,22,0.9839285612106323,0.8407288789749146,0.9300000071525574,0.9508928656578064,0.7427884340286255,0.8055555820465088,,,,,,,,,
5e-05,5e-05,230,,,,,,,,,,,,,,,,,,,,,,,
,,239,3.8540101051330566,0.7608675956726074,0.7566107511520386,0.5140625238418579,0.5140624642372131,0.7386436462402344,0.3645647168159485,23,,,,,,,,,,,,,,,
,,239,,,,,,,,23,0.9820089340209961,0.8520984053611755,0.9416666626930237,0.9339286088943481,0.7652910947799683,0.8234091997146606,,,,,,,,,
5e-06,5e-06,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,24,,,,,,,0.015354495495557785,,,,,,,,
