lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,2.2339158058166504,0.7133395671844482,0.7193199396133423,0.5020089149475098,0.5020089149475098,0.7050489187240601,0.3381733000278473,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.5414040684700012,0.10714138299226761,0.5555555820465088,0.5733543634414673,0.5249722003936768,0.446153849363327,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.8725355267524719,0.7436479330062866,0.7503063678741455,0.5707589387893677,0.5707589387893677,0.7180408239364624,0.4835454225540161,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.6800011396408081,0.2027783989906311,0.699999988079071,0.636992335319519,0.5540898442268372,0.5351097583770752,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.7160193920135498,0.7620304822921753,0.7664020657539368,0.6341517567634583,0.634151816368103,0.719144880771637,0.5948704481124878,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.761277437210083,0.25931864976882935,0.7011111378669739,0.6910014152526855,0.5728551745414734,0.5539062023162842,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.9240688681602478,,,,,,,,
,,59,0.9673405289649963,0.7752575874328613,0.7792379856109619,0.5676339268684387,0.5676339268684387,0.7282241582870483,0.475339412689209,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.781352162361145,0.2833859920501709,0.7177777886390686,0.7162114977836609,0.5837761759757996,0.5713675022125244,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,1.281204342842102,0.7865939736366272,0.7881546020507812,0.5486606955528259,0.5486607551574707,0.7326360940933228,0.43743813037872314,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.831961989402771,0.38286715745925903,0.7344444394111633,0.7521008253097534,0.5985879302024841,0.5926437377929688,,,,,,,,,
0.0005,0.0005,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,2.412440299987793,0.7919114828109741,0.7939963340759277,0.5093749761581421,0.5093749761581421,0.7410033941268921,0.3542070984840393,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.8059349060058594,0.377244770526886,0.7211111187934875,0.6966911554336548,0.5778141021728516,0.5669352412223816,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.4805121421813965,,,,,,,,
,,104,2.0605227947235107,0.7870643734931946,0.7918593883514404,0.5149553418159485,0.5149553418159485,0.7465509176254272,0.3660910725593567,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.8116829991340637,0.3593604564666748,0.7588889002799988,0.7228641510009766,0.5947108268737793,0.5983456373214722,,,,,,,,,
0.0005,0.0005,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,1.6767305135726929,0.787360668182373,0.7934000492095947,0.5301339030265808,0.5301339626312256,0.7437958717346191,0.39830249547958374,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.8327205181121826,0.39479467272758484,0.7866666913032532,0.7595412731170654,0.615444540977478,0.6296645402908325,,,,,,,,,
0.0005,0.0005,120,,,,,,,,,,,,,,,,,,,,,,,
,,134,1.6181154251098633,0.7945326566696167,0.7989805340766907,0.542187511920929,0.542187511920929,0.7415404319763184,0.4231666326522827,8,,,,,,,,,,,,,,,
,,134,,,,,,,,8,0.8770424723625183,0.4393329620361328,0.7911111116409302,0.7940300703048706,0.6279164552688599,0.6444751024246216,,,,,,,,,
0.0005,0.0005,135,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.06626389175653458,,,,,,,,
,,149,1.5536516904830933,0.7909449934959412,0.7968025207519531,0.5537946224212646,0.5537946224212646,0.7382854223251343,0.4466969072818756,9,,,,,,,,,,,,,,,
,,149,,,,,,,,9,0.913792610168457,0.49967873096466064,0.8166666626930237,0.8508403301239014,0.6556112170219421,0.682539701461792,,,,,,,,,
0.0005,0.0005,150,,,,,,,,,,,,,,,,,,,,,,,
,,164,2.02707839012146,0.7904280424118042,0.7962180376052856,0.5352678298950195,0.5352678298950195,0.7442795038223267,0.40880823135375977,10,,,,,,,,,,,,,,,
,,164,,,,,,,,10,0.9195990562438965,0.5401963591575623,0.8211110830307007,0.8479516506195068,0.6570370197296143,0.6854915618896484,,,,,,,,,
0.0005,0.0005,165,,,,,,,,,,,,,,,,,,,,,,,
,,179,1.6266367435455322,0.790649950504303,0.7958067655563354,0.5555803775787354,0.5555803775787354,0.746195375919342,0.448911190032959,11,,,,,,,,,,,,,,,
,,179,,,,,,,,11,0.8853436708450317,0.5074710845947266,0.7944444417953491,0.7584909200668335,0.618073582649231,0.634848415851593,,,,,,,,,
5e-05,5e-05,180,,,,,,,,,,,,,,,,,,,,,,,
,,194,1.190484642982483,0.7904468178749084,0.796013355255127,0.596875011920929,0.596875011920929,0.7442613244056702,0.5252611041069031,12,,,,,,,,,,,,,,,
,,194,,,,,,,,12,0.9216561317443848,0.5553404092788696,0.8422222137451172,0.8222163915634155,0.6624734997749329,0.6961656808853149,,,,,,,,,
5e-05,5e-05,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,13,,,,,,,0.19982868432998657,,,,,,,,
,,209,1.5909814834594727,0.7912759184837341,0.7963463068008423,0.5611607432365417,0.561160683631897,0.7447208762168884,0.4598768353462219,13,,,,,,,,,,,,,,,
,,209,,,,,,,,13,0.9313871264457703,0.5766089558601379,0.855555534362793,0.856267511844635,0.6810230016708374,0.7201787233352661,,,,,,,,,
5e-05,5e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,224,1.4685022830963135,0.7918163537979126,0.796573281288147,0.5703125,0.5703125,0.7434313893318176,0.47739917039871216,14,,,,,,,,,,,,,,,
,,224,,,,,,,,14,0.9321311712265015,0.6276209354400635,0.8822222352027893,0.8656337261199951,0.7076318860054016,0.7521408200263977,,,,,,,,,
5e-05,5e-05,225,,,,,,,,,,,,,,,,,,,,,,,
,,239,1.403674840927124,0.7921520471572876,0.7967828512191772,0.5756696462631226,0.5756696462631226,0.740825891494751,0.48786529898643494,15,,,,,,,,,,,,,,,
,,239,,,,,,,,15,0.9446632862091064,0.6850168704986572,0.8255555629730225,0.8664215803146362,0.664402961730957,0.6948684453964233,,,,,,,,,
5e-05,5e-05,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,16,,,,,,,0.24016830325126648,,,,,,,,
,,254,1.7688443660736084,0.7927913665771484,0.7970672249794006,0.5562499761581421,0.5562500357627869,0.7482976913452148,0.44987553358078003,16,,,,,,,,,,,,,,,
,,254,,,,,,,,16,0.9451009631156921,0.6599570512771606,0.8622221946716309,0.881302535533905,0.6922669410705566,0.7346799373626709,,,,,,,,,
5e-05,5e-05,255,,,,,,,,,,,,,,,,,,,,,,,
,,269,1.5175623893737793,0.7929530143737793,0.7974015474319458,0.5720981955528259,0.5720981955528259,0.7420655488967896,0.4809923470020294,17,,,,,,,,,,,,,,,
,,269,,,,,,,,17,0.9425332546234131,0.6393133997917175,0.8855555653572083,0.8674719929695129,0.7117012143135071,0.7566769123077393,,,,,,,,,
5e-05,5e-05,270,,,,,,,,,,,,,,,,,,,,,,,
,,284,1.5385768413543701,0.7934795618057251,0.7977256774902344,0.5718749761581421,0.5718750357627869,0.7407116889953613,0.4808393716812134,18,,,,,,,,,,,,,,,
,,284,,,,,,,,18,0.946195125579834,0.6740787029266357,0.8088889122009277,0.8679096698760986,0.656746506690979,0.6808905601501465,,,,,,,,,
5e-05,5e-05,285,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,19,,,,,,,0.8246210813522339,,,,,,,,
,,299,1.9103057384490967,0.7937646508216858,0.7977497577667236,0.5529018044471741,0.5529018044471741,0.744575023651123,0.44395971298217773,19,,,,,,,,,,,,,,,
,,299,,,,,,,,19,0.9492150545120239,0.7070416212081909,0.8811110854148865,0.8757002949714661,0.7084523439407349,0.7539545297622681,,,,,,,,,
5e-05,5e-05,300,,,,,,,,,,,,,,,,,,,,,,,
,,314,1.7536743879318237,0.7933475971221924,0.7975994348526001,0.5607143044471741,0.5607143044471741,0.7414413094520569,0.45958441495895386,20,,,,,,,,,,,,,,,
,,314,,,,,,,,20,0.9377480149269104,0.6630963683128357,0.8922222256660461,0.8711484670639038,0.7203074097633362,0.7660013437271118,,,,,,,,,
5e-05,5e-05,315,,,,,,,,,,,,,,,,,,,,,,,
,,329,1.8092164993286133,0.7932997941970825,0.7976433038711548,0.5589285492897034,0.5589285492897034,0.7417867183685303,0.45609205961227417,21,,,,,,,,,,,,,,,
,,329,,,,,,,,21,0.9390464425086975,0.6639901399612427,0.8788889050483704,0.8691351413726807,0.7048097848892212,0.7493554949760437,,,,,,,,,
5e-05,5e-05,330,,,,,,,,,,,,,,,,,,,,,,,
,,344,1.6052790880203247,0.793194591999054,0.7976351976394653,0.5694196224212646,0.5694196224212646,0.7378625869750977,0.4767918884754181,22,,,,,,,,,,,,,,,
,,344,,,,,,,,22,0.9351365566253662,0.6532050371170044,0.8633333444595337,0.8605567216873169,0.6883531212806702,0.7295454740524292,,,,,,,,,
5e-05,5e-05,345,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,23,,,,,,,0.30506160855293274,,,,,,,,
,,359,1.9289456605911255,0.793795645236969,0.7978601455688477,0.5535714030265808,0.5535714030265808,0.7415041923522949,0.4457443058490753,23,,,,,,,,,,,,,,,
,,359,,,,,,,,23,0.9519141316413879,0.6503034830093384,0.8744444251060486,0.8933823704719543,0.7055010795593262,0.7515336275100708,,,,,,,,,
5e-06,5e-06,360,,,,,,,,,,,,,,,,,,,,,,,
,,374,1.8627750873565674,0.7937254905700684,0.7978472709655762,0.557812511920929,0.557812511920929,0.7426279783248901,0.45379894971847534,24,,,,,,,,,,,,,,,
,,374,,,,,,,,24,0.9415557384490967,0.6277961730957031,0.8677777647972107,0.8576680421829224,0.6915746331214905,0.7333691716194153,,,,,,,,,
5e-06,5e-06,375,,,,,,,,,,,,,,,,,,,,,,,
,,389,1.881508708000183,0.7937436103820801,0.7978506088256836,0.5573660731315613,0.5573660731315613,0.7423403263092041,0.4529840648174286,25,,,,,,,,,,,,,,,
,,389,,,,,,,,25,0.9468808770179749,0.6211918592453003,0.8722222447395325,0.8761379718780518,0.6997690796852112,0.7439582943916321,,,,,,,,,
5e-06,5e-06,390,,,,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,,26,,,,,,,0.38127726316452026,,,,,,,,
,,404,1.8953253030776978,0.7937647104263306,0.7978628873825073,0.5564731955528259,0.5564731955528259,0.7433881163597107,0.4510857164859772,26,,,,,,,,,,,,,,,
,,404,,,,,,,,26,0.9548172950744629,0.6871796250343323,0.8833333253860474,0.8929446935653687,0.7141510844230652,0.7616952061653137,,,,,,,,,
5e-06,5e-06,405,,,,,,,,,,,,,,,,,,,,,,,
,,419,1.9108515977859497,0.7937679290771484,0.7978475093841553,0.5560267567634583,0.5560267567634583,0.7431045174598694,0.45026689767837524,27,,,,,,,,,,,,,,,
,,419,,,,,,,,27,0.9478145837783813,0.6462244391441345,0.8655555844306946,0.8831408023834229,0.6954323053359985,0.7387681007385254,,,,,,,,,
5e-06,5e-06,420,,,,,,,,,,,,,,,,,,,,,,,
