lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,1.0521657466888428,0.7070083618164062,0.7055226564407349,0.5002232193946838,0.5002232193946838,0.5147619247436523,0.33697280287742615,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.5533140897750854,0.10971750319004059,0.6000000238418579,0.5306332111358643,0.510005533695221,0.44859832525253296,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.8014883995056152,0.7481265664100647,0.7444387078285217,0.5633928775787354,0.5633928775787354,0.7102013230323792,0.4710327386856079,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.7122340202331543,0.17718355357646942,0.6209999918937683,0.6541626453399658,0.5494930744171143,0.49263110756874084,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6886270046234131,0.7532430291175842,0.7519752383232117,0.6178571581840515,0.6178571581840515,0.6948380470275879,0.5759737491607666,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.740237832069397,0.2629835605621338,0.6959999799728394,0.6738026142120361,0.5612319111824036,0.5370116829872131,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.28793007135391235,,,,,,,,
,,63,0.8734191060066223,0.7502022981643677,0.7504932880401611,0.5859375,0.5859375,0.7069861888885498,0.5150335431098938,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.8348183631896973,0.33004283905029297,0.7519999742507935,0.7417550683021545,0.5918849110603333,0.5904995799064636,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.9776858687400818,0.758037269115448,0.758385956287384,0.5669642686843872,0.5669642686843872,0.7231484651565552,0.4751223027706146,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.836785614490509,0.301472544670105,0.7770000100135803,0.7714239954948425,0.6076074838638306,0.6164371371269226,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,1.2619274854660034,0.7691081762313843,0.77048659324646,0.5506696701049805,0.5506696701049805,0.729236900806427,0.4420051872730255,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.8719897270202637,0.40187346935272217,0.7879999876022339,0.7934426069259644,0.6177443265914917,0.6312376260757446,,,,,,,,,
0.0005,0.0005,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5224140286445618,,,,,,,,
,,111,0.9257652163505554,0.7712271213531494,0.7750594615936279,0.6104910969734192,0.6104910969734192,0.7185279726982117,0.5555599927902222,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.8616007566452026,0.4149004817008972,0.7839999794960022,0.7859209179878235,0.6141701936721802,0.6259740591049194,,,,,,,,,
0.0005,0.0005,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,1.2645838260650635,0.7783546447753906,0.7834389209747314,0.5763393044471741,0.5763392448425293,0.7315778732299805,0.4910445213317871,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.8712953925132751,0.45449766516685486,0.8029999732971191,0.7642880082130432,0.6146761178970337,0.632626473903656,,,,,,,,,
0.0005,0.0005,128,,,,,,,,,,,,,,,,,,,,,,,
