lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.7237855195999146,0.45916005969047546,0.49737459421157837,0.46674108505249023,0.46674105525016785,0.44566959142684937,0.40948474407196045,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.5053763389587402,0.07651286572217941,0.6299999952316284,0.5368663668632507,0.5104166865348816,0.4519330561161041,,,,,,,,,
0.0005,0.0005,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,2.863408327102661,0.5208477973937988,0.5548577904701233,0.5015624761581421,0.5015624761581421,0.694835901260376,0.3371884822845459,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.7300307750701904,0.1997249275445938,0.7200000286102295,0.6843317747116089,0.5571428537368774,0.5357320308685303,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.6838581562042236,0.5273293852806091,0.5634869933128357,0.4944196343421936,0.4944196343421936,0.49316084384918213,0.4700337052345276,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.4750383794307709,0.0768158882856369,0.6449999809265137,0.4788786768913269,0.49373218417167664,0.44004103541374207,,,,,,,,,
0.0005,0.0005,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,1.949954628944397,0.5698802471160889,0.6071039438247681,0.5058035850524902,0.5058035850524902,0.7181273698806763,0.3468639552593231,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.7546082735061646,0.37007373571395874,0.5149999856948853,0.6071428656578064,0.5279251337051392,0.41409197449684143,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,1.7586668729782104,0.5771707892417908,0.6171998977661133,0.5069196224212646,0.5069196224212646,0.6739696860313416,0.35116204619407654,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.7534562349319458,0.26457810401916504,0.875,0.6025345921516418,0.5776388645172119,0.5871521830558777,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.7264344096183777,0.5672038197517395,0.6105501055717468,0.5546875,0.5546875,0.5560964345932007,0.5518736839294434,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.6586021184921265,0.14915907382965088,0.7049999833106995,0.6102150678634644,0.5344993472099304,0.5056763291358948,,,,,,,,,
0.0005,0.0005,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,2.0944480895996094,0.5738528370857239,0.6196026802062988,0.5062500238418579,0.5062500238418579,0.6765766143798828,0.3493434190750122,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.810675859451294,0.4252486228942871,0.5899999737739563,0.7135176658630371,0.5559581518173218,0.4737517535686493,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,2.0251026153564453,0.5739306807518005,0.6211872100830078,0.5073660612106323,0.5073660612106323,0.6773929595947266,0.3521222472190857,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.7791858911514282,0.3834150433540344,0.8949999809265137,0.7123656272888184,0.6471136212348938,0.6712328791618347,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,35,0.9916288256645203,0.5748850703239441,0.6230825185775757,0.5651785731315613,0.5651785731315613,0.6572456359863281,0.4906179904937744,8,,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.9001535773277283,0.4840652048587799,0.8450000286102295,0.7845622301101685,0.6228652000427246,0.6516658067703247,,,,,,,,,
0.0005,0.0005,36,,,,,,,,,,,,,,,,,,,,,,,
,,39,1.2722772359848022,0.5744131803512573,0.6229904890060425,0.5395089387893677,0.5395089387893677,0.6840027570724487,0.42702171206474304,9,,,,,,,,,,,,,,,
,,39,,,,,,,,9,0.9254992008209229,0.6924088001251221,0.6449999809265137,0.7761136293411255,0.5740397572517395,0.5168588757514954,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,43,2.6303534507751465,0.5758865475654602,0.6228009462356567,0.5062500238418579,0.5062500238418579,0.7074568271636963,0.3482120633125305,10,,,,,,,,,,,,,,,
,,43,,,,,,,,10,0.9239631295204163,0.627784013748169,0.8100000023841858,0.7987711429595947,0.6098249554634094,0.6274509429931641,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,47,1.8569355010986328,0.5782712697982788,0.6239981651306152,0.5154017806053162,0.5154017806053162,0.6894159317016602,0.3709196448326111,11,,,,,,,,,,,,,,,
,,47,,,,,,,,11,0.879416286945343,0.5677931308746338,0.9300000071525574,0.7642089128494263,0.7336956262588501,0.7477477788925171,,,,,,,,,
5e-05,5e-05,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,12,,,,,,,0.3621627688407898,,,,,,,,
,,51,1.727499008178711,0.5784668922424316,0.6241018176078796,0.5214285850524902,0.5214285850524902,0.7022284269332886,0.38367384672164917,12,,,,,,,,,,,,,,,
,,51,,,,,,,,12,0.9516128301620483,0.7221654653549194,0.9200000166893005,0.8909370303153992,0.7250220775604248,0.7777777910232544,,,,,,,,,
5e-05,5e-05,52,,,,,,,,,,,,,,,,,,,,,,,
,,55,1.6425917148590088,0.5787398815155029,0.6243268251419067,0.5261160731315613,0.5261160731315613,0.7004653215408325,0.39445117115974426,13,,,,,,,,,,,,,,,
,,55,,,,,,,,13,0.8936252593994141,0.5513704419136047,0.8650000095367432,0.828341007232666,0.6480519771575928,0.686028242111206,,,,,,,,,
5e-05,5e-05,56,,,,,,,,,,,,,,,,,,,,,,,
