lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.6789883375167847,0.5836746692657471,0.613715648651123,0.5573660731315613,0.5573660731315613,0.5579507350921631,0.5562467575073242,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5341312289237976,0.0688902884721756,0.512499988079071,0.526152491569519,0.5059013366699219,0.3904297351837158,,,,,,,,,
0.0005,0.0005,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,1.0696552991867065,0.644564151763916,0.6657633781433105,0.5249999761581421,0.5250000357627869,0.6882907152175903,0.393508642911911,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.5541888475418091,0.10032695531845093,0.7950000166893005,0.5789006948471069,0.5295141935348511,0.523228108882904,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,1.145785927772522,0.6530957221984863,0.6796019077301025,0.5256696343421936,0.5256696343421936,0.7164738178253174,0.391607403755188,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.6609042882919312,0.1942298710346222,0.4050000011920929,0.5859929323196411,0.5208064913749695,0.34174132347106934,,,,,,,,,
0.0005,0.0005,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.9194406867027283,0.6421939730644226,0.6748747825622559,0.5667410492897034,0.5667410492897034,0.6911032199859619,0.48255863785743713,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.7660682201385498,0.2083839476108551,0.7975000143051147,0.6582446694374084,0.5552653074264526,0.5560123324394226,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,1.6098673343658447,0.6456048488616943,0.6756365299224854,0.5100446343421936,0.5100446343421936,0.7418994903564453,0.35564491152763367,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.7928856611251831,0.19797149300575256,0.6775000095367432,0.7114361524581909,0.5522468090057373,0.507516086101532,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,1.1330819129943848,0.6277194619178772,0.6628153324127197,0.5430803298950195,0.5430803298950195,0.6784677505493164,0.43614357709884644,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.8090647459030151,0.29934945702552795,0.8849999904632568,0.7047872543334961,0.6134856343269348,0.6399217247962952,,,,,,,,,
0.0005,0.0005,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,1.6769086122512817,0.6357455849647522,0.6688227653503418,0.5113839507102966,0.5113839507102966,0.7265669107437134,0.35924360156059265,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.8050754070281982,0.3858450651168823,0.6825000047683716,0.6945921778678894,0.5487357974052429,0.5062160491943359,,,,,,,,,
0.0005,0.0005,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.4443649351596832,,,,,,,,
,,55,0.8885563611984253,0.624327540397644,0.6609412431716919,0.59375,0.59375,0.6685093641281128,0.5430706739425659,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.84375,0.3691767454147339,0.824999988079071,0.7703900337219238,0.5953124761581421,0.6131742000579834,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,3.2267255783081055,0.6343820691108704,0.6651191115379333,0.5,0.5,nan,0.3333333432674408,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.8515070676803589,0.3499450087547302,0.6100000143051147,0.7535461187362671,0.5580357313156128,0.48000001907348633,,,,,,,,,
0.0005,0.0005,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.6826767325401306,0.6271322965621948,0.6649383902549744,0.5872767567634583,0.587276816368103,0.5872935056686401,0.5872570276260376,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.8180407285690308,0.32502686977386475,0.875,0.7384752035140991,0.6151787638664246,0.6448611617088318,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,3.0608649253845215,0.6547178626060486,0.6826676726341248,0.5011160969734192,0.5011160969734192,0.7502793073654175,0.3358086943626404,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.8056294322013855,0.20324333012104034,0.6700000166893005,0.7269504070281982,0.5552259683609009,0.5070028305053711,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,1.0985583066940308,0.6484695672988892,0.6801042556762695,0.5877231955528259,0.5877231955528259,0.6788687705993652,0.5275351405143738,11,,,,,,,,,,,,,,,
,,83,,,,,,,,11,0.9052526354789734,0.49414634704589844,0.8274999856948853,0.8107270002365112,0.6065713763237,0.6277865171432495,,,,,,,,,
5e-05,5e-05,84,,,,,,,,,,,,,,,,,,,,,,,
