lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,1,1.3477007150650024,0.5967139601707458,0.6154080629348755,0.5102678537368774,0.5102678537368774,0.6822916269302368,0.35905784368515015,0,,,,,,,,,,,,,,,
,,1,,,,,,,,0,0.27272725105285645,0.013698630034923553,0.3100000023841858,0.15656565129756927,0.484375,0.23664122819900513,,,,,,,,,
0.0005,0.0005,2,,,,,,,,,,,,,,,,,,,,,,,
,,3,2.78540301322937,0.6157776713371277,0.6320800185203552,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,3,,,,,,,,1,0.6565656661987305,0.02857142873108387,0.9100000262260437,0.4595959484577179,0.4945652186870575,0.47643980383872986,,,,,,,,,
0.0005,0.0005,4,,,,,,,,,,,,,,,,,,,,,,,
,,5,1.915919542312622,0.6292800903320312,0.6452144980430603,0.5024553537368774,0.5024553537368774,0.7121540904045105,0.3391565680503845,2,,,,,,,,,,,,,,,
,,5,,,,,,,,2,0.9191919565200806,0.1111111119389534,0.9700000286102295,0.4898989796638489,0.4948979616165161,0.49238577485084534,,,,,,,,,
0.0005,0.0005,6,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.7581902742385864,0.6392850875854492,0.6503524780273438,0.5964285731315613,0.5964285731315613,0.616200864315033,0.5784982442855835,3,,,,,,,,,,,,,,,
,,7,,,,,,,,3,0.7575757503509521,0.03999999910593033,0.8999999761581421,0.4545454680919647,0.49450549483299255,0.4736842215061188,,,,,,,,,
0.0005,0.0005,8,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.7321114540100098,0.6487067937850952,0.657351553440094,0.604687511920929,0.604687511920929,0.6186741590499878,0.5926862955093384,4,,,,,,,,,,,,,,,
,,9,,,,,,,,4,0.9696969985961914,0.25,0.800000011920929,0.8989899158477783,0.523809552192688,0.489274799823761,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,11,1.1227818727493286,0.6586899757385254,0.6652219891548157,0.5314732193946838,0.5314732193946838,0.6737540364265442,0.41086870431900024,5,,,,,,,,,,,,,,,
,,11,,,,,,,,5,0.9898989796638489,0.5,0.7099999785423279,0.8535353541374207,0.5166666507720947,0.44645923376083374,,,,,,,,,
0.0005,0.0005,12,,,,,,,,,,,,,,,,,,,,,,,
,,13,2.195558786392212,0.6707434058189392,0.6736873388290405,0.5022321343421936,0.5022321343421936,0.6791312098503113,0.3390548527240753,6,,,,,,,,,,,,,,,
,,13,,,,,,,,6,0.9898989796638489,0.5,0.8899999856948853,0.9444444179534912,0.5416666865348816,0.5475113391876221,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,15,3.6923866271972656,0.6794244050979614,0.68178790807724,0.5,0.5,nan,0.3333333432674408,7,,,,,,,,,,,,,,,
,,15,,,,,,,,7,0.9898989796638489,0.5,0.9700000286102295,0.9848484992980957,0.625,0.692307710647583,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,17,5.11154317855835,0.6851096153259277,0.6865031719207764,0.5,0.5,nan,0.3333333432674408,8,,,,,,,,,,,,,,,
,,17,,,,,,,,8,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
0.0005,0.0005,18,,,,,,,,,,,,,,,,,,,,,,,
,,19,3.7714974880218506,0.6843897700309753,0.6847392320632935,0.5,0.5,nan,0.3333333432674408,9,,,,,,,,,,,,,,,
,,19,,,,,,,,9,0.9898989796638489,0.5,0.9900000095367432,0.5,nan,0.4974874258041382,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,21,2.6382622718811035,0.6832433938980103,0.6820592880249023,0.5017856955528259,0.5017856955528259,0.6671142578125,0.3380719721317291,10,,,,,,,,,,,,,,,
,,21,,,,,,,,10,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
0.0005,0.0005,22,,,,,,,,,,,,,,,,,,,,,,,
,,23,1.9490206241607666,0.6824367046356201,0.6802233457565308,0.5075892806053162,0.5075892806053162,0.7144144177436829,0.3511083126068115,11,,,,,,,,,,,,,,,
,,23,,,,,,,,11,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
5e-05,5e-05,24,,,,,,,,,,,,,,,,,,,,,,,
,,25,1.8955377340316772,0.6822999119758606,0.6799970865249634,0.5078125,0.5078125,0.7054604291915894,0.35196372866630554,12,,,,,,,,,,,,,,,
,,25,,,,,,,,12,1.0,1.0,0.9900000095367432,0.994949460029602,0.75,0.8307952880859375,,,,,,,,,
5e-05,5e-05,26,,,,,,,,,,,,,,,,,,,,,,,
,,27,1.8747735023498535,0.6823092103004456,0.6799126863479614,0.5082589387893677,0.5082589387893677,0.7076412439346313,0.3529243767261505,13,,,,,,,,,,,,,,,
,,27,,,,,,,,13,1.0,1.0,0.9900000095367432,0.994949460029602,0.75,0.8307952880859375,,,,,,,,,
