lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.616998016834259,0.5967696905136108,0.6253913640975952,0.5118303298950195,0.5118303298950195,0.5219513773918152,0.4482298493385315,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.43301841616630554,0.02117890678346157,0.6957142949104309,0.4767441749572754,0.4981185793876648,0.4235208332538605,,,,,,,,,
0.0005,0.0005,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,3.6558570861816406,0.665876030921936,0.6802697777748108,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.7140262126922607,0.1345227211713791,0.668571412563324,0.6676356792449951,0.5126388072967529,0.4315636157989502,,,,,,,,,
0.0005,0.0005,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,1.693524718284607,0.6441360116004944,0.6635593771934509,0.5084821581840515,0.5084821581840515,0.6921444535255432,0.3541465103626251,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.6017441749572754,0.10309100151062012,0.41857144236564636,0.49951547384262085,0.49996641278266907,0.3087618947029114,,,,,,,,,
0.0005,0.0005,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,1.052489161491394,0.6051837801933289,0.6308302879333496,0.534375011920929,0.534375011920929,0.6681753396987915,0.41876789927482605,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.6933139562606812,0.0525219663977623,0.9757142663002014,0.4963662922382355,0.4913668930530548,0.49385392665863037,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.7194709777832031,,,,,,,,
,,54,2.0937294960021973,0.6585903763771057,0.6767393946647644,0.5020089149475098,0.5020089149475098,0.7050489187240601,0.3381733000278473,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.786216139793396,0.19568274915218353,0.4471428692340851,0.6778100728988647,0.5122037529945374,0.33163756132125854,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.7668447494506836,0.6653831005096436,0.6820424795150757,0.6238839030265808,0.6238839626312256,0.6604195833206177,0.601175844669342,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.9232073426246643,0.331033855676651,0.977142870426178,0.6199128031730652,0.643478274345398,0.6305581331253052,,,,,,,,,
0.0005,0.0005,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,1.515826940536499,0.6748978495597839,0.6893352270126343,0.5330356955528259,0.5330356955528259,0.6936448812484741,0.41088202595710754,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.8756056427955627,0.2938374876976013,0.6757143139839172,0.7531492114067078,0.5191260576248169,0.44204697012901306,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
