lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,1.703389048576355,0.6121891140937805,0.645837128162384,0.5093749761581421,0.5093750357627869,0.7123702168464661,0.35531970858573914,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.5539215803146362,0.115872323513031,0.5490000247955322,0.5403183698654175,0.5148820877075195,0.44011253118515015,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,1.3532990217208862,0.6772462725639343,0.7028402090072632,0.5408481955528259,0.5408481955528259,0.7317212820053101,0.4217744767665863,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.6201908588409424,0.17200437188148499,0.5870000123977661,0.5875475406646729,0.5326986908912659,0.4718068838119507,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.8094344139099121,0.7060133218765259,0.7277767062187195,0.6180803775787354,0.6180803775787354,0.6935956478118896,0.5768124461174011,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.7135027647018433,0.21683478355407715,0.6830000281333923,0.6192737817764282,0.5498005747795105,0.528042733669281,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5251340270042419,,,,,,,,
,,63,1.3858940601348877,0.7210869789123535,0.7405314445495605,0.5462053418159485,0.5462053418159485,0.7287294864654541,0.43311256170272827,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.7393554449081421,0.23123246431350708,0.6909999847412109,0.6845604181289673,0.574809193611145,0.554877519607544,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,1.4668514728546143,0.7325285077095032,0.747410237789154,0.5640624761581421,0.5640625357627869,0.7277456521987915,0.4685778319835663,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.754345178604126,0.24966377019882202,0.6990000009536743,0.7063955068588257,0.5836597084999084,0.5664017796516418,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,1.804877519607544,0.7298625111579895,0.7443423271179199,0.5493303537368774,0.5493303537368774,0.7264097929000854,0.4397932291030884,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.7460042238235474,0.24162214994430542,0.6729999780654907,0.6788833737373352,0.5706935524940491,0.5432392954826355,,,,,,,,,
0.0005,0.0005,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.39806312322616577,,,,,,,,
,,111,1.7202192544937134,0.7373538017272949,0.7504345178604126,0.5662946701049805,0.5662946701049805,0.7283312082290649,0.4727538228034973,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.7937136888504028,0.36089158058166504,0.7300000190734863,0.7019302248954773,0.5874168276786804,0.5827950835227966,,,,,,,,,
0.0005,0.0005,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,2.4889719486236572,0.7414771318435669,0.7530746459960938,0.5205357074737549,0.5205357074737549,0.7399426698684692,0.3784463703632355,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.8360299468040466,0.38678377866744995,0.765999972820282,0.7523909211158752,0.6141765117645264,0.6229115128517151,,,,,,,,,
0.0005,0.0005,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,1.5918303728103638,0.7513556480407715,0.761103630065918,0.5622767806053162,0.5622767806053162,0.7262788414955139,0.4654123783111572,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.815963625907898,0.4178324341773987,0.7319999933242798,0.7421503067016602,0.6019301414489746,0.5975468158721924,,,,,,,,,
0.0005,0.0005,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.46445855498313904,,,,,,,,
,,159,2.6757702827453613,0.7469915747642517,0.7569318413734436,0.5200892686843872,0.5200892686843872,0.7347264885902405,0.3778676390647888,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.8231363892555237,0.33123770356178284,0.7480000257492065,0.7554041743278503,0.6101599335670471,0.6120307445526123,,,,,,,,,
0.0005,0.0005,160,,,,,,,,,,,,,,,,,,,,,,,
