lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.8355620503425598,0.5119091868400574,0.5318868160247803,0.4995535612106323,0.4995535910129547,0.41655492782592773,0.33392590284347534,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.5015193223953247,0.0787147730588913,0.5542857050895691,0.49547070264816284,0.4986875355243683,0.41453373432159424,,,,,,,,,
0.0005,0.0005,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,1.3999168872833252,0.6434794664382935,0.6628249287605286,0.5098214149475098,0.5098214149475098,0.6799091696739197,0.3581090569496155,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.6373982429504395,0.15613920986652374,0.618571400642395,0.581212043762207,0.5243679881095886,0.4650447368621826,,,,,,,,,
0.0005,0.0005,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,2.303030252456665,0.6862558126449585,0.7040882110595703,0.5024553537368774,0.5024553537368774,0.6839492321014404,0.33954572677612305,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.5974658727645874,0.15015891194343567,0.5114285945892334,0.58255934715271,0.5235294103622437,0.41352853178977966,,,,,,,,,
0.0005,0.0005,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.811309278011322,0.7050994634628296,0.7217414379119873,0.6035714149475098,0.6035714149475098,0.7020918130874634,0.5485507249832153,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.662653386592865,0.18565453588962555,0.6228571534156799,0.6005045175552368,0.5301161408424377,0.47218701243400574,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.5998200178146362,,,,,,,,
,,54,1.0705815553665161,0.7151396870613098,0.7327481508255005,0.5814732313156128,0.5814732313156128,0.7232202291488647,0.5024927258491516,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.7664545178413391,0.26137858629226685,0.7457143068313599,0.7010090351104736,0.5714314579963684,0.5638720989227295,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,1.3876835107803345,0.7163965106010437,0.7350019812583923,0.5658482313156128,0.5658482313156128,0.7233278751373291,0.4729328453540802,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.7773477435112,0.23150457441806793,0.7071428298950195,0.6885964870452881,0.5618495941162109,0.5386905670166016,,,,,,,,,
0.0005,0.0005,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,1.324764609336853,0.724563479423523,0.7410726547241211,0.5874999761581421,0.5874999761581421,0.7221790552139282,0.5138231515884399,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.8368879556655884,0.29114946722984314,0.7699999809265137,0.7565932273864746,0.5933066606521606,0.5965186953544617,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,2.924852132797241,0.7395793795585632,0.7499592900276184,0.5127232074737549,0.5127232074737549,0.7097523212432861,0.36317387223243713,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.850189208984375,0.36984002590179443,0.7185714244842529,0.7626705169677734,0.5845771431922913,0.5660451650619507,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,1.9905081987380981,0.7461721897125244,0.7570158243179321,0.5524553656578064,0.5524553656578064,0.7339823842048645,0.444765567779541,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.8333333730697632,0.34960320591926575,0.7571428418159485,0.7411420345306396,0.585693359375,0.5834733247756958,,,,,,,,,
0.0005,0.0005,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.4436415433883667,,,,,,,,
,,109,2.1107194423675537,0.7415099143981934,0.7536100149154663,0.5587053298950195,0.5587053298950195,0.734171986579895,0.4569839835166931,9,,,,,,,,,,,,,,,
,,109,,,,,,,,9,0.8890895843505859,0.45285195112228394,0.8171428442001343,0.7906203269958496,0.619461715221405,0.6414566040039062,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,120,2.425266981124878,0.7430189847946167,0.7545685768127441,0.5569196343421936,0.5569196343421936,0.7313346862792969,0.454006552696228,10,,,,,,,,,,,,,,,
,,120,,,,,,,,10,0.9407751560211182,0.6511406898498535,0.854285717010498,0.8616557717323303,0.6592205762863159,0.6974371075630188,,,,,,,,,
0.0005,0.0005,121,,,,,,,,,,,,,,,,,,,,,,,
,,131,1.643204927444458,0.7454501986503601,0.7563351392745972,0.6051339507102966,0.6051339507102966,0.7231510877609253,0.5449715852737427,11,,,,,,,,,,,,,,,
,,131,,,,,,,,11,0.9063180685043335,0.5018069744110107,0.8271428346633911,0.8299793601036072,0.6350247859954834,0.6623870730400085,,,,,,,,,
5e-05,5e-05,132,,,,,,,,,,,,,,,,,,,,,,,
,,142,3.097198963165283,0.7473149299621582,0.7571885585784912,0.5375000238418579,0.5375000238418579,0.7331899404525757,0.41470757126808167,12,,,,,,,,,,,,,,,
,,142,,,,,,,,12,0.926757276058197,0.5708167552947998,0.7428571581840515,0.8352253437042236,0.6086641550064087,0.6003501415252686,,,,,,,,,
5e-05,5e-05,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,13,,,,,,,0.2885383665561676,,,,,,,,
,,153,3.729165554046631,0.7479313611984253,0.757769763469696,0.5238839387893677,0.5238839387893677,0.7347636222839355,0.38600051403045654,13,,,,,,,,,,,,,,,
,,153,,,,,,,,13,0.9540190696716309,0.6418061852455139,0.9157142639160156,0.8694816827774048,0.72832190990448,0.775776207447052,,,,,,,,,
5e-05,5e-05,154,,,,,,,,,,,,,,,,,,,,,,,
,,164,2.880995035171509,0.7471703290939331,0.7573257088661194,0.5482142567634583,0.5482142567634583,0.7377358675003052,0.4357626438140869,14,,,,,,,,,,,,,,,
,,164,,,,,,,,14,0.9444157481193542,0.6400392055511475,0.8557142615318298,0.8709150552749634,0.662446141242981,0.7016764283180237,,,,,,,,,
5e-05,5e-05,165,,,,,,,,,,,,,,,,,,,,,,,
,,175,3.218263864517212,0.7475061416625977,0.7575511932373047,0.5348214507102966,0.5348214507102966,0.7306522130966187,0.4094787836074829,15,,,,,,,,,,,,,,,
,,175,,,,,,,,15,0.9569716453552246,0.6462035179138184,0.8657143115997314,0.9017887711524963,0.6768893003463745,0.7211675643920898,,,,,,,,,
5e-05,5e-05,176,,,,,,,,,,,,,,,,,,,,,,,
,,186,3.0841705799102783,0.7471182346343994,0.7573522329330444,0.5395089387893677,0.5395089387893677,0.7326982021331787,0.4188995361328125,16,,,,,,,,,,,,,,,
,,186,,,,,,,,16,0.9253813028335571,0.5430048704147339,0.8557142615318298,0.8369739651679993,0.6541134119033813,0.6911031603813171,,,,,,,,,
5e-05,5e-05,187,,,,,,,,,,,,,,,,,,,,,,,
,,197,3.3432657718658447,0.7470266819000244,0.7572113275527954,0.5305803418159485,0.5305804014205933,0.7288868427276611,0.40079277753829956,17,,,,,,,,,,,,,,,
,,197,,,,,,,,17,0.9519550800323486,0.6962108612060547,0.868571400642395,0.8778809905052185,0.6738041639328003,0.7173653841018677,,,,,,,,,
5e-05,5e-05,198,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,18,,,,,,,0.238144189119339,,,,,,,,
,,208,3.356750249862671,0.7469892501831055,0.7574847936630249,0.5314732193946838,0.5314732193946838,0.7271057367324829,0.40288132429122925,18,,,,,,,,,,,,,,,
,,208,,,,,,,,18,0.9562550187110901,0.6186598539352417,0.8857142925262451,0.9211099743843079,0.698245644569397,0.7497139573097229,,,,,,,,,
5e-05,5e-05,209,,,,,,,,,,,,,,,,,,,,,,,
,,219,3.3256173133850098,0.7470898628234863,0.7577446699142456,0.5334821343421936,0.5334821343421936,0.7292889356613159,0.4068480432033539,19,,,,,,,,,,,,,,,
,,219,,,,,,,,19,0.9573443531990051,0.6316238045692444,0.8785714507102966,0.8748136758804321,0.6819130182266235,0.7277623414993286,,,,,,,,,
5e-05,5e-05,220,,,,,,,,,,,,,,,,,,,,,,,
,,230,3.2386136054992676,0.7470943927764893,0.7578336596488953,0.5375000238418579,0.5375000238418579,0.7308428287506104,0.4150101840496063,20,,,,,,,,,,,,,,,
,,230,,,,,,,,20,0.9537037014961243,0.6615420579910278,0.8714285492897034,0.88791424036026,0.6784188747406006,0.7235095500946045,,,,,,,,,
5e-05,5e-05,231,,,,,,,,,,,,,,,,,,,,,,,
,,241,3.2322850227355957,0.7465294003486633,0.7575517892837524,0.5399553775787354,0.5399553775787354,0.7330948710441589,0.4197605550289154,21,,,,,,,,,,,,,,,
,,241,,,,,,,,21,0.9366471171379089,0.6094601154327393,0.868571400642395,0.8693957328796387,0.6718683242797852,0.7147969007492065,,,,,,,,,
5e-05,5e-05,242,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,22,,,,,,,0.2742224931716919,,,,,,,,
,,252,3.2175629138946533,0.7461109161376953,0.7571990489959717,0.5410714149475098,0.5410714149475098,0.7340637445449829,0.42190805077552795,22,,,,,,,,,,,,,,,
,,252,,,,,,,,22,0.9532163739204407,0.66862553358078,0.8557142615318298,0.8709150552749634,0.662446141242981,0.7016764283180237,,,,,,,,,
5e-05,5e-05,253,,,,,,,,,,,,,,,,,,,,,,,
,,263,3.0807788372039795,0.7460064888000488,0.7572294473648071,0.5462053418159485,0.5462053418159485,0.7381561398506165,0.4316934049129486,23,,,,,,,,,,,,,,,
,,263,,,,,,,,23,0.929394543170929,0.6180276274681091,0.8614285588264465,0.8400699496269226,0.6591516137123108,0.6979201436042786,,,,,,,,,
5e-06,5e-06,264,,,,,,,,,,,,,,,,,,,,,,,
,,274,3.1019339561462402,0.7460750341415405,0.7572997212409973,0.5462053418159485,0.5462053418159485,0.7381561398506165,0.4316934049129486,24,,,,,,,,,,,,,,,
,,274,,,,,,,,24,0.9565989971160889,0.6651604771614075,0.8428571224212646,0.8894048929214478,0.6586248874664307,0.6942697763442993,,,,,,,,,
5e-06,5e-06,275,,,,,,,,,,,,,,,,,,,,,,,
,,285,3.205068826675415,0.7461860179901123,0.7573713064193726,0.5410714149475098,0.5410714149475098,0.7340637445449829,0.42190805077552795,25,,,,,,,,,,,,,,,
,,285,,,,,,,,25,0.9486870765686035,0.6840930581092834,0.8642857074737549,0.8840442895889282,0.6718026399612427,0.7145322561264038,,,,,,,,,
5e-06,5e-06,286,,,,,,,,,,,,,,,,,,,,,,,
,,296,3.235661029815674,0.7462352514266968,0.7574001550674438,0.5404017567634583,0.540401816368103,0.7334862947463989,0.4206204414367676,26,,,,,,,,,,,,,,,
,,296,,,,,,,,26,0.9413198232650757,0.5859286189079285,0.8799999952316284,0.8586171269416809,0.679741382598877,0.7243629693984985,,,,,,,,,
5e-06,5e-06,297,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,27,,,,,,,0.4538934826850891,,,,,,,,
,,307,3.242453098297119,0.7461884021759033,0.7573639154434204,0.5401785969734192,0.5401785969734192,0.7332912087440491,0.4201906621456146,27,,,,,,,,,,,,,,,
,,307,,,,,,,,27,0.9467951059341431,0.5840250253677368,0.8557142615318298,0.8709150552749634,0.662446141242981,0.7016764283180237,,,,,,,,,
5e-06,5e-06,308,,,,,,,,,,,,,,,,,,,,,,,
,,318,3.263795852661133,0.746185302734375,0.7573640942573547,0.5397321581840515,0.5397321581840515,0.732897162437439,0.4193301796913147,28,,,,,,,,,,,,,,,
,,318,,,,,,,,28,0.9543917179107666,0.5901844501495361,0.8600000143051147,0.898692786693573,0.6719499826431274,0.7141666412353516,,,,,,,,,
5e-06,5e-06,319,,,,,,,,,,,,,,,,,,,,,,,
,,329,3.3093197345733643,0.7461917996406555,0.757334291934967,0.5383928418159485,0.5383928418159485,0.7339863181114197,0.4164409041404724,29,,,,,,,,,,,,,,,
,,329,,,,,,,,29,0.9578316807746887,0.6870275735855103,0.8757143020629883,0.89872145652771,0.6844425797462463,0.7315181493759155,,,,,,,,,
5e-06,5e-06,330,,,,,,,,,,,,,,,,,,,,,,,
,,340,3.350027084350586,0.7462262511253357,0.7573133707046509,0.5370535850524902,0.5370535850524902,0.7327829599380493,0.41383910179138184,30,,,,,,,,,,,,,,,
,,340,,,,,,,,30,0.9459637403488159,0.6228575706481934,0.8799999952316284,0.8755877017974854,0.6834397315979004,0.7296750545501709,,,,,,,,,
5e-06,5e-06,341,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,31,,,,,,,0.29767951369285583,,,,,,,,
,,351,3.3763248920440674,0.7462976574897766,0.7573604583740234,0.5366071462631226,0.5366071462631226,0.7323698997497559,0.4129694402217865,31,,,,,,,,,,,,,,,
,,351,,,,,,,,31,0.9570289850234985,0.6828091740608215,0.8757143020629883,0.9072067737579346,0.6862339973449707,0.7339205741882324,,,,,,,,,
5e-06,5e-06,352,,,,,,,,,,,,,,,,,,,,,,,
,,362,3.397139549255371,0.7463346123695374,0.7573822140693665,0.5348214507102966,0.5348214507102966,0.7306522130966187,0.4094787836074829,32,,,,,,,,,,,,,,,
,,362,,,,,,,,32,0.955394983291626,0.7110006213188171,0.8799999952316284,0.9010434150695801,0.6887989044189453,0.7371996641159058,,,,,,,,,
5e-06,5e-06,363,,,,,,,,,,,,,,,,,,,,,,,
,,373,3.364759683609009,0.7462673187255859,0.7573362588882446,0.5370535850524902,0.5370535850524902,0.7327829599380493,0.41383910179138184,33,,,,,,,,,,,,,,,
,,373,,,,,,,,33,0.9394278526306152,0.6233627796173096,0.8871428370475769,0.8540018200874329,0.686172366142273,0.7314373850822449,,,,,,,,,
5e-06,5e-06,374,,,,,,,,,,,,,,,,,,,,,,,
,,384,3.336683988571167,0.74624103307724,0.7573093771934509,0.5375000238418579,0.5375000238418579,0.7331899404525757,0.41470757126808167,34,,,,,,,,,,,,,,,
,,384,,,,,,,,34,0.9540190696716309,0.6546380519866943,0.868571400642395,0.8778809905052185,0.6738041639328003,0.7173653841018677,,,,,,,,,
5e-06,5e-06,385,,,,,,,,,,,,,,,,,,,,,,,
,,395,3.324794292449951,0.746232271194458,0.7572965621948242,0.5383928418159485,0.5383928418159485,0.7339863181114197,0.4164409041404724,35,,,,,,,,,,,,,,,
,,395,,,,,,,,35,0.9538470506668091,0.6842421889305115,0.8842856884002686,0.8779096603393555,0.6881699562072754,0.7355102300643921,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,396,,,,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,,36,,,,,,,0.12812381982803345,,,,,,,,
,,406,3.3253791332244873,0.7462230920791626,0.7572837471961975,0.5383928418159485,0.5383928418159485,0.7339863181114197,0.4164409041404724,36,,,,,,,,,,,,,,,
,,406,,,,,,,,36,0.9589496850967407,0.7020542621612549,0.8742856979370117,0.9064327478408813,0.6848404407501221,0.7320574522018433,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,407,,,,,,,,,,,,,,,,,,,,,,,
,,417,3.334969997406006,0.7462383508682251,0.7572945952415466,0.5375000238418579,0.5375000238418579,0.7331899404525757,0.41470757126808167,37,,,,,,,,,,,,,,,
,,417,,,,,,,,37,0.9524424076080322,0.6435232162475586,0.8785714507102966,0.9087547063827515,0.6890838146209717,0.7376902103424072,,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,418,,,,,,,,,,,,,,,,,,,,,,,
