lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.430417060852051,0.6230362057685852,0.6483080387115479,0.5026785731315613,0.5026785731315613,0.7506714463233948,0.33925822377204895,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5365691184997559,0.07004500925540924,0.6050000190734863,0.536347508430481,0.5086170434951782,0.43369176983833313,,,,,,,,,
0.0005,0.0005,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,1.3828412294387817,0.6434935927391052,0.6640609502792358,0.5214285850524902,0.5214285850524902,0.7055045366287231,0.38333848118782043,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.720079779624939,0.19788260757923126,0.6725000143051147,0.6502659320831299,0.5376342535018921,0.4906637668609619,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,1.577886939048767,0.6553488969802856,0.67124342918396,0.5151785612106323,0.5151785612106323,0.6970524787902832,0.3697536289691925,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.6920434236526489,0.27095329761505127,0.6349999904632568,0.6303191184997559,0.5311969518661499,0.4682401120662689,,,,,,,,,
0.0005,0.0005,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,1.5294665098190308,0.6776897311210632,0.6897100806236267,0.5245535969734192,0.5245535373687744,0.7085365056991577,0.39001190662384033,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.8367685675621033,0.19511035084724426,0.8075000047683716,0.7805851101875305,0.5914772748947144,0.6032512784004211,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,1.9752936363220215,0.6943656206130981,0.7017034292221069,0.5205357074737549,0.5205357074737549,0.7143540382385254,0.38049763441085815,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.8484042286872864,0.2801121473312378,0.7074999809265137,0.7859042882919312,0.5721173882484436,0.5408118367195129,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,2.931734800338745,0.7039434909820557,0.7090067863464355,0.5082589387893677,0.5082589387893677,0.6908630728721619,0.35366782546043396,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.9082447290420532,0.4342946410179138,0.8274999856948853,0.8497340679168701,0.6158972978591919,0.639116644859314,,,,,,,,,
0.0005,0.0005,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,1.220061182975769,0.7108945846557617,0.7155270576477051,0.5631696581840515,0.5631696581840515,0.7059017419815063,0.47159668803215027,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.8958333730697632,0.35772615671157837,0.862500011920929,0.848847508430481,0.6347660422325134,0.6715192198753357,,,,,,,,,
0.0005,0.0005,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.369004487991333,,,,,,,,
,,55,2.8422539234161377,0.7075556516647339,0.7132056355476379,0.5178571343421936,0.5178571343421936,0.7173259258270264,0.37428081035614014,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.8937278389930725,0.4772266745567322,0.8149999976158142,0.8235815763473511,0.6046594977378845,0.6215027570724487,,,,,,,,,
0.0005,0.0005,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,2.894181966781616,0.69936203956604,0.7061720490455627,0.5183035731315613,0.5183035731315613,0.713861882686615,0.3755527138710022,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.9109042286872864,0.4500303268432617,0.7649999856948853,0.8359929323196411,0.592994749546051,0.5884233117103577,,,,,,,,,
0.0005,0.0005,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,3.22326397895813,0.6951481103897095,0.702816367149353,0.5165178775787354,0.5165178775787354,0.7193266153335571,0.3711439073085785,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.9513519406318665,0.5782814025878906,0.925000011920929,0.86258864402771,0.7088866233825684,0.7589199542999268,,,,,,,,,
0.0005,0.0005,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,3.6904749870300293,0.6965370178222656,0.70406174659729,0.5120535492897034,0.5120535492897034,0.707603931427002,0.36175698041915894,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.9747340679168701,0.7059241533279419,0.925000011920929,0.9015957117080688,0.7144886255264282,0.7710622549057007,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,3.66503643989563,0.7033990621566772,0.7114226222038269,0.5174106955528259,0.5174106955528259,0.7118927836418152,0.37370142340660095,11,,,,,,,,,,,,,,,
,,83,,,,,,,,11,0.9715204238891602,0.7070306539535522,0.9024999737739563,0.9091312289237976,0.6835081577301025,0.7378636002540588,,,,,,,,,
