lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,1.07966148853302,0.666418194770813,0.6813780069351196,0.5399553775787354,0.5399553775787354,0.6917457580566406,0.4264456033706665,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.4455835521221161,0.0965324193239212,0.5022222399711609,0.47106897830963135,0.4890619218349457,0.40098053216934204,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,1.7303378582000732,0.7070488929748535,0.7152207493782043,0.5087053775787354,0.5087053775787354,0.7188650965690613,0.3535118103027344,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.6037659645080566,0.1825067400932312,0.5833333134651184,0.5860412120819092,0.5330427289009094,0.47218698263168335,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,2.266803741455078,0.7239919900894165,0.7288557291030884,0.503125011920929,0.503125011920929,0.7195340394973755,0.34062865376472473,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.6415691375732422,0.1778889298439026,0.6200000047683716,0.5926119685173035,0.5366795659065247,0.49182426929473877,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.554897665977478,,,,,,,,
,,59,2.3874576091766357,0.721217155456543,0.7267979979515076,0.5033482313156128,0.5033482313156128,0.7214285135269165,0.34111857414245605,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.6602811813354492,0.19996541738510132,0.6622222065925598,0.6022883653640747,0.5428350567817688,0.5148798823356628,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,1.692156195640564,0.715434730052948,0.7215657830238342,0.5200892686843872,0.5200892686843872,0.7301369905471802,0.3782115876674652,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.6577574014663696,0.19479802250862122,0.6255555748939514,0.5957175493240356,0.5381059646606445,0.495467871427536,,,,,,,,,
0.0005,0.0005,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,1.199571967124939,0.7401571273803711,0.742023229598999,0.5604910850524902,0.5604910850524902,0.7197905778884888,0.46323150396347046,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.7330107688903809,0.26612481474876404,0.70333331823349,0.6531219482421875,0.5669357180595398,0.5538093447685242,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5582032799720764,,,,,,,,
,,104,1.372109055519104,0.7462426424026489,0.7469047904014587,0.5502232313156128,0.5502232313156128,0.7209287881851196,0.44253966212272644,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.7358483076095581,0.2622668147087097,0.6588888764381409,0.6654135584831238,0.5664390921592712,0.5346722602844238,,,,,,,,,
0.0005,0.0005,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,1.6944230794906616,0.7350573539733887,0.737953782081604,0.5310267806053162,0.5310267806053162,0.7265955805778503,0.4019964039325714,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.7405034303665161,0.25200799107551575,0.7077777981758118,0.6881006956100464,0.580740213394165,0.5687574148178101,,,,,,,,,
0.0005,0.0005,120,,,,,,,,,,,,,,,,,,,,,,,
,,134,1.4042025804519653,0.7308727502822876,0.7343243360519409,0.5587053298950195,0.5587053298950195,0.7206377387046814,0.4595406949520111,8,,,,,,,,,,,,,,,
,,134,,,,,,,,8,0.7671003341674805,0.24854767322540283,0.6600000262260437,0.6846028566360474,0.5735704302787781,0.5411804914474487,,,,,,,,,
0.0005,0.0005,135,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.33771100640296936,,,,,,,,
