lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.6182712912559509,0.6212484836578369,0.6322454214096069,0.5229910612106323,0.5229910612106323,0.5627464056015015,0.43321388959884644,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.5404411554336548,0.12971808016300201,0.5733333230018616,0.5084033608436584,0.5029325485229492,0.43609023094177246,,,,,,,,,
0.0005,0.0005,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,2.1543281078338623,0.6819511651992798,0.6878482103347778,0.5116071701049805,0.5116071701049805,0.7126199007034302,0.3604474663734436,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.6608455777168274,0.13664743304252625,0.6233333349227905,0.6641281843185425,0.5571428537368774,0.5043207406997681,,,,,,,,,
0.0005,0.0005,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,1.8684836626052856,0.6999242305755615,0.7030740976333618,0.5205357074737549,0.5205357074737549,0.7035462856292725,0.38151389360427856,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.7146795988082886,0.30093085765838623,0.5933333039283752,0.6636029481887817,0.5558643937110901,0.4881405234336853,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,1.9389219284057617,0.7118781805038452,0.7128710746765137,0.5216518044471741,0.5216518044471741,0.7059764266014099,0.38379377126693726,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.7889968752861023,0.3500370681285858,0.8333333134651184,0.6357668042182922,0.591796875,0.6054292917251587,,,,,,,,,
0.0005,0.0005,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,1.7053499221801758,0.7154935598373413,0.7154675722122192,0.53125,0.53125,0.7004510164260864,0.40587443113327026,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.8648897409439087,0.38783615827560425,0.6133333444595337,0.7707458138465881,0.5919058322906494,0.5239397883415222,,,,,,,,,
0.0005,0.0005,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,3.400731325149536,0.7182124853134155,0.7197966575622559,0.5035714507102966,0.5035714507102966,0.6827154159545898,0.34237992763519287,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.8273372054100037,0.35312387347221375,0.8233333230018616,0.7584033608436584,0.6318063139915466,0.6567283272743225,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,1.5447126626968384,0.7210926413536072,0.7201330661773682,0.5325892567634583,0.532589316368103,0.6986162662506104,0.4091041088104248,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.8753939270973206,0.4150391221046448,0.8199999928474426,0.7886029481887817,0.6393255591392517,0.6651785373687744,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,2.464268922805786,0.7228800654411316,0.7223773002624512,0.5113839507102966,0.5113838911056519,0.6931877136230469,0.36106207966804504,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.8845850825309753,0.42443057894706726,0.6766666769981384,0.7896533608436584,0.6018514037132263,0.5669578313827515,,,,,,,,,
0.0005,0.0005,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,3.127579689025879,0.7177196145057678,0.7183387875556946,0.5064732432365417,0.506473183631897,0.6702386140823364,0.350200355052948,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.8962709903717041,0.49678152799606323,0.8866666555404663,0.8093487620353699,0.7016432881355286,0.73795086145401,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.5133069157600403,,,,,,,,
,,49,2.480799436569214,0.7104804515838623,0.7120044231414795,0.5178571343421936,0.5178571343421936,0.6968780755996704,0.3760085105895996,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.9516806602478027,0.677851676940918,0.8366666436195374,0.8778886795043945,0.6736769080162048,0.7083275318145752,,,,,,,,,
0.0005,0.0005,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,4.382063388824463,0.7052000761032104,0.7088800668716431,0.5029017925262451,0.5029017925262451,0.6211001873016357,0.34245437383651733,10,,,,,,,,,,,,,,,
,,54,,,,,,,,10,0.9642857313156128,0.7579360604286194,0.8500000238418579,0.901260495185852,0.6879574060440063,0.7278170585632324,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,59,3.5369274616241455,0.696692943572998,0.702477216720581,0.5113839507102966,0.5113839507102966,0.6990417242050171,0.3606998920440674,11,,,,,,,,,,,,,,,
,,59,,,,,,,,11,0.9666491746902466,0.688111424446106,0.9333333373069763,0.8671218156814575,0.7941919565200806,0.8250932693481445,,,,,,,,,
5e-05,5e-05,60,,,,,,,,,,,,,,,,,,,,,,,
,,64,3.4645912647247314,0.696008026599884,0.7020449638366699,0.5122767686843872,0.5122767686843872,0.702392578125,0.3625904321670532,12,,,,,,,,,,,,,,,
,,64,,,,,,,,12,0.9497111439704895,0.683095395565033,0.8566666841506958,0.8889180421829224,0.6897380352020264,0.7311099767684937,,,,,,,,,
5e-05,5e-05,65,,,,,,,,,,,,,,,,,,,,,,,
,,69,3.720555305480957,0.6956614255905151,0.7018067240715027,0.5098214149475098,0.5098214149475098,0.6921427249908447,0.3573778569698334,13,,,,,,,,,,,,,,,
,,69,,,,,,,,13,0.9749211668968201,0.7450639605522156,0.8633333444595337,0.9246323108673096,0.7028985619544983,0.7479043006896973,,,,,,,,,
5e-05,5e-05,70,,,,,,,,,,,,,,,,,,,,,,,
,,74,3.941352605819702,0.6952122449874878,0.7015594244003296,0.5084821581840515,0.5084821581840515,0.6848377585411072,0.35451653599739075,14,,,,,,,,,,,,,,,
,,74,,,,,,,,14,0.9736081957817078,0.7506753206253052,0.9100000262260437,0.9183298349380493,0.7508859038352966,0.803202211856842,,,,,,,,,
5e-05,5e-05,75,,,,,,,,,,,,,,,,,,,,,,,
,,79,3.923564910888672,0.6946783065795898,0.7011063694953918,0.5084821581840515,0.5084821581840515,0.6848377585411072,0.35451653599739075,15,,,,,,,,,,,,,,,
,,79,,,,,,,,15,0.9322478771209717,0.5945636630058289,0.8733333349227905,0.8340336084365845,0.6915085911750793,0.7316131591796875,,,,,,,,,
5e-05,5e-05,80,,,,,,,,,,,,,,,,,,,,,,,
,,84,3.8611345291137695,0.6944646835327148,0.7009863257408142,0.5089285969734192,0.5089285373687744,0.6874445676803589,0.35547173023223877,16,,,,,,,,,,,,,,,
,,84,,,,,,,,16,0.9595588445663452,0.6370925307273865,0.8833333253860474,0.9036239385604858,0.7161896228790283,0.7647374868392944,,,,,,,,,
5e-05,5e-05,85,,,,,,,,,,,,,,,,,,,,,,,
,,89,3.7615013122558594,0.6942657828330994,0.7008984684944153,0.5098214149475098,0.5098214149475098,0.6921427249908447,0.3573778569698334,17,,,,,,,,,,,,,,,
