lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,1.4603214263916016,0.720883846282959,0.7213578224182129,0.5151785612106323,0.5151785612106323,0.7015433311462402,0.3694019019603729,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.4849855899810791,0.06507743895053864,0.5874999761581421,0.5288975834846497,0.5072739720344543,0.4284675121307373,,,,,,,,,
0.0005,0.0005,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,1.1688340902328491,0.734818696975708,0.7354669570922852,0.5508928298950195,0.5508928298950195,0.7088158130645752,0.44618281722068787,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.6555429697036743,0.15386539697647095,0.6337500214576721,0.5894179344177246,0.5232812166213989,0.4631229043006897,,,,,,,,,
0.0005,0.0005,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,1.5248935222625732,0.7322843670845032,0.7349510788917542,0.5316964387893677,0.5316964387893677,0.7146358489990234,0.40488964319229126,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.7288153171539307,0.20760387182235718,0.6324999928474426,0.6066433191299438,0.5275804996490479,0.4667682349681854,,,,,,,,,
0.0005,0.0005,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.3005567193031311,,,,,,,,
,,51,1.9050145149230957,0.7327191829681396,0.7356196641921997,0.5241071581840515,0.5241071581840515,0.7138991951942444,0.3884507417678833,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.7453466057777405,0.19266417622566223,0.7275000214576721,0.66639244556427,0.549625813961029,0.5281385183334351,,,,,,,,,
0.0005,0.0005,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,1.9630355834960938,0.7363195419311523,0.7404419779777527,0.5279017686843872,0.5279017686843872,0.7197971343994141,0.3960898220539093,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.8258947134017944,0.3027891218662262,0.7275000214576721,0.7200740575790405,0.5636904835700989,0.5433789491653442,,,,,,,,,
