lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6045318245887756,0.7183904647827148,0.7242201566696167,0.6582589149475098,0.6582589149475098,0.6582975387573242,0.6582380533218384,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.5915426015853882,0.11664551496505737,0.5910000205039978,0.5796099305152893,0.5184689164161682,0.4370043873786926,,,,,,,,,
0.0005,0.0005,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.8492839932441711,0.7342367172241211,0.7365025281906128,0.6109374761581421,0.6109374761581421,0.7017841339111328,0.5615929365158081,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.692943274974823,0.1795528531074524,0.6539999842643738,0.6209219694137573,0.5297473669052124,0.4749174416065216,,,,,,,,,
0.0005,0.0005,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,1.080857276916504,0.7451530694961548,0.7481595277786255,0.5810267925262451,0.5810267925262451,0.7075769305229187,0.5056867599487305,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.7638475298881531,0.21314245462417603,0.7009999752044678,0.6771276593208313,0.5461408495903015,0.5113348960876465,,,,,,,,,
0.0005,0.0005,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.9132834076881409,,,,,,,,
,,63,1.9157609939575195,0.7458094358444214,0.7517072558403015,0.5296875238418579,0.5296875238418579,0.7194748520851135,0.3999711871147156,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.7632446885108948,0.15296651422977448,0.699999988079071,0.6843971610069275,0.5477941036224365,0.5126705765724182,,,,,,,,,
0.0005,0.0005,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.8775597214698792,0.7415028810501099,0.7439625263214111,0.653124988079071,0.6531250476837158,0.6995014548301697,0.6317223310470581,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.8260107040405273,0.2618374526500702,0.7689999938011169,0.7210992574691772,0.5663301348686218,0.5602337121963501,,,,,,,,,
0.0005,0.0005,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,2.1427712440490723,0.7404727339744568,0.7442848682403564,0.5321428775787354,0.5321428775787354,0.7106153964996338,0.4063883125782013,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.8466843962669373,0.2360181212425232,0.7509999871253967,0.7661347389221191,0.5739732980728149,0.5618904232978821,,,,,,,,,
0.0005,0.0005,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5082650780677795,,,,,,,,
,,111,2.6378860473632812,0.7479752898216248,0.7474925518035889,0.5234375,0.5234375,0.7127232551574707,0.38709303736686707,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.8672162890434265,0.25143730640411377,0.8069999814033508,0.7803191542625427,0.5912443399429321,0.6028079390525818,,,,,,,,,
0.0005,0.0005,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.8559715747833252,0.753545343875885,0.7519543766975403,0.6636160612106323,0.6636160612106323,0.7016669511795044,0.6469631791114807,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.8584574460983276,0.3513941168785095,0.8230000138282776,0.820035457611084,0.606947124004364,0.62687748670578,,,,,,,,,
