lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,2.847750663757324,0.6407731175422668,0.6631491780281067,0.5024553537368774,0.5024553537368774,0.7506153583526611,0.33876657485961914,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5122368335723877,0.05798208713531494,0.5375000238418579,0.496052622795105,0.4992445409297943,0.3893935978412628,,,,,,,,,
0.0005,0.0005,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,2.9586410522460938,0.663440465927124,0.6819943189620972,0.5066964030265808,0.5066964626312256,0.69905686378479,0.34955570101737976,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.7689473628997803,0.2383900284767151,0.7450000047683716,0.7473684549331665,0.5582837462425232,0.5372890830039978,,,,,,,,,
0.0005,0.0005,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,2.0802600383758545,0.6885323524475098,0.701259434223175,0.5339285731315613,0.5339285731315613,0.7199482917785645,0.4089620113372803,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.8451315760612488,0.24184942245483398,0.8924999833106995,0.7065789699554443,0.6022734642028809,0.6295578479766846,,,,,,,,,
0.0005,0.0005,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,2.882957696914673,0.6970274448394775,0.707929790019989,0.5238839387893677,0.5238839387893677,0.7103493213653564,0.3883291184902191,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.8467105031013489,0.290304958820343,0.8050000071525574,0.8026316165924072,0.58243727684021,0.5889328122138977,,,,,,,,,
0.0005,0.0005,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,4.240492343902588,0.698167085647583,0.7078777551651001,0.5118303298950195,0.5118303298950195,0.7068473100662231,0.3612839877605438,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.9346052408218384,0.4255385994911194,0.7850000262260437,0.8631578683853149,0.5896569490432739,0.5896162986755371,,,,,,,,,
0.0005,0.0005,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,3.119802474975586,0.7016445994377136,0.7110220193862915,0.5229910612106323,0.5229910612106323,0.7086713314056396,0.3865188658237457,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.9306578636169434,0.4230538606643677,0.9125000238418579,0.8592104911804199,0.6645470261573792,0.7149314880371094,,,,,,,,,
0.0005,0.0005,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,5.247697830200195,0.6974944472312927,0.7084919214248657,0.5087053775787354,0.5087053775787354,0.7011799812316895,0.3542546033859253,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.9650000333786011,0.5364075899124146,0.8050000071525574,0.8736841678619385,0.5973135828971863,0.6067755818367004,,,,,,,,,
0.0005,0.0005,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.5816867351531982,,,,,,,,
,,55,3.8713300228118896,0.696403980255127,0.7086169719696045,0.5205357074737549,0.5205357074737549,0.7143540382385254,0.38049763441085815,7,,,,,,,,,,,,,,,
