lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,14,1.080509066581726,0.6902427077293396,0.7035010457038879,0.5584821701049805,0.5584821105003357,0.7040702700614929,0.46264132857322693,0,,,,,,,,,,,,,,,
,,14,,,,,,,,0,0.5033257007598877,0.08120515942573547,0.5577777624130249,0.5134039521217346,0.5036512017250061,0.41721606254577637,,,,,,,,,
0.0005,0.0005,15,,,,,,,,,,,,,,,,,,,,,,,
,,29,1.0209718942642212,0.7160433530807495,0.7263659238815308,0.5618303418159485,0.5618303418159485,0.699603796005249,0.47045230865478516,1,,,,,,,,,,,,,,,
,,29,,,,,,,,1,0.6583510637283325,0.13309267163276672,0.6800000071525574,0.6147397756576538,0.5350152850151062,0.49790406227111816,,,,,,,,,
0.0005,0.0005,30,,,,,,,,,,,,,,,,,,,,,,,
,,44,1.8264727592468262,0.7201850414276123,0.7299294471740723,0.5243303775787354,0.5243303775787354,0.7142810821533203,0.3889026343822479,2,,,,,,,,,,,,,,,
,,44,,,,,,,,2,0.7562229633331299,0.20603731274604797,0.70333331823349,0.684062659740448,0.5566788911819458,0.5295531749725342,,,,,,,,,
0.0005,0.0005,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.7476311922073364,,,,,,,,
,,59,2.6165125370025635,0.724777340888977,0.7343421578407288,0.5118303298950195,0.5118303298950195,0.7068473100662231,0.3612839877605438,3,,,,,,,,,,,,,,,
,,59,,,,,,,,3,0.7548410892486572,0.24301458895206451,0.7122222185134888,0.6746660470962524,0.5550445914268494,0.5314751863479614,,,,,,,,,
0.0005,0.0005,60,,,,,,,,,,,,,,,,,,,,,,,
,,74,2.3819258213043213,0.7239241600036621,0.7357462644577026,0.5176339149475098,0.5176339149475098,0.7081142663955688,0.3745115101337433,4,,,,,,,,,,,,,,,
,,74,,,,,,,,4,0.8114417195320129,0.2537879943847656,0.7355555295944214,0.7298019528388977,0.5737969875335693,0.5605036020278931,,,,,,,,,
0.0005,0.0005,75,,,,,,,,,,,,,,,,,,,,,,,
,,89,2.5632526874542236,0.7279037237167358,0.7400786280632019,0.5120535492897034,0.5120535492897034,0.6959183812141418,0.36247891187667847,5,,,,,,,,,,,,,,,
,,89,,,,,,,,5,0.8004790544509888,0.20036202669143677,0.7400000095367432,0.7321971654891968,0.5752248764038086,0.5638089776039124,,,,,,,,,
0.0005,0.0005,90,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.719450056552887,,,,,,,,
,,104,2.6707818508148193,0.7275503277778625,0.7392526865005493,0.5178571343421936,0.5178571343421936,0.712895393371582,0.3746277689933777,6,,,,,,,,,,,,,,,
,,104,,,,,,,,6,0.8562321662902832,0.3038479685783386,0.7744444608688354,0.7578535079956055,0.5898013710975647,0.5929135084152222,,,,,,,,,
0.0005,0.0005,105,,,,,,,,,,,,,,,,,,,,,,,
,,119,1.3408869504928589,0.7252166271209717,0.7392942905426025,0.5995535850524902,0.5995535850524902,0.7110158205032349,0.5386272668838501,7,,,,,,,,,,,,,,,
,,119,,,,,,,,7,0.8281713724136353,0.23838157951831818,0.7822222113609314,0.7478581666946411,0.589106559753418,0.5949074029922485,,,,,,,,,
0.0005,0.0005,120,,,,,,,,,,,,,,,,,,,,,,,
,,134,1.5910167694091797,0.731276273727417,0.7463375329971313,0.5964285731315613,0.5964285731315613,0.7197359204292297,0.5305724143981934,8,,,,,,,,,,,,,,,
,,134,,,,,,,,8,0.8865776062011719,0.4115694463253021,0.7933333516120911,0.8105942010879517,0.609707236289978,0.6219204664230347,,,,,,,,,
0.0005,0.0005,135,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.9215183258056641,,,,,,,,
,,149,3.3471038341522217,0.7342777252197266,0.7476217746734619,0.5225446224212646,0.5225446224212646,0.7253499031066895,0.3839370906352997,9,,,,,,,,,,,,,,,
,,149,,,,,,,,9,0.9049102067947388,0.4356248676776886,0.8111110925674438,0.7988945245742798,0.6130874156951904,0.6318717002868652,,,,,,,,,
0.0005,0.0005,150,,,,,,,,,,,,,,,,,,,,,,,
,,164,3.736919403076172,0.7311409711837769,0.7414700984954834,0.5093749761581421,0.5093749761581421,0.7042943239212036,0.35568907856941223,10,,,,,,,,,,,,,,,
,,164,,,,,,,,10,0.9151174426078796,0.44541487097740173,0.8344444632530212,0.8469369411468506,0.6364651322364807,0.6661513447761536,,,,,,,,,
0.0005,0.0005,165,,,,,,,,,,,,,,,,,,,,,,,
,,179,3.3962466716766357,0.7312902212142944,0.7446379065513611,0.520312488079071,0.520312488079071,0.7260713577270508,0.37901514768600464,11,,,,,,,,,,,,,,,
,,179,,,,,,,,11,0.9408383369445801,0.5933449268341064,0.8844444155693054,0.8738830089569092,0.6794224977493286,0.7264310121536255,,,,,,,,,
5e-05,5e-05,180,,,,,,,,,,,,,,,,,,,,,,,
,,194,2.9518659114837646,0.7318999767303467,0.7455489039421082,0.5363839268684387,0.5363839268684387,0.7371281385421753,0.4119226038455963,12,,,,,,,,,,,,,,,
,,194,,,,,,,,12,0.9461814761161804,0.561343789100647,0.8877778053283691,0.8685859441757202,0.6817249059677124,0.7288825511932373,,,,,,,,,
5e-05,5e-05,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,13,,,,,,,0.448365718126297,,,,,,,,
,,209,2.646498441696167,0.7319107055664062,0.745670735836029,0.5466517806053162,0.5466517806053162,0.7273523807525635,0.4342333674430847,13,,,,,,,,,,,,,,,
,,209,,,,,,,,13,0.9418332576751709,0.5951279401779175,0.8633333444595337,0.8837863206863403,0.6634699702262878,0.7053649425506592,,,,,,,,,
5e-05,5e-05,210,,,,,,,,,,,,,,,,,,,,,,,
,,224,3.2336816787719727,0.7324995994567871,0.7460285425186157,0.5290178656578064,0.5290178656578064,0.7331898212432861,0.39703458547592163,14,,,,,,,,,,,,,,,
,,224,,,,,,,,14,0.9440258145332336,0.6221187114715576,0.8766666650772095,0.8767849206924438,0.6727195978164673,0.7180952429771423,,,,,,,,,
5e-05,5e-05,225,,,,,,,,,,,,,,,,,,,,,,,
,,239,2.761854648590088,0.7330131530761719,0.7465518116950989,0.5441964268684387,0.5441964268684387,0.7250145673751831,0.42960667610168457,15,,,,,,,,,,,,,,,
,,239,,,,,,,,15,0.9418700933456421,0.5866624712944031,0.8722222447395325,0.8531091809272766,0.6634736657142639,0.705690860748291,,,,,,,,,
5e-05,5e-05,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,16,,,,,,,0.2995186150074005,,,,,,,,
,,254,3.0883309841156006,0.7328693270683289,0.7465863227844238,0.5348214507102966,0.5348214507102966,0.7306522130966187,0.4094787836074829,16,,,,,,,,,,,,,,,
,,254,,,,,,,,16,0.950345516204834,0.634074330329895,0.8611111044883728,0.8613081574440002,0.6566093564033508,0.6962997317314148,,,,,,,,,
5e-05,5e-05,255,,,,,,,,,,,,,,,,,,,,,,,
,,269,2.952868938446045,0.732483446598053,0.7462697625160217,0.5399553775787354,0.5399553775787354,0.7287604808807373,0.4203541576862335,17,,,,,,,,,,,,,,,
,,269,,,,,,,,17,0.9346476197242737,0.5582277774810791,0.8955555558204651,0.8514970541000366,0.687014102935791,0.7332879304885864,,,,,,,,,
5e-05,5e-05,270,,,,,,,,,,,,,,,,,,,,,,,
,,284,2.6717567443847656,0.7330560684204102,0.7471257448196411,0.5493303537368774,0.5493303537368774,0.7297435998916626,0.43924230337142944,18,,,,,,,,,,,,,,,
,,284,,,,,,,,18,0.934463381767273,0.5468865633010864,0.7988888621330261,0.8561492562294006,0.6233536005020142,0.6389619708061218,,,,,,,,,
5e-05,5e-05,285,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,19,,,,,,,0.5434550046920776,,,,,,,,
,,299,3.699932813644409,0.7324580550193787,0.7463777661323547,0.5185267925262451,0.5185267925262451,0.7278481721878052,0.37497633695602417,19,,,,,,,,,,,,,,,
,,299,,,,,,,,19,0.9548226594924927,0.6325487494468689,0.9011111259460449,0.8828650712966919,0.699992299079895,0.7507770657539368,,,,,,,,,
5e-05,5e-05,300,,,,,,,,,,,,,,,,,,,,,,,
,,314,2.8492443561553955,0.7316274642944336,0.7462879419326782,0.5424107313156128,0.5424107313156128,0.7310471534729004,0.42505937814712524,20,,,,,,,,,,,,,,,
,,314,,,,,,,,20,0.9334500432014465,0.5360754728317261,0.8911111354827881,0.856195330619812,0.6827630996704102,0.7291021347045898,,,,,,,,,
5e-05,5e-05,315,,,,,,,,,,,,,,,,,,,,,,,
,,329,3.007723808288574,0.7315406799316406,0.746171236038208,0.5372768044471741,0.5372768044471741,0.7306290864944458,0.41457653045654297,21,,,,,,,,,,,,,,,
,,329,,,,,,,,21,0.9512851238250732,0.6188207864761353,0.8744444251060486,0.8614002466201782,0.6673120856285095,0.7108092308044434,,,,,,,,,
5e-05,5e-05,330,,,,,,,,,,,,,,,,,,,,,,,
,,344,3.182459592819214,0.7314104437828064,0.7458229064941406,0.5323660969734192,0.5323660969734192,0.7307896614074707,0.40433362126350403,22,,,,,,,,,,,,,,,
,,344,,,,,,,,22,0.949884831905365,0.5962013006210327,0.8622221946716309,0.883187472820282,0.6625173091888428,0.7040070295333862,,,,,,,,,
5e-05,5e-05,345,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,23,,,,,,,0.2131776362657547,,,,,,,,
,,359,2.9997150897979736,0.7311757802963257,0.7456589937210083,0.5390625,0.5390625,0.7278860211372375,0.41863441467285156,23,,,,,,,,,,,,,,,
,,359,,,,,,,,23,0.9480792284011841,0.6130967140197754,0.8844444155693054,0.8809764981269836,0.6809197664260864,0.7285981178283691,,,,,,,,,
5e-06,5e-06,360,,,,,,,,,,,,,,,,,,,,,,,
,,374,3.073646306991577,0.7312213182449341,0.7457031011581421,0.5366071462631226,0.5366071462631226,0.7299783229827881,0.4132738709449768,24,,,,,,,,,,,,,,,
,,374,,,,,,,,24,0.9533302783966064,0.5789572596549988,0.8588888645172119,0.8955780863761902,0.6629675626754761,0.7040386199951172,,,,,,,,,
5e-06,5e-06,375,,,,,,,,,,,,,,,,,,,,,,,
,,389,3.0774266719818115,0.7311898469924927,0.7456685304641724,0.5366071462631226,0.5366071462631226,0.7299783229827881,0.4132738709449768,25,,,,,,,,,,,,,,,
,,389,,,,,,,,25,0.939474880695343,0.575454592704773,0.8733333349227905,0.8749884963035583,0.6694191694259644,0.7137404680252075,,,,,,,,,
5e-06,5e-06,390,,,,,,,,,,,,,,,,,,,,,,,
,,399,,,,,,,,26,,,,,,,0.3565948009490967,,,,,,,,
,,404,3.0761306285858154,0.7311338186264038,0.7456414103507996,0.5368303656578064,0.5368303656578064,0.7301968932151794,0.4137083888053894,26,,,,,,,,,,,,,,,
,,404,,,,,,,,26,0.9582312107086182,0.6565174460411072,0.8833333253860474,0.8945647478103638,0.6826657056808472,0.7312829494476318,,,,,,,,,
5e-06,5e-06,405,,,,,,,,,,,,,,,,,,,,,,,
,,419,3.0696277618408203,0.731134295463562,0.745633602142334,0.5375000238418579,0.5375000238418579,0.7308428287506104,0.4150101840496063,27,,,,,,,,,,,,,,,
