lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.6816629767417908,0.5977847576141357,0.6343570947647095,0.5647321343421936,0.5647321343421936,0.5648107528686523,0.5646001696586609,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.5459907650947571,0.07511201500892639,0.5628571510314941,0.5557243824005127,0.5127378106117249,0.4193485379219055,,,,,,,,,
0.0005,0.0005,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.6626688838005066,0.6704285144805908,0.6954221725463867,0.6299107074737549,0.6299107074737549,0.6340582370758057,0.6270259022712708,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.7589375972747803,0.23940575122833252,0.758571445941925,0.6821175217628479,0.5543690919876099,0.5426056981086731,,,,,,,,,
0.0005,0.0005,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,1.1111876964569092,0.6961182355880737,0.7127817869186401,0.5712053775787354,0.5712053775787354,0.7081916332244873,0.48678359389305115,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.7512302398681641,0.18621572852134705,0.7228571176528931,0.718845009803772,0.5584596395492554,0.5334680080413818,,,,,,,,,
0.0005,0.0005,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,2.171215772628784,0.7065438032150269,0.7190725803375244,0.5178571343421936,0.5178571343421936,0.708645761013031,0.37497398257255554,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.7689245939254761,0.17894354462623596,0.6971428394317627,0.6940222978591919,0.5498253107070923,0.513602077960968,,,,,,,,,
0.0005,0.0005,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.8298154473304749,,,,,,,,
,,54,2.371075391769409,0.7102200388908386,0.721811056137085,0.5149553418159485,0.5149553418159485,0.7056166529655457,0.3685823678970337,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.8374583721160889,0.2608216404914856,0.7257142663002014,0.7760891914367676,0.5722537636756897,0.5492292642593384,,,,,,,,,
0.0005,0.0005,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,1.907405972480774,0.7014923691749573,0.712466835975647,0.5232142806053162,0.5232142806053162,0.7123206853866577,0.386639803647995,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.8357577323913574,0.3785708248615265,0.7828571200370789,0.7173252105712891,0.5683245062828064,0.5674163699150085,,,,,,,,,
0.0005,0.0005,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,2.252333879470825,0.6960803866386414,0.7099061012268066,0.5207589268684387,0.5207589268684387,0.7147810459136963,0.3809557855129242,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.8882616758346558,0.42373958230018616,0.808571457862854,0.7978723049163818,0.5961278080940247,0.60916668176651,,,,,,,,,
0.0005,0.0005,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,2.6885509490966797,0.6984734535217285,0.7104765176773071,0.5131696462631226,0.5131696462631226,0.7110918760299683,0.36411672830581665,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.8939064741134644,0.48067355155944824,0.7885714173316956,0.8095238208770752,0.5927524566650391,0.5979447364807129,,,,,,,,,
0.0005,0.0005,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,2.2597782611846924,0.6978123188018799,0.712120532989502,0.5357142686843872,0.5357142686843872,0.7073699235916138,0.4145614206790924,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.917028546333313,0.4863941967487335,0.845714271068573,0.828774094581604,0.6197985410690308,0.6490641832351685,,,,,,,,,
0.0005,0.0005,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.6426157355308533,,,,,,,,
,,109,2.7092785835266113,0.690115213394165,0.7063895463943481,0.5247767567634583,0.524776816368103,0.7004543542861938,0.3914422392845154,9,,,,,,,,,,,,,,,
,,109,,,,,,,,9,0.9124330878257751,0.49497291445732117,0.8414285778999329,0.8487842082977295,0.6222928762435913,0.6511173844337463,,,,,,,,,
0.0005,0.0005,110,,,,,,,,,,,,,,,,,,,,,,,
,,120,2.231759548187256,0.6893789768218994,0.7074618935585022,0.5401785969734192,0.5401785969734192,0.7029058933258057,0.42486658692359924,10,,,,,,,,,,,,,,,
,,120,,,,,,,,10,0.941887378692627,0.5156866908073425,0.8728571534156799,0.8655015230178833,0.6460970044136047,0.6876864433288574,,,,,,,,,
0.0005,0.0005,121,,,,,,,,,,,,,,,,,,,,,,,
,,131,1.9677321910858154,0.6910903453826904,0.7100915908813477,0.557812511920929,0.557812511920929,0.706639289855957,0.46070995926856995,11,,,,,,,,,,,,,,,
,,131,,,,,,,,11,0.9418511986732483,0.536475658416748,0.8871428370475769,0.8508105278015137,0.6551820635795593,0.6997681856155396,,,,,,,,,
5e-05,5e-05,132,,,,,,,,,,,,,,,,,,,,,,,
,,142,3.224637985229492,0.6917337775230408,0.709999144077301,0.5174106955528259,0.5174106955528259,0.6956305503845215,0.37508630752563477,12,,,,,,,,,,,,,,,
,,142,,,,,,,,12,0.9626212120056152,0.6560404300689697,0.831428587436676,0.8991894721984863,0.6288243532180786,0.6558333039283752,,,,,,,,,
5e-05,5e-05,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,13,,,,,,,0.3167022168636322,,,,,,,,
,,153,3.8680920600891113,0.6919211149215698,0.7100740671157837,0.5091517567634583,0.5091517567634583,0.6886800527572632,0.3559487760066986,13,,,,,,,,,,,,,,,
,,153,,,,,,,,13,0.9704370498657227,0.6833137273788452,0.9357143044471741,0.921225905418396,0.7372857332229614,0.7964577674865723,,,,,,,,,
5e-05,5e-05,154,,,,,,,,,,,,,,,,,,,,,,,
,,164,2.8687052726745605,0.6915432810783386,0.7103930711746216,0.5252231955528259,0.5252231955528259,0.7068653106689453,0.3916882276535034,14,,,,,,,,,,,,,,,
,,164,,,,,,,,14,0.9485815763473511,0.6851688623428345,0.904285728931427,0.9045085906982422,0.6847798824310303,0.7390835285186768,,,,,,,,,
5e-05,5e-05,165,,,,,,,,,,,,,,,,,,,,,,,
,,175,3.0919957160949707,0.691068708896637,0.7099840044975281,0.5205357074737549,0.5205357074737549,0.7035462856292725,0.38151389360427856,15,,,,,,,,,,,,,,,
,,175,,,,,,,,15,0.9776740670204163,0.79471755027771,0.8928571343421936,0.9207193851470947,0.6752875447273254,0.727944016456604,,,,,,,,,
5e-05,5e-05,176,,,,,,,,,,,,,,,,,,,,,,,
,,186,3.33752703666687,0.6909199953079224,0.7096608877182007,0.5167410969734192,0.5167410969734192,0.6936737895011902,0.37370043992996216,16,,,,,,,,,,,,,,,
,,186,,,,,,,,16,0.957338273525238,0.6561365723609924,0.8928571343421936,0.8761398196220398,0.6663865447044373,0.7149697542190552,,,,,,,,,
5e-05,5e-05,187,,,,,,,,,,,,,,,,,,,,,,,
,,197,3.260702610015869,0.689895749092102,0.7087962627410889,0.5189732313156128,0.5189732313156128,0.6998157501220703,0.3783082365989685,17,,,,,,,,,,,,,,,
,,197,,,,,,,,17,0.9560356140136719,0.6529178619384766,0.9071428775787354,0.8614488840103149,0.680245041847229,0.7299879789352417,,,,,,,,,
5e-05,5e-05,198,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,18,,,,,,,0.17504286766052246,,,,,,,,
,,208,3.0365588665008545,0.6898396015167236,0.7089616060256958,0.5223214030265808,0.5223214030265808,0.7073521018028259,0.3851577937602997,18,,,,,,,,,,,,,,,
,,208,,,,,,,,18,0.9706180095672607,0.6735560297966003,0.8928571343421936,0.9207193851470947,0.6752875447273254,0.727944016456604,,,,,,,,,
5e-05,5e-05,209,,,,,,,,,,,,,,,,,,,,,,,
,,219,2.926088809967041,0.6903525590896606,0.7093280553817749,0.5245535969734192,0.5245535373687744,0.7056088447570801,0.390339732170105,19,,,,,,,,,,,,,,,
,,219,,,,,,,,19,0.9597626328468323,0.6331936717033386,0.8885714411735535,0.8850050568580627,0.6639445424079895,0.7121710777282715,,,,,,,,,
5e-05,5e-05,220,,,,,,,,,,,,,,,,,,,,,,,
,,230,3.0173723697662354,0.6906156539916992,0.7090968489646912,0.5227678418159485,0.5227678418159485,0.705078125,0.38639792799949646,20,,,,,,,,,,,,,,,
,,230,,,,,,,,20,0.9652265310287476,0.6570984721183777,0.8871428370475769,0.8953900337219238,0.664734423160553,0.7134343981742859,,,,,,,,,
5e-05,5e-05,231,,,,,,,,,,,,,,,,,,,,,,,
,,241,3.060542345046997,0.6912536025047302,0.7096649408340454,0.5229910612106323,0.5229910612106323,0.70553058385849,0.3868508040904999,21,,,,,,,,,,,,,,,
,,241,,,,,,,,21,0.9521276950836182,0.5662264823913574,0.8899999856948853,0.8634752035140991,0.6607843041419983,0.7073689699172974,,,,,,,,,
5e-05,5e-05,242,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,22,,,,,,,0.33690327405929565,,,,,,,,
,,252,2.941652536392212,0.6920324563980103,0.7101354598999023,0.5258928537368774,0.5258928537368774,0.708077073097229,0.39303386211395264,22,,,,,,,,,,,,,,,
,,252,,,,,,,,22,0.970075249671936,0.682995617389679,0.8928571343421936,0.9207193851470947,0.6752875447273254,0.727944016456604,,,,,,,,,
5e-05,5e-05,253,,,,,,,,,,,,,,,,,,,,,,,
,,263,3.0766942501068115,0.6930413246154785,0.7107802629470825,0.5238839387893677,0.5238839387893677,0.7043046951293945,0.3889883756637573,23,,,,,,,,,,,,,,,
