lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.6138725876808167,0.5744277238845825,0.19310516119003296,0.8565471172332764,0.4995136260986328,0.4286310374736786,0.461365669965744,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.4924987852573395,0.1621268391609192,0.5357142686843872,0.5031887292861938,0.5017316341400146,0.4524286687374115,,,,,,,,,
0.001,0.001,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.6672098636627197,0.6140152215957642,0.2309379130601883,0.8457047343254089,0.534629762172699,0.6101849675178528,0.5351749062538147,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.4798499643802643,0.16164752840995789,0.477142870426178,0.46109694242477417,0.4790850281715393,0.4100906252861023,,,,,,,,,
0.001,0.001,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.6656123399734497,0.6706032156944275,0.2599928379058838,0.7798165082931519,0.5790839195251465,0.5710082650184631,0.5743836164474487,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.5109025835990906,0.16634389758110046,0.645714282989502,0.5036139488220215,0.5023658871650696,0.49091506004333496,,,,,,,,,
0.001,0.001,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.6695284247398376,0.7110326290130615,0.28377866744995117,0.6672226786613464,0.6572405099868774,0.5821553468704224,0.5655643343925476,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.5984116792678833,0.21602767705917358,0.5614285469055176,0.5546343326568604,0.5296348929405212,0.4841066896915436,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.6865488290786743,,,,,,,,
,,54,0.602021336555481,0.7300668954849243,0.3069089949131012,0.8140116930007935,0.6039007306098938,0.611045241355896,0.607203483581543,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.639668345451355,0.22551068663597107,0.5885714292526245,0.6105442047119141,0.5598683953285217,0.5179063677787781,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.5723398923873901,0.7643354535102844,0.335369735956192,0.7673060894012451,0.6619791984558105,0.6095743775367737,0.6216104030609131,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.6728923916816711,0.2729165256023407,0.7171428799629211,0.6147959232330322,0.5780185461044312,0.5820214748382568,,,,,,,,,
0.001,0.001,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.45861512422561646,0.7909470200538635,0.3603607416152954,0.7923269271850586,0.6887586116790771,0.6344251036643982,0.6503697633743286,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.7286655902862549,0.3275656998157501,0.7085714340209961,0.6892006397247314,0.6128623485565186,0.6128990054130554,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.42762717604637146,0.8038034439086914,0.3735139071941376,0.7981651425361633,0.7189768552780151,0.6499668955802917,0.6689960956573486,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.736789345741272,0.3304165005683899,0.6942856907844543,0.6843112707138062,0.6075148582458496,0.6027621030807495,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,0.47567757964134216,0.8057603240013123,0.3846920430660248,0.7689741253852844,0.7287670373916626,0.6386860013008118,0.6535828113555908,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.7886753082275391,0.3916143476963043,0.7171428799629211,0.7412840127944946,0.6388986110687256,0.6375674605369568,,,,,,,,,
0.001,0.001,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.6079002022743225,,,,,,,,
,,109,0.4075365364551544,0.7986438274383545,0.37143629789352417,0.809841513633728,0.6550959348678589,0.6327723264694214,0.641977071762085,9,,,,,,,,,,,,,,,
,,109,,,,,,,,9,0.7871264219284058,0.4403720796108246,0.6957142949104309,0.714073121547699,0.6219434142112732,0.6146878600120544,,,,,,,,,
0.001,0.001,110,,,,,,,,,,,,,,,,,,,,,,,
,,120,0.3604932725429535,0.8115172386169434,0.3894411623477936,0.839866578578949,0.6189785599708557,0.6536241173744202,0.6321380734443665,10,,,,,,,,,,,,,,,
,,120,,,,,,,,10,0.8053480386734009,0.41690802574157715,0.6514285802841187,0.7130101919174194,0.6158802509307861,0.5872641801834106,,,,,,,,,
0.001,0.001,121,,,,,,,,,,,,,,,,,,,,,,,
,,131,0.5293760895729065,0.8167906999588013,0.39283284544944763,0.7464553713798523,0.7400107383728027,0.6349990963935852,0.6432023048400879,11,,,,,,,,,,,,,,,
,,131,,,,,,,,11,0.769618570804596,0.40985268354415894,0.7014285922050476,0.6813350319862366,0.6075361967086792,0.6056337952613831,,,,,,,,,
0.0001,0.0001,132,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.46631836891174316,0.8158235549926758,0.393868088722229,0.7873227596282959,0.7370298504829407,0.650561511516571,0.6694452166557312,12,,,,,,,,,,,,,,,
,,142,,,,,,,,12,0.8236910700798035,0.48104745149612427,0.6214285492897034,0.7385203838348389,0.6282798647880554,0.5751639008522034,,,,,,,,,
0.0001,0.0001,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,13,,,,,,,0.5415199398994446,,,,,,,,
,,153,0.4182385206222534,0.814361572265625,0.3955261707305908,0.8115096092224121,0.7121334075927734,0.65671706199646,0.6750412583351135,13,,,,,,,,,,,,,,,
,,153,,,,,,,,13,0.8302204608917236,0.47113871574401855,0.727142870426178,0.7689200639724731,0.653632640838623,0.653331458568573,,,,,,,,,
0.0001,0.0001,154,,,,,,,,,,,,,,,,,,,,,,,
,,164,0.40159937739372253,0.8137130737304688,0.39548593759536743,0.8206838965415955,0.7028579711914062,0.6610746383666992,0.6767995357513428,14,,,,,,,,,,,,,,,
,,164,,,,,,,,14,0.8374028205871582,0.49556785821914673,0.7628571391105652,0.7648809552192688,0.6628393530845642,0.6762834787368774,,,,,,,,,
0.0001,0.0001,165,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.4174295961856842,0.8137927651405334,0.3948974013328552,0.8140116930007935,0.7184677124023438,0.6609259247779846,0.6799509525299072,15,,,,,,,,,,,,,,,
,,175,,,,,,,,15,0.8354743719100952,0.45247262716293335,0.7685714364051819,0.764668345451355,0.6650568246841431,0.6801813840866089,,,,,,,,,
0.0001,0.0001,176,,,,,,,,,,,,,,,,,,,,,,,
,,186,0.42687344551086426,0.8133149147033691,0.393581748008728,0.8073394298553467,0.7145766019821167,0.6545014977455139,0.6732996702194214,16,,,,,,,,,,,,,,,
,,186,,,,,,,,16,0.8383290767669678,0.48706066608428955,0.75,0.7644557952880859,0.6580700874328613,0.6672995090484619,,,,,,,,,
0.0001,0.0001,187,,,,,,,,,,,,,,,,,,,,,,,
,,197,0.42364466190338135,0.8134912252426147,0.3938171863555908,0.8106755614280701,0.7165221571922302,0.6576666831970215,0.676607072353363,17,,,,,,,,,,,,,,,
,,197,,,,,,,,17,0.852420449256897,0.5206453204154968,0.7657142877578735,0.7774235010147095,0.6690101623535156,0.682729184627533,,,,,,,,,
0.0001,0.0001,198,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,18,,,,,,,0.5879440903663635,,,,,,,,
,,208,0.4273304045200348,0.8144639730453491,0.3953598737716675,0.8123435974121094,0.7174949645996094,0.659284234046936,0.6782743334770203,18,,,,,,,,,,,,,,,
,,208,,,,,,,,18,0.8429604172706604,0.49303776025772095,0.727142870426178,0.7580782175064087,0.648801863193512,0.6497790813446045,,,,,,,,,
0.0001,0.0001,209,,,,,,,,,,,,,,,,,,,,,,,
