lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.6933839321136475,0.5053957104682922,0.14366358518600464,0.5045871734619141,0.4941434860229492,0.497134268283844,0.4270818531513214,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.48267662525177,0.07971277087926865,0.5649999976158142,0.44972825050354004,0.4846457242965698,0.4079820513725281,,,,,,,,,
0.001,0.001,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6276512145996094,0.5918549299240112,0.19581617414951324,0.8557130694389343,0.4990272521972656,0.4285714328289032,0.46112358570098877,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.653192937374115,0.17085054516792297,0.7599999904632568,0.58423912525177,0.5361305475234985,0.529411792755127,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.5817319750785828,0.6111395359039307,0.20751327276229858,0.8557130694389343,0.4990272521972656,0.4285714328289032,0.46112358570098877,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.6820652484893799,0.13996551930904388,0.9150000214576721,0.49728259444236755,0.45979899168014526,0.47780677676200867,,,,,,,,,
0.001,0.001,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.5860588550567627,0.6236432790756226,0.21404248476028442,0.8582151532173157,0.5077992081642151,0.729648232460022,0.47879165410995483,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.718410313129425,0.1824878752231598,0.9200000166893005,0.5,nan,0.4791666567325592,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6325733065605164,0.6368893384933472,0.22057482600212097,0.7681401371955872,0.5869001150131226,0.5706771016120911,0.5761160254478455,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.7713994383811951,0.27412906289100647,0.8849999904632568,0.595108687877655,0.6009008884429932,0.597866952419281,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6790158748626709,0.6352936625480652,0.21649423241615295,0.5487906336784363,0.59061199426651,0.5443266034126282,0.4800349473953247,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.792119562625885,0.1941739022731781,0.7749999761581421,0.7350543737411499,0.5910646319389343,0.5966115593910217,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6480687260627747,0.6325175762176514,0.22361114621162415,0.6013344526290894,0.5846900939941406,0.5426209568977356,0.5049734115600586,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.8546196222305298,0.27132269740104675,0.7749999761581421,0.7635869979858398,0.5996021032333374,0.6059372425079346,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6936441659927368,0.6297358274459839,0.23005865514278412,0.5412843823432922,0.5789217948913574,0.5386040210723877,0.47248727083206177,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.8573369979858398,0.2967934310436249,0.800000011920929,0.83423912525177,0.6278586387634277,0.6456413865089417,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,35,0.7651408910751343,0.6300373077392578,0.22914737462997437,0.499582976102829,0.5862914323806763,0.5428154468536377,0.45090341567993164,8,,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.8722825646400452,0.4226585030555725,0.7749999761581421,0.820652186870575,0.6158140301704407,0.6229735016822815,,,,,,,,,
