lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.7581453919410706,0.6587139368057251,0.22949200868606567,0.14261884987354279,0.49512478709220886,0.32071131467819214,0.1256568729877472,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5217040777206421,0.2443644255399704,0.7049999833106995,0.5292247533798218,0.533171534538269,0.5301799774169922,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6774885654449463,0.6644139289855957,0.2341724932193756,0.6321935057640076,0.6319373250007629,0.5669316053390503,0.5377322435379028,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.6043192148208618,0.30417197942733765,0.4087499976158142,0.5515477657318115,0.5423746109008789,0.4057331681251526,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.6282712817192078,0.6637881994247437,0.23681217432022095,0.6830692291259766,0.6201674938201904,0.5668633580207825,0.55843585729599,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.6694642901420593,0.3569319546222687,0.7137500047683716,0.6084218621253967,0.5950947403907776,0.5997124910354614,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5854377150535583,,,,,,,,
,,51,0.4435868263244629,0.6679010987281799,0.24261772632598877,0.8181818127632141,0.5624558925628662,0.5867260694503784,0.5698689818382263,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.7390917539596558,0.40615716576576233,0.6537500023841858,0.6938596367835999,0.6301465630531311,0.6110745668411255,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.6353859305381775,0.6886249780654907,0.2610209584236145,0.6438698768615723,0.6411842703819275,0.5722202658653259,0.5472010374069214,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.7625446915626526,0.4623265564441681,0.7337499856948853,0.679587185382843,0.6418214440345764,0.6513048410415649,,,,,,,,,
0.001,0.001,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.5138944983482361,0.7265570163726807,0.3065488934516907,0.7489574551582336,0.6561540365219116,0.5996044874191284,0.6086021065711975,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.7900017499923706,0.47858065366744995,0.7537500262260437,0.7420877814292908,0.6797571182250977,0.6916569471359253,,,,,,,,,
0.001,0.001,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.43623673915863037,0.7559048533439636,0.364615261554718,0.7989991903305054,0.6536481380462646,0.6236698627471924,0.6347769498825073,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.8198970556259155,0.5062849521636963,0.75,0.7375444173812866,0.6760709285736084,0.6873998641967773,,,,,,,,,
0.001,0.001,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.5859168767929077,,,,,,,,
,,103,0.37105897068977356,0.7797403931617737,0.391624391078949,0.839866578578949,0.6360417008399963,0.6603084802627563,0.6462866067886353,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.8223914504051208,0.5050727128982544,0.7287499904632568,0.7608989477157593,0.6803999543190002,0.6819062232971191,,,,,,,,,
0.001,0.001,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.5893528461456299,0.7618381381034851,0.35770827531814575,0.6755629777908325,0.6986683011054993,0.6020832657814026,0.5850439667701721,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.8430967926979065,0.5271838903427124,0.7975000143051147,0.7719876766204834,0.716323971748352,0.7335175275802612,,,,,,,,,
0.001,0.001,117,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.4043460488319397,0.7759346961975098,0.3851170241832733,0.8090075254440308,0.6619223356246948,0.6350348591804504,0.6457171440124512,9,,,,,,,,,,,,,,,
,,129,,,,,,,,9,0.842581033706665,0.5262277126312256,0.7737500071525574,0.7850927114486694,0.7074599266052246,0.721319317817688,,,,,,,,,
0.001,0.001,130,,,,,,,,,,,,,,,,,,,,,,,
