lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.6678900718688965,0.5814333558082581,0.18402214348316193,0.853210985660553,0.502443253993988,0.5401027202606201,0.4714357256889343,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.5016868114471436,0.14976823329925537,0.6333333253860474,0.4840198755264282,0.49047619104385376,0.47152650356292725,,,,,,,,,
0.001,0.001,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.6656736135482788,0.6275343298912048,0.22005595266819,0.8482068181037903,0.5092753767967224,0.5602817535400391,0.4896392822265625,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.5409268140792847,0.26773497462272644,0.46000000834465027,0.4765625,0.48819106817245483,0.4012123644351959,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.6333361864089966,0.6403167247772217,0.22508062422275543,0.8565471172332764,0.4995136260986328,0.4286310374736786,0.461365669965744,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.5929509997367859,0.20620042085647583,0.5799999833106995,0.6221591234207153,0.5613300204277039,0.5091164112091064,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6149318814277649,0.6430928111076355,0.23320282995700836,0.8573811650276184,0.5,nan,0.46160754561424255,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.6315696239471436,0.20354920625686646,0.6800000071525574,0.5866477489471436,0.5510033369064331,0.5436105728149414,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,0.626517653465271,0.6482922434806824,0.2502499222755432,0.8565471172332764,0.5092639923095703,0.6520541310310364,0.4834485650062561,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.5625888109207153,0.17640355229377747,0.6466666460037231,0.5388849377632141,0.5223652124404907,0.5062111616134644,,,,,,,,,
0.001,0.001,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6218467354774475,0.64687579870224,0.25778013467788696,0.8515429496765137,0.5331592559814453,0.6355770826339722,0.5314760804176331,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.5830966234207153,0.20357729494571686,0.5933333039283752,0.5170454382896423,0.5090548992156982,0.47591501474380493,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.6491860151290894,0.6467790603637695,0.25667884945869446,0.6880733966827393,0.5840842723846436,0.5494946837425232,0.543343186378479,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.6861683130264282,0.286517858505249,0.6733333468437195,0.6486150622367859,0.5807291269302368,0.5682565569877625,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6448571681976318,0.6530252695083618,0.2600136995315552,0.6463719606399536,0.6280178427696228,0.5662544965744019,0.543582558631897,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.7523970603942871,0.3292037546634674,0.6200000047683716,0.6926491260528564,0.596875011920929,0.5531981587409973,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.5632231831550598,0.6563758850097656,0.26421570777893066,0.7414512038230896,0.5908367037773132,0.5638285875320435,0.5685648322105408,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.7649147510528564,0.3007369041442871,0.7333333492279053,0.6931818127632141,0.6137123703956604,0.6196754574775696,,,,,,,,,
0.001,0.001,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.5827335119247437,,,,,,,,
,,49,0.6149992942810059,0.6596013307571411,0.26695355772972107,0.6305254101753235,0.6163389682769775,0.5594249963760376,0.531151533126831,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.8174716234207153,0.37180066108703613,0.7699999809265137,0.7052556872367859,0.632424533367157,0.6471851468086243,,,,,,,,,
0.001,0.001,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,0.6351898312568665,0.6634525656700134,0.2702617943286896,0.60550457239151,0.6163731217384338,0.557991623878479,0.518363893032074,10,,,,,,,,,,,,,,,
,,54,,,,,,,,10,0.8033558130264282,0.436485230922699,0.70333331823349,0.6850142478942871,0.6027055978775024,0.599044919013977,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.6204489469528198,0.6687458753585815,0.27460986375808716,0.6305254101753235,0.6163389682769775,0.5594249963760376,0.531151533126831,11,,,,,,,,,,,,,,,
,,59,,,,,,,,11,0.8212002515792847,0.4601678252220154,0.7333333492279053,0.7496448755264282,0.6379513740539551,0.6412341594696045,,,,,,,,,
0.0001,0.0001,60,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.6316458582878113,0.6697954535484314,0.2744198441505432,0.6230191588401794,0.6217119693756104,0.5614710450172424,0.529304027557373,12,,,,,,,,,,,,,,,
,,64,,,,,,,,12,0.8171164989471436,0.4236688017845154,0.70333331823349,0.72265625,0.6195480823516846,0.6129032373428345,,,,,,,,,
