lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.6552045345306396,0.5961953997612,0.19822871685028076,0.854045033454895,0.5029296875,0.5540512204170227,0.4717410206794739,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.4537466764450073,0.1335260570049286,0.6775000095367432,0.4875110387802124,0.49251630902290344,0.47874048352241516,,,,,,,,,
0.001,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.6661800742149353,0.6368296146392822,0.2175849974155426,0.7823185920715332,0.5537295341491699,0.5539930462837219,0.5538601279258728,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.5644341707229614,0.20303913950920105,0.5350000262260437,0.5201148986816406,0.5091448426246643,0.44376325607299805,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.6552435159683228,0.6626675128936768,0.24103960394859314,0.7864887118339539,0.5756621360778809,0.5721840858459473,0.5738025307655334,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.5999667644500732,0.16694079339504242,0.5799999833106995,0.5868700742721558,0.5397813320159912,0.4874141812324524,,,,,,,,,
0.001,0.001,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6471573114395142,0.6739253997802734,0.24868309497833252,0.7197664976119995,0.5879411697387695,0.5569417476654053,0.5582515001296997,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.6719716787338257,0.25965529680252075,0.6825000047683716,0.6212422847747803,0.5622605681419373,0.550088107585907,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.6709024906158447,0.6879820823669434,0.25969260931015015,0.5921601057052612,0.6451549530029297,0.5712472796440125,0.5203235149383545,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.684736967086792,0.2803063690662384,0.7250000238418579,0.6293103694915771,0.5733542442321777,0.574286937713623,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.5839991569519043,0.7007189989089966,0.2662341594696045,0.7264387011528015,0.6088953614234924,0.5696065425872803,0.5728275775909424,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.736682116985321,0.31204473972320557,0.5649999976158142,0.6763925552368164,0.5799278616905212,0.504273533821106,,,,,,,,,
0.001,0.001,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,0.547468900680542,0.7132227420806885,0.2774043679237366,0.7206004858016968,0.6323042511940002,0.5799177289009094,0.5822521448135376,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.765859842300415,0.3335052728652954,0.7450000047683716,0.6898761987686157,0.6053858399391174,0.6123294234275818,,,,,,,,,
0.001,0.001,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.49527767300605774,,,,,,,,
,,55,0.5033822059631348,0.720077633857727,0.28119075298309326,0.7364470362663269,0.6269199252128601,0.5814734101295471,0.5871644020080566,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.8106763362884521,0.3574236333370209,0.8025000095367432,0.7065650224685669,0.6372700333595276,0.6560693979263306,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,0.4790639281272888,0.7416945695877075,0.30163586139678955,0.7481234073638916,0.6483548879623413,0.5956430435180664,0.6042091250419617,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.8286361694335938,0.39793962240219116,0.7774999737739563,0.7494473457336426,0.6407151222229004,0.6571351289749146,,,,,,,,,
0.001,0.001,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.4719359874725342,0.766684889793396,0.33418816328048706,0.7564637064933777,0.6824697852134705,0.6142632961273193,0.6255209445953369,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.8271441459655762,0.4388008713722229,0.7825000286102295,0.7686781883239746,0.649918258190155,0.667859673500061,,,,,,,,,
0.001,0.001,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.4708695411682129,0.7801442742347717,0.3555995523929596,0.7723102569580078,0.7038990259170532,0.6300591230392456,0.6450111865997314,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.8433355689048767,0.4610171914100647,0.8274999856948853,0.7945402264595032,0.6839516758918762,0.7124730348587036,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,0.47804194688796997,0.7827098369598389,0.36761265993118286,0.7789824604988098,0.7053524851799011,0.6338468790054321,0.6499239206314087,11,,,,,,,,,,,,,,,
,,83,,,,,,,,11,0.8480879664421082,0.43251892924308777,0.800000011920929,0.8196286559104919,0.6755706667900085,0.6986136436462402,,,,,,,,,
0.0001,0.0001,84,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.46884697675704956,0.7836655378341675,0.37022608518600464,0.7823185920715332,0.7024227976799011,0.6343564391136169,0.6507006883621216,12,,,,,,,,,,,,,,,
,,90,,,,,,,,12,0.8863285183906555,0.5396920442581177,0.8149999976158142,0.820070743560791,0.6836631298065186,0.7109375,,,,,,,,,
0.0001,0.0001,91,,,,,,,,,,,,,,,,,,,,,,,
,,97,0.45385417342185974,0.7842515110969543,0.372042179107666,0.7873227596282959,0.6907155513763428,0.6322765946388245,0.6481989622116089,13,,,,,,,,,,,,,,,
