lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,12,0.6832792162895203,0.61395263671875,0.19057691097259521,0.6814011931419373,0.5631300210952759,0.5375366806983948,0.5296783447265625,0,,,,,,,,,,,,,,,
,,12,,,,,,,,0,0.5103451609611511,0.18208515644073486,0.5787500143051147,0.48942089080810547,0.4934845566749573,0.46800848841667175,,,,,,,,,
0.001,0.001,13,,,,,,,,,,,,,,,,,,,,,,,
,,25,0.6260291337966919,0.6929767727851868,0.26834607124328613,0.8582151532173157,0.5272999405860901,0.693993091583252,0.5187603831291199,1,,,,,,,,,,,,,,,
,,25,,,,,,,,1,0.547317624092102,0.20628373324871063,0.53125,0.5174903869628906,0.5100863575935364,0.46200981736183167,,,,,,,,,
0.001,0.001,26,,,,,,,,,,,,,,,,,,,,,,,
,,38,0.6242680549621582,0.694717526435852,0.2845127284526825,0.7656380534172058,0.6317552924156189,0.5943444967269897,0.6040183305740356,2,,,,,,,,,,,,,,,
,,38,,,,,,,,2,0.6384048461914062,0.28236931562423706,0.7174999713897705,0.584747314453125,0.5664654970169067,0.5705218315124512,,,,,,,,,
0.001,0.001,39,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.6438671350479126,,,,,,,,
,,51,0.5087993741035461,0.6932327747344971,0.30340367555618286,0.8006672263145447,0.6107441782951355,0.603320837020874,0.6067163944244385,3,,,,,,,,,,,,,,,
,,51,,,,,,,,3,0.6832900047302246,0.33521270751953125,0.5724999904632568,0.6333547830581665,0.5765900611877441,0.5237299203872681,,,,,,,,,
0.001,0.001,52,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.5488834381103516,0.7154982089996338,0.315123975276947,0.6864053606987,0.6440513134002686,0.5787464380264282,0.5704277753829956,4,,,,,,,,,,,,,,,
,,64,,,,,,,,4,0.7503455877304077,0.38085007667541504,0.6887500286102295,0.6894992589950562,0.6157677173614502,0.610266923904419,,,,,,,,,
0.001,0.001,65,,,,,,,,,,,,,,,,,,,,,,,
,,77,0.511981189250946,0.7484071850776672,0.3418204188346863,0.7222685813903809,0.6844664812088013,0.6044893264770508,0.6066726446151733,5,,,,,,,,,,,,,,,
,,77,,,,,,,,5,0.7810816168785095,0.3959890604019165,0.7262499928474426,0.7178735136985779,0.6384140849113464,0.6437395215034485,,,,,,,,,
0.001,0.001,78,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.5518189072608948,0.7730846405029297,0.3644523620605469,0.6972476840019226,0.7064390182495117,0.6088734865188599,0.6005170941352844,6,,,,,,,,,,,,,,,
,,90,,,,,,,,6,0.791638970375061,0.4427544176578522,0.71875,0.7303791046142578,0.6422857642173767,0.643783688545227,,,,,,,,,
0.001,0.001,91,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,7,,,,,,,0.6435890793800354,,,,,,,,
,,103,0.6266257762908936,0.7804856300354004,0.38394564390182495,0.635529637336731,0.711885929107666,0.6044685244560242,0.5652759075164795,7,,,,,,,,,,,,,,,
,,103,,,,,,,,7,0.8140707015991211,0.46754950284957886,0.7587500214576721,0.7517441511154175,0.6647436022758484,0.6777956485748291,,,,,,,,,
0.001,0.001,104,,,,,,,,,,,,,,,,,,,,,,,
,,116,0.4591703414916992,0.7862141132354736,0.3794978857040405,0.7564637064933777,0.6922202110290527,0.6185015439987183,0.6299852132797241,8,,,,,,,,,,,,,,,
,,116,,,,,,,,8,0.8238334655761719,0.47116655111312866,0.737500011920929,0.7559289932250977,0.6592271327972412,0.6650824546813965,,,,,,,,,
0.001,0.001,117,,,,,,,,,,,,,,,,,,,,,,,
,,129,0.3940769135951996,0.7906626462936401,0.3858845829963684,0.8156797289848328,0.6755637526512146,0.646411120891571,0.6580938100814819,9,,,,,,,,,,,,,,,
,,129,,,,,,,,9,0.825096070766449,0.44638994336128235,0.7400000095367432,0.7602825164794922,0.6619356870651245,0.6682721376419067,,,,,,,,,
0.001,0.001,130,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.4952280521392822,0.7945423126220703,0.3938477635383606,0.7506255507469177,0.725379467010498,0.6303514242172241,0.6403138041496277,10,,,,,,,,,,,,,,,
,,142,,,,,,,,10,0.8451333045959473,0.5008230209350586,0.7850000262260437,0.7647884488105774,0.6823301911354065,0.7010151147842407,,,,,,,,,
0.001,0.001,143,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,11,,,,,,,0.364935040473938,,,,,,,,
,,155,0.49049079418182373,0.7955548763275146,0.3966108560562134,0.7539616227149963,0.7346377372741699,0.6352885365486145,0.6460673809051514,11,,,,,,,,,,,,,,,
,,155,,,,,,,,11,0.8411171436309814,0.5100502967834473,0.7699999809265137,0.764233410358429,0.6746897101402283,0.6902122497558594,,,,,,,,,
0.0001,0.0001,156,,,,,,,,,,,,,,,,,,,,,,,
,,168,0.4746668040752411,0.7955719232559204,0.39832937717437744,0.7614678740501404,0.7268271446228027,0.6348699927330017,0.6478743553161621,12,,,,,,,,,,,,,,,
,,168,,,,,,,,12,0.8490949869155884,0.4958536624908447,0.75,0.780537486076355,0.6740188598632812,0.6819717884063721,,,,,,,,,
0.0001,0.0001,169,,,,,,,,,,,,,,,,,,,,,,,
,,181,0.46217983961105347,0.7962659597396851,0.3979671001434326,0.7714762091636658,0.7253509759902954,0.6383991837501526,0.6538187265396118,13,,,,,,,,,,,,,,,
,,181,,,,,,,,13,0.8514459133148193,0.5206654071807861,0.7612500190734863,0.7674604654312134,0.6723572015762329,0.6853059530258179,,,,,,,,,
0.0001,0.0001,182,,,,,,,,,,,,,,,,,,,,,,,
,,194,0.4554070234298706,0.796749472618103,0.3979044258594513,0.7748123407363892,0.719983696937561,0.6377546787261963,0.6537351012229919,14,,,,,,,,,,,,,,,
,,194,,,,,,,,14,0.8480501174926758,0.5456057786941528,0.7799999713897705,0.7958510518074036,0.6917298436164856,0.7085996270179749,,,,,,,,,
0.0001,0.0001,195,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,15,,,,,,,0.5361916422843933,,,,,,,,
,,207,0.4453319311141968,0.7972273826599121,0.3975752592086792,0.7798165082931519,0.7131516337394714,0.6374170184135437,0.6540105938911438,15,,,,,,,,,,,,,,,
,,207,,,,,,,,15,0.8556580543518066,0.5159838199615479,0.7837499976158142,0.7924389839172363,0.6921465396881104,0.7102122902870178,,,,,,,,,
0.0001,0.0001,208,,,,,,,,,,,,,,,,,,,,,,,
,,220,0.45696380734443665,0.7967665791511536,0.39792174100875854,0.7773144245147705,0.7287556529045105,0.6423985362052917,0.6591302156448364,16,,,,,,,,,,,,,,,
,,220,,,,,,,,16,0.8530458211898804,0.5273870229721069,0.7712500095367432,0.7791932821273804,0.6812810897827148,0.6965117454528809,,,,,,,,,
0.0001,0.0001,221,,,,,,,,,,,,,,,,,,,,,,,
,,233,0.4622693359851837,0.7968860268592834,0.39891862869262695,0.7739782929420471,0.7316852807998657,0.6420214772224426,0.6581123471260071,17,,,,,,,,,,,,,,,
,,233,,,,,,,,17,0.8601203560829163,0.5416524410247803,0.7712500095367432,0.7905560731887817,0.6858845949172974,0.7004168033599854,,,,,,,,,
0.0001,0.0001,234,,,,,,,,,,,,,,,,,,,,,,,
,,246,0.46845582127571106,0.7971590757369995,0.39925122261047363,0.7639699578285217,0.7258487343788147,0.6354565620422363,0.6491052508354187,18,,,,,,,,,,,,,,,
,,246,,,,,,,,18,0.8448611497879028,0.4970596432685852,0.7662500143051147,0.7818489074707031,0.6803141832351685,0.6938685774803162,,,,,,,,,
0.0001,0.0001,247,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,19,,,,,,,0.5893522500991821,,,,,,,,
,,259,0.47027984261512756,0.7975801229476929,0.3989001512527466,0.7631359696388245,0.7253623604774475,0.6349282264709473,0.6483638286590576,19,,,,,,,,,,,,,,,
,,259,,,,,,,,19,0.8610237240791321,0.5402371883392334,0.7649999856948853,0.7839332222938538,0.6806926131248474,0.6936888694763184,,,,,,,,,
0.0001,0.0001,260,,,,,,,,,,,,,,,,,,,,,,,
,,272,0.45435985922813416,0.7976938486099243,0.3985302448272705,0.7798165082931519,0.7302148342132568,0.6441614627838135,0.6614298820495605,20,,,,,,,,,,,,,,,
,,272,,,,,,,,20,0.8671078085899353,0.5430948734283447,0.7837499976158142,0.8066424131393433,0.6976068615913391,0.7149630188941956,,,,,,,,,
0.0001,0.0001,273,,,,,,,,,,,,,,,,,,,,,,,
,,285,0.44078418612480164,0.7982512712478638,0.3994532525539398,0.7881568074226379,0.7155778408050537,0.6427570581436157,0.6606261134147644,21,,,,,,,,,,,,,,,
,,285,,,,,,,,21,0.8573123216629028,0.505192756652832,0.7887499928474426,0.7897833585739136,0.6936363577842712,0.7129993438720703,,,,,,,,,
0.0001,0.0001,286,,,,,,,,,,,,,,,,,,,,,,,
,,298,0.4561402499675751,0.7979782819747925,0.399311900138855,0.7764803767204285,0.7282692790031433,0.641817569732666,0.6583667993545532,22,,,,,,,,,,,,,,,
,,298,,,,,,,,22,0.8568878769874573,0.5058577060699463,0.7712500095367432,0.77635258436203,0.6801342368125916,0.6955068707466125,,,,,,,,,
0.0001,0.0001,299,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,23,,,,,,,0.5734400153160095,,,,,,,,
,,311,0.46627378463745117,0.798183023929596,0.3998372554779053,0.7681401371955872,0.7307182550430298,0.6391147375106812,0.6538280844688416,23,,,,,,,,,,,,,,,
,,311,,,,,,,,23,0.8506731986999512,0.5596885681152344,0.7712500095367432,0.7791932821273804,0.6812810897827148,0.6965117454528809,,,,,,,,,
1e-05,1e-05,312,,,,,,,,,,,,,,,,,,,,,,,
,,324,0.4656478464603424,0.798103392124176,0.39969247579574585,0.7689741253852844,0.7336422204971313,0.6406269073486328,0.6555659174919128,24,,,,,,,,,,,,,,,
,,324,,,,,,,,24,0.8511738181114197,0.5039884448051453,0.7674999833106995,0.785446047782898,0.6822918057441711,0.6959890127182007,,,,,,,,,
1e-05,1e-05,325,,,,,,,,,,,,,,,,,,,,,,,
,,337,0.4661104083061218,0.7980920076370239,0.39967620372772217,0.7689741253852844,0.7336422204971313,0.6406269073486328,0.6555659174919128,25,,,,,,,,,,,,,,,
,,337,,,,,,,,25,0.8507058620452881,0.4857522249221802,0.7524999976158142,0.7763689160346985,0.6730028986930847,0.6823257803916931,,,,,,,,,
1e-05,1e-05,338,,,,,,,,,,,,,,,,,,,,,,,
,,349,,,,,,,,26,,,,,,,0.44570621848106384,,,,,,,,
,,350,0.46529272198677063,0.7980749607086182,0.3995540738105774,0.7689741253852844,0.731204628944397,0.6396580338478088,0.6545786261558533,26,,,,,,,,,,,,,,,
,,350,,,,,,,,26,0.8556907176971436,0.5100131630897522,0.7637500166893005,0.774654746055603,0.6763452291488647,0.6896035671234131,,,,,,,,,
