lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.7298861145973206,0.5582832098007202,0.5248244404792786,0.14678898453712463,0.5024319291114807,0.5716080665588379,0.13011500239372253,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.48804786801338196,0.5014244914054871,0.48750001192092896,0.47854873538017273,0.4710434079170227,0.4463910758495331,,,,,,,,,
0.001,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.68284672498703,0.5954899787902832,0.5415145754814148,0.6530442237854004,0.5685313940048218,0.5377412438392639,0.5213021636009216,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.5857343077659607,0.5796574354171753,0.5450000166893005,0.5505202412605286,0.5724014043807983,0.5106343030929565,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.62843257188797,0.6356847286224365,0.5613152384757996,0.8507089018821716,0.5082969069480896,0.5686094760894775,0.4859389364719391,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.5834751129150391,0.5656102895736694,0.550000011920929,0.5477930307388306,0.5488491058349609,0.5463252067565918,,,,,,,,,
0.001,0.001,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6906935572624207,0.6747928857803345,0.5813248753547668,0.510425329208374,0.6072399616241455,0.5531882047653198,0.4625071883201599,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.6297464370727539,0.636985719203949,0.5600000023841858,0.5662937164306641,0.5757601857185364,0.5484400391578674,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.7141364812850952,0.6994391083717346,0.5962197780609131,0.42618849873542786,0.6068673729896545,0.5597010254859924,0.4067566394805908,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.6755250096321106,0.6862398386001587,0.5899999737739563,0.5899999737739563,0.6184366345405579,0.5638182163238525,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.6201529502868652,0.7076023817062378,0.607082724571228,0.6763970255851746,0.6382147669792175,0.5745076537132263,0.5628857016563416,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.7007174491882324,0.6923630237579346,0.6299999952316284,0.629790723323822,0.6307320594787598,0.6292492151260376,,,,,,,,,
0.001,0.001,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,0.5062961578369141,0.7258103489875793,0.6211531162261963,0.7981651425361633,0.6531617641448975,0.6228564977645874,0.6340048909187317,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.738266110420227,0.7363341450691223,0.6825000047683716,0.6849416494369507,0.7059937715530396,0.6749403476715088,,,,,,,,,
0.001,0.001,49,,,,,,,,,,,,,,,,,,,,,,,
