lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.5734674334526062,0.6639759540557861,0.580963134765625,0.8565471172332764,0.5019512176513672,0.595596432685852,0.4670780599117279,0,,,,,,,,,,,,,,,
,,15,,,,,,,,0,0.596915066242218,0.576990008354187,0.5600000023841858,0.5475961565971375,0.5778220295906067,0.5054935216903687,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.5932866334915161,0.7090529203414917,0.6103443503379822,0.6688907146453857,0.6484628915786743,0.5782976150512695,0.5630999803543091,1,,,,,,,,,,,,,,,
,,31,,,,,,,,1,0.7071026563644409,0.6888796091079712,0.6539999842643738,0.653792142868042,0.653939962387085,0.6538006067276001,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.41988617181777954,0.7612521648406982,0.6388781070709229,0.795663058757782,0.6297642588615417,0.6098319888114929,0.6177439093589783,2,,,,,,,,,,,,,,,
,,47,,,,,,,,2,0.7963598966598511,0.7762354612350464,0.7400000095367432,0.7390371561050415,0.7429566383361816,0.7386451363563538,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,3,,,,,,,0.5316779613494873,,,,,,,,
,,63,0.4119442403316498,0.7805310487747192,0.6607890129089355,0.8040033578872681,0.66631680727005,0.6329548358917236,0.645309567451477,3,,,,,,,,,,,,,,,
,,63,,,,,,,,3,0.8439783453941345,0.8346685171127319,0.7829999923706055,0.7826122045516968,0.782658576965332,0.7826346158981323,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.4064164161682129,0.7852925062179565,0.6759225130081177,0.8090075254440308,0.6862982511520386,0.6450290083885193,0.6598328948020935,4,,,,,,,,,,,,,,,
,,79,,,,,,,,4,0.8556508421897888,0.8390748500823975,0.8050000071525574,0.8058837652206421,0.8062921166419983,0.8049842119216919,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.5096318125724792,0.7890982031822205,0.6786116361618042,0.7264387011528015,0.7088367938995361,0.6162005066871643,0.6188604235649109,5,,,,,,,,,,,,,,,
,,95,,,,,,,,5,0.845819354057312,0.8299180269241333,0.7910000085830688,0.7909531593322754,0.7916239500045776,0.7908692955970764,,,,,,,,,
0.001,0.001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,6,,,,,,,0.5143176317214966,,,,,,,,
,,111,0.4255242943763733,0.7950941324234009,0.6792279481887817,0.7856547236442566,0.7116811275482178,0.6398541927337646,0.6571789383888245,6,,,,,,,,,,,,,,,
,,111,,,,,,,,6,0.8431534767150879,0.8232525587081909,0.7919999957084656,0.7921407222747803,0.7934931516647339,0.791786789894104,,,,,,,,,
0.001,0.001,112,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.5028474926948547,0.7940189838409424,0.6785773038864136,0.7105921506881714,0.719096302986145,0.6169594526290894,0.6130448579788208,7,,,,,,,,,,,,,,,
,,127,,,,,,,,7,0.8511098623275757,0.8357270956039429,0.7879999876022339,0.788489818572998,0.7891980409622192,0.7879313230514526,,,,,,,,,
0.001,0.001,128,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.5265263915061951,0.7950997352600098,0.6798921823501587,0.7197664976119995,0.7293217182159424,0.623346209526062,0.6223338842391968,8,,,,,,,,,,,,,,,
,,143,,,,,,,,8,0.8593509197235107,0.8475050926208496,0.800000011920929,0.7988781929016113,0.8003220558166504,0.7992774248123169,,,,,,,,,
0.001,0.001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,9,,,,,,,0.3913944959640503,,,,,,,,
,,159,0.4532456398010254,0.802293062210083,0.6741158366203308,0.7564637064933777,0.7190337181091309,0.6297943592071533,0.6414884924888611,9,,,,,,,,,,,,,,,
,,159,,,,,,,,9,0.8565060496330261,0.843285858631134,0.7950000166893005,0.795346736907959,0.7949651479721069,0.7949259877204895,,,,,,,,,
0.001,0.001,160,,,,,,,,,,,,,,,,,,,,,,,
,,175,0.38534846901893616,0.8021196126937866,0.6755088567733765,0.8165137767791748,0.6882381439208984,0.6520344614982605,0.6659219861030579,10,,,,,,,,,,,,,,,
,,175,,,,,,,,10,0.8385684490203857,0.8329057693481445,0.7889999747276306,0.7831077575683594,0.8035566806793213,0.7836676239967346,,,,,,,,,
0.001,0.001,176,,,,,,,,,,,,,,,,,,,,,,,
,,191,0.4014120399951935,0.8014653921127319,0.6830675601959229,0.7931609749794006,0.7160585522651672,0.6458040475845337,0.6642184257507324,11,,,,,,,,,,,,,,,
,,191,,,,,,,,11,0.8294137716293335,0.8199945688247681,0.7459999918937683,0.7484169006347656,0.749871015548706,0.7458770275115967,,,,,,,,,
0.0001,0.0001,192,,,,,,,,,,,,,,,,,,,,,,,
,,199,,,,,,,,12,,,,,,,0.43755295872688293,,,,,,,,
,,207,0.42587053775787354,0.8024097681045532,0.6830434799194336,0.7731443047523499,0.7263237237930298,0.6395260095596313,0.6553286910057068,12,,,,,,,,,,,,,,,
,,207,,,,,,,,12,0.846676766872406,0.8312721252441406,0.7639999985694885,0.7640995979309082,0.764036238193512,0.7639914751052856,,,,,,,,,
0.0001,0.0001,208,,,,,,,,,,,,,,,,,,,,,,,
,,223,0.4451712965965271,0.8027908802032471,0.6829637289047241,0.752293586730957,0.7312273979187012,0.6333221793174744,0.6436678767204285,13,,,,,,,,,,,,,,,
,,223,,,,,,,,13,0.8583073616027832,0.8473848104476929,0.796999990940094,0.7959111928939819,0.799525260925293,0.7960846424102783,,,,,,,,,
0.0001,0.0001,224,,,,,,,,,,,,,,,,,,,,,,,
,,239,0.4497193992137909,0.8032060861587524,0.6832499504089355,0.7464553713798523,0.7326979041099548,0.6319983601570129,0.6404655575752258,14,,,,,,,,,,,,,,,
,,239,,,,,,,,14,0.8497663736343384,0.8424626588821411,0.7749999761581421,0.7747375965118408,0.7760727405548096,0.7746572494506836,,,,,,,,,
0.0001,0.0001,240,,,,,,,,,,,,,,,,,,,,,,,
,,249,,,,,,,,15,,,,,,,0.49075156450271606,,,,,,,,
,,255,0.43063250184059143,0.8026785254478455,0.683178722858429,0.7623019218444824,0.7200007438659668,0.6324162483215332,0.6456183195114136,15,,,,,,,,,,,,,,,
,,255,,,,,,,,15,0.8576635718345642,0.8404819965362549,0.7889999747276306,0.7898582220077515,0.7925940752029419,0.7886447310447693,,,,,,,,,
0.0001,0.0001,256,,,,,,,,,,,,,,,,,,,,,,,
,,271,0.42687979340553284,0.8024381399154663,0.6826416850090027,0.7689741253852844,0.7238918542861938,0.6367320418357849,0.6515650153160095,16,,,,,,,,,,,,,,,
,,271,,,,,,,,16,0.8636523485183716,0.8478786945343018,0.8069999814033508,0.807104229927063,0.8070907592773438,0.8069998025894165,,,,,,,,,
0.0001,0.0001,272,,,,,,,,,,,,,,,,,,,,,,,
,,287,0.45854052901268005,0.802352786064148,0.6825656890869141,0.7406171560287476,0.7366060018539429,0.6318262815475464,0.6381675004959106,17,,,,,,,,,,,,,,,
,,287,,,,,,,,17,0.8592621684074402,0.8470380306243896,0.8009999990463257,0.7988470792770386,0.8021659255027771,0.7996195554733276,,,,,,,,,
0.0001,0.0001,288,,,,,,,,,,,,,,,,,,,,,,,
,,299,,,,,,,,18,,,,,,,0.4873703420162201,,,,,,,,
,,303,0.4815800189971924,0.8025518655776978,0.6825425624847412,0.7247706651687622,0.7395527362823486,0.62884920835495,0.6290779113769531,18,,,,,,,,,,,,,,,
,,303,,,,,,,,18,0.86973637342453,0.8601177334785461,0.8140000104904175,0.8108397722244263,0.8189716339111328,0.8118863105773926,,,,,,,,,
0.0001,0.0001,304,,,,,,,,,,,,,,,,,,,,,,,
,,319,0.4497685730457306,0.8025064468383789,0.6822529435157776,0.7481234073638916,0.7312330603599548,0.6319320201873779,0.6409809589385986,19,,,,,,,,,,,,,,,
,,319,,,,,,,,19,0.8745656609535217,0.8717886209487915,0.8019999861717224,0.800275444984436,0.8060383796691895,0.8005930185317993,,,,,,,,,
0.0001,0.0001,320,,,,,,,,,,,,,,,,,,,,,,,
,,335,0.4555248022079468,0.8024324774742126,0.6827539205551147,0.7422852516174316,0.7327035665512085,0.6307083964347839,0.6377909183502197,20,,,,,,,,,,,,,,,
