lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6788433194160461,0.6530280709266663,0.5779834985733032,0.7314428687095642,0.6045008897781372,0.5685718655586243,0.5725632309913635,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.5735573768615723,0.5691133737564087,0.5320000052452087,0.5306122303009033,0.5312117338180542,0.5289855003356934,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.7235329747200012,0.6767042875289917,0.5871505737304688,0.32693910598754883,0.570926308631897,0.5523980259895325,0.3239293396472931,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.7053334712982178,0.7062824964523315,0.6520000100135803,0.6534410715103149,0.6535592079162598,0.6519944667816162,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.5621665120124817,0.6793979406356812,0.5913599133491516,0.7656380534172058,0.6146920919418335,0.5854851603507996,0.5936823487281799,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.8043506145477295,0.7929906845092773,0.7120000123977661,0.7187840938568115,0.7255233526229858,0.7109594345092773,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.7935505509376526,0.6867590546607971,0.594994306564331,0.45704755187034607,0.62242591381073,0.5652855634689331,0.43111369013786316,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.8112987279891968,0.7916616797447205,0.7360000014305115,0.7340772151947021,0.7363811731338501,0.7344663143157959,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.8040506839752197,0.7041606903076172,0.6039210557937622,0.4879065752029419,0.62092125415802,0.561591625213623,0.45147526264190674,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.8320703506469727,0.8196573257446289,0.7639999985694885,0.7609542012214661,0.7701647281646729,0.7610020041465759,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.5617138147354126,0.7204132080078125,0.6220264434814453,0.6955796480178833,0.6640270948410034,0.5895582437515259,0.583489179611206,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.8193250894546509,0.8057570457458496,0.7599999904632568,0.7596601247787476,0.7675718069076538,0.758126974105835,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.4650173783302307,,,,,,,,
,,55,0.7425995469093323,0.7251291275024414,0.630041241645813,0.5145955085754395,0.6462358236312866,0.573388397693634,0.4740245044231415,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.8502987623214722,0.8379909992218018,0.7940000295639038,0.7917389869689941,0.793972909450531,0.792465090751648,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.6347441673278809,0.7333265542984009,0.6396266222000122,0.6213511228561401,0.6646158695220947,0.581581175327301,0.5427938103675842,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.8543429374694824,0.8536386489868164,0.7919999957084656,0.7878205180168152,0.803706705570221,0.7880803346633911,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.6262698173522949,0.736506462097168,0.6443206071853638,0.6447039246559143,0.6733593940734863,0.5872445106506348,0.558825671672821,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.8982528448104858,0.8957489728927612,0.8180000185966492,0.8167765736579895,0.8179548978805542,0.8172037601470947,,,,,,,,,
0.001,0.001,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.5345146656036377,0.7395071983337402,0.6426671147346497,0.70809006690979,0.6566972732543945,0.5886334180831909,0.5871212482452393,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.8879369497299194,0.8777308464050293,0.8240000009536743,0.8260256052017212,0.8257746696472168,0.8239971399307251,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.5367931127548218,0.747849702835083,0.648810088634491,0.7064220309257507,0.6752252578735352,0.5967433452606201,0.593966007232666,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.874431848526001,0.8633728623390198,0.800000011920929,0.8003329038619995,0.8005638122558594,0.7999871969223022,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.6434771418571472,0.762492299079895,0.6568937301635742,0.6213511228561401,0.6865542531013489,0.5918985605239868,0.5494421124458313,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.8864744901657104,0.8766735792160034,0.8159999847412109,0.8134582042694092,0.8186293840408325,0.8144293427467346,,,,,,,,,
0.0001,0.0001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.4487921893596649,,,,,,,,
,,103,0.6067474484443665,0.763755202293396,0.657806932926178,0.649708092212677,0.695778489112854,0.5979912281036377,0.5689413547515869,12,,,,,,,,,,,,,,,
,,103,,,,,,,,12,0.9028080105781555,0.8965612649917603,0.8320000171661377,0.8341124057769775,0.8426929712295532,0.8312195539474487,,,,,,,,,
0.0001,0.0001,104,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.5682253837585449,0.7645629644393921,0.658316969871521,0.6822351813316345,0.7025593519210815,0.6047464609146118,0.5902884006500244,13,,,,,,,,,,,,,,,
,,111,,,,,,,,13,0.9088159799575806,0.8951587677001953,0.8360000252723694,0.8359999656677246,0.838164210319519,0.8357371687889099,,,,,,,,,
0.0001,0.0001,112,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.5264210104942322,0.764427900314331,0.6587251424789429,0.7180984020233154,0.7015353441238403,0.6109883785247803,0.6110579967498779,14,,,,,,,,,,,,,,,
,,119,,,,,,,,14,0.8832658529281616,0.8746381998062134,0.8180000185966492,0.8222639560699463,0.8236836791038513,0.8179643154144287,,,,,,,,,
0.0001,0.0001,120,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.5137695670127869,0.7636585235595703,0.6589658260345459,0.7239366173744202,0.7000648975372314,0.6117653846740723,0.6139410734176636,15,,,,,,,,,,,,,,,
,,127,,,,,,,,15,0.9049679636955261,0.9006261229515076,0.8180000185966492,0.8189102411270142,0.8185274600982666,0.8179818391799927,,,,,,,,,
0.0001,0.0001,128,,,,,,,,,,,,,,,,,,,,,,,
,,135,0.5135954022407532,0.7630726099014282,0.6593907475471497,0.7231025695800781,0.6995785236358643,0.6113443970680237,0.6132558584213257,16,,,,,,,,,,,,,,,
,,135,,,,,,,,16,0.9098633527755737,0.8978981971740723,0.8479999899864197,0.8495631217956543,0.8475940227508545,0.8477051258087158,,,,,,,,,
0.0001,0.0001,136,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.5374358296394348,0.7629303932189941,0.6596829891204834,0.7114261984825134,0.704957127571106,0.6109889149665833,0.6083977818489075,17,,,,,,,,,,,,,,,
,,143,,,,,,,,17,0.8892809152603149,0.8836417198181152,0.8299999833106995,0.832012951374054,0.832146167755127,0.8299993276596069,,,,,,,,,
0.0001,0.0001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,18,,,,,,,0.3149583041667938,,,,,,,,
,,151,0.5652495622634888,0.7631692886352539,0.660465657711029,0.6872393488883972,0.7006024122238159,0.6046239733695984,0.5925527215003967,18,,,,,,,,,,,,,,,
,,151,,,,,,,,18,0.919510543346405,0.9197591543197632,0.8420000076293945,0.8399993777275085,0.8438427448272705,0.8409304022789001,,,,,,,,,
0.0001,0.0001,152,,,,,,,,,,,,,,,,,,,,,,,
,,159,0.5661086440086365,0.7629189491271973,0.6604030132293701,0.6922435164451599,0.7035207152366638,0.6067254543304443,0.5965226888656616,19,,,,,,,,,,,,,,,
,,159,,,,,,,,19,0.9046764373779297,0.9036096930503845,0.8259999752044678,0.823683500289917,0.8309093117713928,0.824448823928833,,,,,,,,,
0.0001,0.0001,160,,,,,,,,,,,,,,,,,,,,,,,
,,167,0.596479594707489,0.7612578868865967,0.6603430509567261,0.6663886308670044,0.6957557201385498,0.5996400713920593,0.5787039995193481,20,,,,,,,,,,,,,,,
,,167,,,,,,,,20,0.9011106491088867,0.8969229459762573,0.8199999928474426,0.8194417953491211,0.8214170932769775,0.819584310054779,,,,,,,,,
0.0001,0.0001,168,,,,,,,,,,,,,,,,,,,,,,,
