lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.7402552962303162,0.5843416452407837,0.5346679091453552,0.14595496654510498,0.49950793385505676,0.48791560530662537,0.12946902215480804,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.5315501093864441,0.5358512997627258,0.5199999809265137,0.5156256556510925,0.5160040259361267,0.5142743587493896,,,,,,,,,
0.001,0.001,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.6533944010734558,0.6423248052597046,0.5577397346496582,0.8290241956710815,0.5151517391204834,0.5389742255210876,0.5089766383171082,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.5456423163414001,0.5427953004837036,0.5314285755157471,0.5300908088684082,0.5385549068450928,0.5035074353218079,,,,,,,,,
0.001,0.001,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.7134699821472168,0.6729654669761658,0.5777138471603394,0.38198497891426086,0.5957146883010864,0.5594649910926819,0.37189048528671265,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.6041171550750732,0.5905665159225464,0.5785714387893677,0.5821546316146851,0.5863627195358276,0.5746749639511108,,,,,,,,,
0.001,0.001,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.5816769599914551,0.7049115896224976,0.5967206954956055,0.7923269271850586,0.6107555627822876,0.5974449515342712,0.6029996871948242,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.6351644992828369,0.610033392906189,0.5914285778999329,0.588797390460968,0.5939054489135742,0.5845611095428467,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.6435840725898743,,,,,,,,
,,54,0.4991852045059204,0.7368420958518982,0.6206299662590027,0.8231859803199768,0.6092509031295776,0.6241884231567383,0.615705132484436,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.6452150940895081,0.6380775570869446,0.595714271068573,0.5851736664772034,0.5916695594787598,0.5823979377746582,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.443938672542572,0.7597275972366333,0.6473343372344971,0.8223519325256348,0.6697044372558594,0.650516152381897,0.6588932275772095,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.7067861557006836,0.6967982649803162,0.6514285802841187,0.6522647738456726,0.6554166674613953,0.6499167680740356,,,,,,,,,
0.001,0.001,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.45086273550987244,0.7656097412109375,0.655996561050415,0.7973310947418213,0.7014272809028625,0.6426737904548645,0.6600097417831421,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.7201317548751831,0.7211035490036011,0.6471428275108337,0.6460299491882324,0.6468254327774048,0.646044135093689,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.45611312985420227,0.766724705696106,0.6466862559318542,0.7798165082931519,0.6692749261856079,0.6189451217651367,0.632584273815155,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.7914674282073975,0.7776177525520325,0.7157142758369446,0.714737057685852,0.7154538631439209,0.714917778968811,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,0.4618954360485077,0.7826586365699768,0.6639982461929321,0.7914929389953613,0.7053353786468506,0.6406245231628418,0.6580538749694824,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.7799511551856995,0.7815992832183838,0.704285740852356,0.7040557861328125,0.7047092318534851,0.7039661407470703,,,,,,,,,
0.001,0.001,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.5776610374450684,,,,,,,,
,,109,0.4533754587173462,0.7830454111099243,0.6536825895309448,0.8040033578872681,0.6906927824020386,0.6429866552352905,0.658911943435669,9,,,,,,,,,,,,,,,
,,109,,,,,,,,9,0.7982382774353027,0.7872182130813599,0.7400000095367432,0.7395507097244263,0.7458362579345703,0.738202691078186,,,,,,,,,
0.001,0.001,110,,,,,,,,,,,,,,,,,,,,,,,
,,120,0.48361772298812866,0.7796891927719116,0.6597098112106323,0.78899085521698,0.7014386653900146,0.6376127004623413,0.6545404195785522,10,,,,,,,,,,,,,,,
,,120,,,,,,,,10,0.7932093143463135,0.7818700075149536,0.7185714244842529,0.7184405326843262,0.7186815738677979,0.7184421420097351,,,,,,,,,
