lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.7315927743911743,0.5877676606178284,0.5312387943267822,0.15262718498706818,0.4985238015651703,0.48779281973838806,0.13860070705413818,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.5127633810043335,0.5238914489746094,0.4950000047683716,0.4932989180088043,0.49327465891838074,0.4931754469871521,,,,,,,,,
0.001,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.7187442183494568,0.6276651620864868,0.5528363585472107,0.2276897430419922,0.5325477123260498,0.5455431938171387,0.22606122493743896,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.5597356557846069,0.5516319870948792,0.5425000190734863,0.5534154176712036,0.5866634249687195,0.49969586730003357,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.5921041965484619,0.6537206768989563,0.5679733157157898,0.854045033454895,0.49805447459220886,0.42845189571380615,0.46063879132270813,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.5835251808166504,0.5833703279495239,0.574999988079071,0.5756680965423584,0.5757211446762085,0.5749893188476562,,,,,,,,,
0.001,0.001,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6419814825057983,0.6741771101951599,0.5845052599906921,0.7556297183036804,0.5893547534942627,0.5674083828926086,0.5731099843978882,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.616135835647583,0.614425778388977,0.5274999737739563,0.5408653616905212,0.5731477737426758,0.4763636291027069,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.7212942242622375,0.681002140045166,0.5899190902709961,0.38532111048698425,0.5903474688529968,0.5550735592842102,0.3738912343978882,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.7004925012588501,0.6890149116516113,0.637499988079071,0.6369534134864807,0.6439155340194702,0.6328532695770264,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.6107301712036133,0.6836189031600952,0.5880869626998901,0.6880733966827393,0.6425865292549133,0.5783286094665527,0.5706672668457031,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.704800009727478,0.7020615935325623,0.6449999809265137,0.6449999809265137,0.6573350429534912,0.6379028558731079,,,,,,,,,
0.001,0.001,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,0.5117772221565247,0.6927833557128906,0.5937641263008118,0.7564637064933777,0.6264051198959351,0.5878982543945312,0.5964526534080505,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.7859518527984619,0.7772077918052673,0.7250000238418579,0.7261383533477783,0.7309430837631226,0.7238332033157349,,,,,,,,,
0.001,0.001,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.607536792755127,,,,,,,,
,,55,0.6039600372314453,0.7070903778076172,0.6052682399749756,0.657214343547821,0.6587167382240295,0.5816811919212341,0.5606989860534668,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.7867387533187866,0.7619010806083679,0.7200000286102295,0.7170283794403076,0.7244440913200378,0.7165704965591431,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,0.5203981399536133,0.724821925163269,0.6171073913574219,0.7222685813903809,0.6600905656814575,0.5934708118438721,0.5961701273918152,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.7769201993942261,0.7552778720855713,0.7149999737739563,0.7179132699966431,0.7171272039413452,0.7149358987808228,,,,,,,,,
0.001,0.001,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.6767714619636536,0.7338839769363403,0.622227668762207,0.6238532066345215,0.6758254170417786,0.5869746208190918,0.5476936101913452,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.8259484767913818,0.8076211214065552,0.7574999928474426,0.7555229663848877,0.7573232650756836,0.7560346722602844,,,,,,,,,
0.001,0.001,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.47169241309165955,0.7372801303863525,0.6252532005310059,0.7723102569580078,0.6453967094421387,0.6041125059127808,0.6152918338775635,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.7985100746154785,0.7824685573577881,0.7300000190734863,0.728787899017334,0.7276153564453125,0.7280350923538208,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,0.788020670413971,0.7468769550323486,0.6334116458892822,0.5738115310668945,0.6807688474655151,0.5885646343231201,0.5192277431488037,11,,,,,,,,,,,,,,,
,,83,,,,,,,,11,0.8091446161270142,0.7879394888877869,0.7574999928474426,0.7598156929016113,0.7617623805999756,0.7573164701461792,,,,,,,,,
0.0001,0.0001,84,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.7393431067466736,0.7473206520080566,0.6336932182312012,0.5954962372779846,0.6666012406349182,0.5816125273704529,0.5284874439239502,12,,,,,,,,,,,,,,,
,,90,,,,,,,,12,0.8031803369522095,0.7758989334106445,0.7074999809265137,0.7094459533691406,0.7458689212799072,0.6968420743942261,,,,,,,,,
0.0001,0.0001,91,,,,,,,,,,,,,,,,,,,,,,,
,,97,0.646467387676239,0.7480602264404297,0.6342146396636963,0.649708092212677,0.6762776970863342,0.5890297293663025,0.5626276731491089,13,,,,,,,,,,,,,,,
,,97,,,,,,,,13,0.8635588884353638,0.8470860123634338,0.7875000238418579,0.7805764675140381,0.808580756187439,0.7805871367454529,,,,,,,,,
0.0001,0.0001,98,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,14,,,,,,,0.4991518259048462,,,,,,,,
,,104,0.5805079936981201,0.7492661476135254,0.6354493498802185,0.6889074444770813,0.686949610710144,0.5987876653671265,0.5886194705963135,14,,,,,,,,,,,,,,,
,,104,,,,,,,,14,0.8427335023880005,0.8243024349212646,0.7749999761581421,0.7771995067596436,0.7817108631134033,0.7744361162185669,,,,,,,,,
0.0001,0.0001,105,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.5271896719932556,0.7500683069229126,0.6366072297096252,0.7306088209152222,0.6917679309844971,0.6099028587341309,0.6145105361938477,15,,,,,,,,,,,,,,,
,,111,,,,,,,,15,0.8724313974380493,0.8464336395263672,0.7950000166893005,0.7974997758865356,0.7940176129341125,0.7941302061080933,,,,,,,,,
0.0001,0.0001,112,,,,,,,,,,,,,,,,,,,,,,,
