lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.6970202922821045,0.5806382894515991,0.53653883934021,0.40867388248443604,0.5527766346931458,0.5289209485054016,0.3856734037399292,0,,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.46782106161117554,0.4899103343486786,0.4699999988079071,0.4737263321876526,0.47200000286102295,0.4635084271430969,,,,,,,,,
0.001,0.001,4,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6592857241630554,0.5871504545211792,0.5389035940170288,0.8390325307846069,0.5088003873825073,0.5350650548934937,0.4941934645175934,1,,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.5249597430229187,0.5179135203361511,0.5199999809265137,0.5136876106262207,0.5139573216438293,0.5129870176315308,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,11,0.6471378207206726,0.5952795743942261,0.5440084338188171,0.8498749136924744,0.505372941493988,0.5470041036605835,0.480552613735199,2,,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.5081573724746704,0.539004921913147,0.4950000047683716,0.4934941530227661,0.493434339761734,0.49285730719566345,,,,,,,,,
0.001,0.001,12,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.66839599609375,0.6067877411842346,0.5540263652801514,0.7481234073638916,0.5313502550125122,0.5266347527503967,0.5278050303459167,3,,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.5029046535491943,0.5219725370407104,0.4950000047683716,0.5,0.5,0.48937031626701355,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6498778462409973,0.6155766844749451,0.5633066892623901,0.809841513633728,0.5380913019180298,0.55544513463974,0.5418694615364075,4,,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.6242618560791016,0.6148399710655212,0.5849999785423279,0.5832749605178833,0.5844155550003052,0.5826524496078491,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.5888383984565735,0.6215839385986328,0.5663301944732666,0.8557130694389343,0.5136528015136719,0.6446654796600342,0.4933452308177948,5,,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.6118181943893433,0.6201462745666504,0.6100000143051147,0.5878788232803345,0.6103500723838806,0.5768229365348816,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.5385342836380005,0.6218968629837036,0.5651022791862488,0.8573811650276184,0.514625608921051,0.6804970502853394,0.4941864311695099,6,,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.688975989818573,0.6843472719192505,0.5649999976158142,0.5329615473747253,0.7135416269302368,0.42382198572158813,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6059797406196594,0.626868724822998,0.5678507089614868,0.7898248434066772,0.5727324485778809,0.5720317959785461,0.5723772048950195,7,,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.6942777633666992,0.6847657561302185,0.5299999713897705,0.5386154651641846,0.6482334733009338,0.4293346405029297,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,35,0.7085614800453186,0.630355954170227,0.568933367729187,0.47372812032699585,0.5712136030197144,0.5358805060386658,0.43171727657318115,8,,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.7369948029518127,0.7138833999633789,0.7200000286102295,0.7194877862930298,0.7201926708221436,0.7195512652397156,,,,,,,,,
0.001,0.001,36,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6567084193229675,0.633695125579834,0.5695223212242126,0.6188490390777588,0.587591290473938,0.5448718667030334,0.5144351124763489,9,,,,,,,,,,,,,,,
,,39,,,,,,,,9,0.7537753582000732,0.763822615146637,0.625,0.6226122379302979,0.6593035459518433,0.6010532379150391,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.5299365520477295,0.6350647211074829,0.5683645606040955,0.7806505560874939,0.582007884979248,0.5733309984207153,0.5769429206848145,10,,,,,,,,,,,,,,,
,,43,,,,,,,,10,0.7745774984359741,0.7576315402984619,0.7149999737739563,0.714821457862854,0.7151442170143127,0.7148218154907227,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.5739341378211975,0.6381949186325073,0.5680834650993347,0.7256046533584595,0.5889082551002502,0.5587401986122131,0.5611356496810913,11,,,,,,,,,,,,,,,
,,47,,,,,,,,11,0.7454745769500732,0.7533969879150391,0.6800000071525574,0.6780678033828735,0.7099894285202026,0.6666666865348816,,,,,,,,,
0.0001,0.0001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,12,,,,,,,0.6706196069717407,,,,,,,,
,,51,0.5843666195869446,0.639594316482544,0.5685021281242371,0.7172644138336182,0.5913571715354919,0.5582731366157532,0.5591897368431091,12,,,,,,,,,,,,,,,
,,51,,,,,,,,12,0.7669000625610352,0.7761197090148926,0.6800000071525574,0.6799999475479126,0.6860272884368896,0.6773868799209595,,,,,,,,,
0.0001,0.0001,52,,,,,,,,,,,,,,,,,,,,,,,
,,55,0.5894066691398621,0.6403622627258301,0.5686954259872437,0.7105921506881714,0.5972164869308472,0.5600478649139404,0.5596376657485962,13,,,,,,,,,,,,,,,
,,55,,,,,,,,13,0.8144329786300659,0.8157585859298706,0.7450000047683716,0.7464218139648438,0.7477858066558838,0.7448405027389526,,,,,,,,,
0.0001,0.0001,56,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.5966917872428894,0.641329288482666,0.5685802102088928,0.700583815574646,0.6011303663253784,0.560234546661377,0.5573766827583313,14,,,,,,,,,,,,,,,
