lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6894975304603577,0.6328262090682983,0.5636988282203674,0.5938282012939453,0.5729998350143433,0.5366753935813904,0.49702781438827515,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.49195680022239685,0.503279983997345,0.5040000081062317,0.503881573677063,0.5038805603981018,0.5038729906082153,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6469838619232178,0.6647424697875977,0.5729223489761353,0.8573811650276184,0.5,nan,0.46160754561424255,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.5544148683547974,0.5597293376922607,0.515999972820282,0.5119529962539673,0.5121022462844849,0.511497974395752,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6861121654510498,0.663537859916687,0.580440104007721,0.5262718796730042,0.6189188361167908,0.5586318969726562,0.474907785654068,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.5798813104629517,0.5727764964103699,0.5479999780654907,0.5488888025283813,0.5608919858932495,0.5250105261802673,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6368064284324646,0.6688283681869507,0.5910696387290955,0.6889074444770813,0.618696928024292,0.567044198513031,0.5605499744415283,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.6664799451828003,0.6651930212974548,0.6179999709129333,0.6188331246376038,0.621055006980896,0.6165259480476379,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6400947570800781,0.682265043258667,0.5923643112182617,0.5646371841430664,0.6364171504974365,0.5667259693145752,0.5020763874053955,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.6866747140884399,0.6962385773658752,0.6100000143051147,0.6083633899688721,0.6114660501480103,0.6065232753753662,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.5975894927978516,0.6941031217575073,0.5964901447296143,0.6046705842018127,0.6548882722854614,0.5762572288513184,0.5303370356559753,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.6929084658622742,0.6855837106704712,0.6340000033378601,0.641910970211029,0.6572903990745544,0.6273078918457031,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.6532841920852661,,,,,,,,
,,55,0.6019008755683899,0.7151341438293457,0.6101534366607666,0.591326117515564,0.6666069030761719,0.5815516710281372,0.5260395407676697,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.7277556657791138,0.727608323097229,0.6759999990463257,0.6764428615570068,0.6854140758514404,0.6721762418746948,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.5686449408531189,0.7339807152748108,0.6253576278686523,0.6513761281967163,0.6870008111000061,0.5941096544265747,0.5671106576919556,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.7964829206466675,0.7909038066864014,0.7400000095367432,0.7333269119262695,0.7449831962585449,0.7341774106025696,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.5964917540550232,0.7524234056472778,0.6439411044120789,0.6413677930831909,0.6909146308898926,0.5950937867164612,0.562527596950531,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.7763639688491821,0.7821156978607178,0.7020000219345093,0.6934483647346497,0.7106137871742249,0.6922492384910583,,,,,,,,,
0.001,0.001,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.47852957248687744,0.7696316242218018,0.6492215991020203,0.7497915029525757,0.7200178503990173,0.6278486251831055,0.6376592516899109,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.8218510150909424,0.8236717581748962,0.7440000176429749,0.7464877367019653,0.7452563047409058,0.7438524961471558,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.42375269532203674,0.781219482421875,0.652324378490448,0.7856547236442566,0.6921803951263428,0.6319452524185181,0.6478772163391113,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.8015350699424744,0.7967004776000977,0.7160000205039978,0.7219427824020386,0.7222724556922913,0.7159954309463501,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.5676206946372986,0.7794673442840576,0.6497188210487366,0.6955796480178833,0.742030143737793,0.6241747736930847,0.6114183664321899,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.828015923500061,0.8257995247840881,0.7699999809265137,0.7675219774246216,0.7753952741622925,0.7675819396972656,,,,,,,,,
0.0001,0.0001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.5319562554359436,,,,,,,,
,,103,0.5384082198143005,0.7791658043861389,0.6495202779769897,0.7130942344665527,0.7376185655593872,0.6254392266273499,0.6210159063339233,12,,,,,,,,,,,,,,,
,,103,,,,,,,,12,0.8496800065040588,0.8522956371307373,0.7760000228881836,0.7760000228881836,0.7917004823684692,0.7729447484016418,,,,,,,,,
0.0001,0.0001,104,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.48808303475379944,0.7794047594070435,0.6500341296195984,0.744787335395813,0.7244123816490173,0.6280404329299927,0.636225700378418,13,,,,,,,,,,,,,,,
,,111,,,,,,,,13,0.8647443652153015,0.8611669540405273,0.7860000133514404,0.7831002473831177,0.7887732982635498,0.7839248180389404,,,,,,,,,
0.0001,0.0001,112,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.5199087858200073,0.7793762683868408,0.6505411267280579,0.7272727489471436,0.7361366748809814,0.6280208826065063,0.6294714212417603,14,,,,,,,,,,,,,,,
,,119,,,,,,,,14,0.833095133304596,0.8282107710838318,0.7599999904632568,0.7576876878738403,0.7597901821136475,0.7582945227622986,,,,,,,,,
0.0001,0.0001,120,,,,,,,,,,,,,,,,,,,,,,,
,,127,0.5218930244445801,0.7797062397003174,0.6511693000793457,0.7231025695800781,0.7312672138214111,0.6249508261680603,0.6251120567321777,15,,,,,,,,,,,,,,,
,,127,,,,,,,,15,0.8388568162918091,0.8311977386474609,0.7900000214576721,0.7909538745880127,0.7977921962738037,0.7889659404754639,,,,,,,,,
0.0001,0.0001,128,,,,,,,,,,,,,,,,,,,,,,,
,,135,0.5149475336074829,0.7801954746246338,0.6523175835609436,0.7281067371368408,0.7293102741241455,0.6253536939620972,0.627551794052124,16,,,,,,,,,,,,,,,
,,135,,,,,,,,16,0.8872298002243042,0.8810913562774658,0.8040000200271606,0.8025921583175659,0.8052525520324707,0.8030894994735718,,,,,,,,,
0.0001,0.0001,136,,,,,,,,,,,,,,,,,,,,,,,
,,143,0.5265929698944092,0.7803604602813721,0.6527069211006165,0.7222685813903809,0.730780839920044,0.6245471835136414,0.624416172504425,17,,,,,,,,,,,,,,,
,,143,,,,,,,,17,0.8589669466018677,0.8618367910385132,0.777999997138977,0.7773617506027222,0.7850096225738525,0.7763458490371704,,,,,,,,,
0.0001,0.0001,144,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,18,,,,,,,0.4179542064666748,,,,,,,,
,,151,0.5332599878311157,0.780479907989502,0.6526556611061096,0.7206004858016968,0.732245683670044,0.6247814893722534,0.6238869428634644,18,,,,,,,,,,,,,,,
,,151,,,,,,,,18,0.8730194568634033,0.8699824810028076,0.8100000023841858,0.8075405955314636,0.8122730255126953,0.8084484338760376,,,,,,,,,
0.0001,0.0001,152,,,,,,,,,,,,,,,,,,,,,,,
