lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.7477731704711914,0.6246160268783569,0.2153717279434204,0.14678898453712463,0.49999430775642395,0.4998801648616791,0.1305219680070877,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.5268959403038025,0.3093745708465576,0.44999998807907104,0.49437829852104187,0.4952644109725952,0.44241058826446533,,,,,,,,,
0.001,0.001,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.6530032157897949,0.6593623757362366,0.23084333539009094,0.8415346145629883,0.5151346921920776,0.5588085651397705,0.5042003989219666,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.5419973134994507,0.3175491690635681,0.5266666412353516,0.5403439402580261,0.5325564742088318,0.5055480599403381,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.6538200378417969,0.6834709644317627,0.2519075870513916,0.8048373460769653,0.5692993998527527,0.5797094702720642,0.5735508799552917,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.5810185074806213,0.32873180508613586,0.6066666841506958,0.5522486567497253,0.5460999608039856,0.5455712080001831,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6670089960098267,0.7023062109947205,0.2679169476032257,0.6855713129043579,0.6435649394989014,0.5783860087394714,0.5697956681251526,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.6296296119689941,0.42435264587402344,0.596666693687439,0.5998677015304565,0.5809687376022339,0.5682221055030823,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,0.6521850824356079,0.7117152214050293,0.2836272120475769,0.699749767780304,0.6420830488204956,0.5801407098770142,0.5764049291610718,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.6012455821037292,0.3664221167564392,0.54666668176651,0.5542328357696533,0.5437411069869995,0.5221139788627625,,,,,,,,,
0.001,0.001,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.6058429479598999,0.7201003432273865,0.2932528257369995,0.7656380534172058,0.6244425177574158,0.5906163454055786,0.5996766090393066,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.7178130745887756,0.4843764305114746,0.6333333253860474,0.6362433433532715,0.6111310720443726,0.603727400302887,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.5526812076568604,0.7224327325820923,0.29686567187309265,0.7814845442771912,0.6166206002235413,0.5941910743713379,0.602143406867981,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.7720458507537842,0.5939114093780518,0.7099999785423279,0.6967592835426331,0.6678025722503662,0.6729282140731812,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.5591601729393005,0.7261303663253784,0.30249637365341187,0.7172644138336182,0.6376715302467346,0.5817192792892456,0.5832028388977051,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.7417879104614258,0.5431199669837952,0.75,0.6917989253997803,0.6904240846633911,0.6910995244979858,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.532832682132721,0.7433784008026123,0.31475964188575745,0.7347790002822876,0.6649487018585205,0.599105179309845,0.6051477193832397,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.8024691343307495,0.6203240156173706,0.7166666388511658,0.7341269850730896,0.6918785572052002,0.6919359564781189,,,,,,,,,
0.001,0.001,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.5118573904037476,,,,,,,,
,,49,0.522719144821167,0.760199785232544,0.3296225070953369,0.7339449524879456,0.6888382434844971,0.6095582842826843,0.6152276992797852,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.8008707761764526,0.620704710483551,0.7699999809265137,0.73115074634552,0.7178587913513184,0.7235244512557983,,,,,,,,,
0.001,0.001,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,0.46463367342948914,0.7778972387313843,0.34825599193573,0.7681401371955872,0.6649031639099121,0.6112825870513916,0.6235997676849365,10,,,,,,,,,,,,,,,
,,54,,,,,,,,10,0.8096340894699097,0.6235918402671814,0.7266666889190674,0.7447090148925781,0.7009049654006958,0.7021936178207397,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.5326735377311707,0.7912087440490723,0.36592018604278564,0.7155963182449341,0.7049514055252075,0.6119027733802795,0.610876202583313,11,,,,,,,,,,,,,,,
,,59,,,,,,,,11,0.8321207761764526,0.6600852012634277,0.7633333206176758,0.7410714626312256,0.7155635356903076,0.7242040038108826,,,,,,,,,
0.0001,0.0001,60,,,,,,,,,,,,,,,,,,,,,,,
,,64,0.5161734819412231,0.7923692464828491,0.3685954809188843,0.7289407849311829,0.7005455493927002,0.6132751703262329,0.6171011924743652,12,,,,,,,,,,,,,,,
