lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,6,0.7188020944595337,0.6068446636199951,0.19473493099212646,0.20266889035701752,0.5203939080238342,0.538276731967926,0.19844871759414673,0,,,,,,,,,,,,,,,
,,6,,,,,,,,0,0.47385504841804504,0.2737257480621338,0.5199999809265137,0.47968506813049316,0.48253411054611206,0.4742462635040283,,,,,,,,,
0.001,0.001,7,,,,,,,,,,,,,,,,,,,,,,,
,,13,0.7271382212638855,0.6543649435043335,0.2579415440559387,0.22685571014881134,0.5320613384246826,0.5452109575271606,0.2251654863357544,1,,,,,,,,,,,,,,,
,,13,,,,,,,,1,0.5969467163085938,0.3730565905570984,0.45249998569488525,0.5574888586997986,0.5610188245773315,0.4520856440067291,,,,,,,,,
0.001,0.001,14,,,,,,,,,,,,,,,,,,,,,,,
,,20,0.6683025360107422,0.6566603183746338,0.2853710651397705,0.6188490390777588,0.6241552233695984,0.5623760223388672,0.5280117392539978,2,,,,,,,,,,,,,,,
,,20,,,,,,,,2,0.6843671798706055,0.4639756679534912,0.5375000238418579,0.6128441095352173,0.6015551090240479,0.5353831052780151,,,,,,,,,
0.001,0.001,21,,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6045467853546143,0.6581393480300903,0.30498653650283813,0.7206004858016968,0.6323042511940002,0.5799177289009094,0.5822521448135376,3,,,,,,,,,,,,,,,
,,27,,,,,,,,3,0.7490984201431274,0.5301406383514404,0.6875,0.6551568508148193,0.6404860019683838,0.6445809602737427,,,,,,,,,
0.001,0.001,28,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.6202528476715088,0.6638507843017578,0.3120434880256653,0.6255212426185608,0.6158583164215088,0.5588525533676147,0.5284509658813477,4,,,,,,,,,,,,,,,
,,34,,,,,,,,4,0.7954381704330444,0.5957911014556885,0.7275000214576721,0.7130964994430542,0.6885954141616821,0.6947612166404724,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,41,0.6395543813705444,0.6781578063964844,0.30994895100593567,0.6038365364074707,0.6227132081985474,0.5609368085861206,0.5196301937103271,5,,,,,,,,,,,,,,,
,,41,,,,,,,,5,0.7794206142425537,0.589544415473938,0.7049999833106995,0.7193171977996826,0.684684693813324,0.6836122274398804,,,,,,,,,
0.001,0.001,42,,,,,,,,,,,,,,,,,,,,,,,
,,48,0.5145853161811829,0.7018454074859619,0.31649842858314514,0.7331109046936035,0.6395999789237976,0.5867297053337097,0.592079758644104,6,,,,,,,,,,,,,,,
,,48,,,,,,,,6,0.7905397415161133,0.6047871112823486,0.7524999976158142,0.7431482076644897,0.7151919007301331,0.722764790058136,,,,,,,,,
0.001,0.001,49,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,7,,,,,,,0.5216465592384338,,,,,,,,
,,55,0.6097553372383118,0.7271201610565186,0.3343150317668915,0.6472060084342957,0.6723809242248535,0.5870086550712585,0.5599122047424316,7,,,,,,,,,,,,,,,
,,55,,,,,,,,7,0.8197799921035767,0.5876207947731018,0.7749999761581421,0.7640341520309448,0.7369215488433838,0.7455902099609375,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,62,0.6757571697235107,0.7464388608932495,0.35661423206329346,0.6030024886131287,0.6831666231155396,0.5897158980369568,0.5375757217407227,8,,,,,,,,,,,,,,,
,,62,,,,,,,,8,0.8373903036117554,0.6525901556015015,0.7549999952316284,0.7670993804931641,0.7280377745628357,0.7333406209945679,,,,,,,,,
0.001,0.001,63,,,,,,,,,,,,,,,,,,,,,,,
,,69,0.6513648629188538,0.7633854150772095,0.38857918977737427,0.6138448715209961,0.6968023777008057,0.5964926481246948,0.5478740334510803,9,,,,,,,,,,,,,,,
,,69,,,,,,,,9,0.8296670317649841,0.6240016222000122,0.7450000047683716,0.7747926712036133,0.7300724983215332,0.7287161946296692,,,,,,,,,
0.001,0.001,70,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.6400816440582275,0.7641192674636841,0.3935488164424896,0.6171810030937195,0.6963103413581848,0.5963561534881592,0.5497515201568604,10,,,,,,,,,,,,,,,
,,76,,,,,,,,10,0.8322514891624451,0.6328195333480835,0.7475000023841858,0.781494140625,0.7351685762405396,0.7324060201644897,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,83,0.6274262070655823,0.7646540403366089,0.38849276304244995,0.6296914219856262,0.6938556432723999,0.5957292318344116,0.5565296411514282,11,,,,,,,,,,,,,,,
,,83,,,,,,,,11,0.8582161068916321,0.6646095514297485,0.800000011920929,0.7965500354766846,0.7645860314369202,0.7747176885604858,,,,,,,,,
0.0001,0.0001,84,,,,,,,,,,,,,,,,,,,,,,,
,,90,0.6453497409820557,0.7648929357528687,0.39074620604515076,0.6138448715209961,0.6870520114898682,0.5918493270874023,0.5451356172561646,12,,,,,,,,,,,,,,,
,,90,,,,,,,,12,0.8593881130218506,0.6684712171554565,0.7900000214576721,0.8116359710693359,0.7652174234390259,0.7721353769302368,,,,,,,,,
0.0001,0.0001,91,,,,,,,,,,,,,,,,,,,,,,,
,,97,0.67266845703125,0.7648645043373108,0.3938661217689514,0.597998321056366,0.6826859712600708,0.5894067287445068,0.5344446897506714,13,,,,,,,,,,,,,,,
,,97,,,,,,,,13,0.8653083443641663,0.6723610162734985,0.7724999785423279,0.7918319702148438,0.7479889392852783,0.7535194754600525,,,,,,,,,
0.0001,0.0001,98,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,14,,,,,,,0.5470356941223145,,,,,,,,
,,104,0.657379686832428,0.7651944756507874,0.394493043422699,0.6071726679801941,0.6855985522270203,0.5909704566001892,0.5407456159591675,14,,,,,,,,,,,,,,,
,,104,,,,,,,,14,0.861792266368866,0.6890648603439331,0.7950000166893005,0.8176463842391968,0.7703324556350708,0.7775607705116272,,,,,,,,,
0.0001,0.0001,105,,,,,,,,,,,,,,,,,,,,,,,
