lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.7198825478553772,0.5878871083259583,0.1778515726327896,0.15763135254383087,0.5038796663284302,0.5263381600379944,0.14441853761672974,0,,,,,,,,,,,,,,,
,,4,,,,,,,,0,0.48798543214797974,0.233711838722229,0.6633333563804626,0.5171278119087219,0.5176767706871033,0.5173237919807434,,,,,,,,,
0.001,0.001,5,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.7211766242980957,0.6323525905609131,0.2170451581478119,0.1651376187801361,0.5082570910453796,0.5400878190994263,0.15359792113304138,1,,,,,,,,,,,,,,,
,,9,,,,,,,,1,0.5100696086883545,0.22770193219184875,0.5366666913032532,0.5060229301452637,0.5043290257453918,0.4800434112548828,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,14,0.7537930607795715,0.6407831907272339,0.23857919871807098,0.15346121788024902,0.506322979927063,0.5720910429954529,0.13850125670433044,2,,,,,,,,,,,,,,,
,,14,,,,,,,,2,0.6478449106216431,0.3487147092819214,0.5833333134651184,0.5973085165023804,0.5691299438476562,0.5431231260299683,,,,,,,,,
0.001,0.001,15,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.7322186827659607,0.6565152406692505,0.24380262196063995,0.22185154259204865,0.5315806865692139,0.5475120544433594,0.21962811052799225,3,,,,,,,,,,,,,,,
,,19,,,,,,,,3,0.6877470016479492,0.3574299216270447,0.6466666460037231,0.648597776889801,0.6078011989593506,0.5984036922454834,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,24,0.7122818231582642,0.6610406041145325,0.23820903897285461,0.353628009557724,0.559677004814148,0.5384732484817505,0.34545254707336426,4,,,,,,,,,,,,,,,
,,24,,,,,,,,4,0.7186146974563599,0.38625067472457886,0.7400000095367432,0.6685488224029541,0.6491588354110718,0.6563674807548523,,,,,,,,,
0.001,0.001,25,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.7331886887550354,0.6643627882003784,0.23904870450496674,0.3236030042171478,0.5592304468154907,0.5432536005973816,0.3202667534351349,5,,,,,,,,,,,,,,,
,,29,,,,,,,,5,0.7750799655914307,0.5187675952911377,0.746666669845581,0.6982872486114502,0.666175901889801,0.6761363744735718,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,34,0.7321541905403137,0.6619393825531006,0.2382603883743286,0.3894912302494049,0.5708410143852234,0.5414950847625732,0.37460237741470337,6,,,,,,,,,,,,,,,
,,34,,,,,,,,6,0.8193110823631287,0.6179634928703308,0.7799999713897705,0.7199321985244751,0.697615385055542,0.7066667079925537,,,,,,,,,
0.001,0.001,35,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.838641881942749,0.6636971831321716,0.2374996840953827,0.3202669024467468,0.5621601343154907,0.5464693903923035,0.31752485036849976,7,,,,,,,,,,,,,,,
,,39,,,,,,,,7,0.8100257515907288,0.5525400638580322,0.746666669845581,0.7592697143554688,0.6942420601844788,0.7021321058273315,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,44,0.8889631628990173,0.6675939559936523,0.24090248346328735,0.34945788979530334,0.5669955015182495,0.5444676876068115,0.34276437759399414,8,,,,,,,,,,,,,,,
,,44,,,,,,,,8,0.8472300171852112,0.6294458508491516,0.7300000190734863,0.768774688243866,0.6945858001708984,0.6939199566841125,,,,,,,,,
0.001,0.001,45,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,9,,,,,,,0.7417568564414978,,,,,,,,
,,49,0.8617516756057739,0.678891658782959,0.24934813380241394,0.4403669834136963,0.5931974649429321,0.5499104261398315,0.4145034849643707,9,,,,,,,,,,,,,,,
,,49,,,,,,,,9,0.838760256767273,0.6446592807769775,0.7666666507720947,0.7773386240005493,0.7107107043266296,0.7222222089767456,,,,,,,,,
0.001,0.001,50,,,,,,,,,,,,,,,,,,,,,,,
,,54,1.1359572410583496,0.6939040422439575,0.26355916261672974,0.3244370222091675,0.5743423700332642,0.5560832023620605,0.32192349433898926,10,,,,,,,,,,,,,,,
,,54,,,,,,,,10,0.8437793850898743,0.5737407803535461,0.7566666603088379,0.775926947593689,0.7060531973838806,0.7147508859634399,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,59,1.0710179805755615,0.7045986652374268,0.2726818025112152,0.3686405420303345,0.5928078293800354,0.5600928664207458,0.36089444160461426,11,,,,,,,,,,,,,,,
,,59,,,,,,,,11,0.8695024847984314,0.7115323543548584,0.7233333587646484,0.7796913385391235,0.6998744606971741,0.692497730255127,,,,,,,,,
0.0001,0.0001,60,,,,,,,,,,,,,,,,,,,,,,,
,,64,1.0601098537445068,0.7056624889373779,0.27358707785606384,0.3811509609222412,0.5976659655570984,0.5610370635986328,0.37144410610198975,12,,,,,,,,,,,,,,,
,,64,,,,,,,,12,0.8705690503120422,0.5934418439865112,0.7699999809265137,0.7896668314933777,0.7177419662475586,0.7287415862083435,,,,,,,,,
