lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.6054696440696716,0.7100484371185303,0.254863977432251,0.8565471172332764,0.4995136260986328,0.4286310374736786,0.461365669965744,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.5077008008956909,0.21896114945411682,0.508571445941925,0.5039946436882019,0.5025438666343689,0.4557896852493286,,,,,,,,,
0.001,0.001,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.6404600143432617,0.7320408821105957,0.3024861216545105,0.8323603272438049,0.551223635673523,0.5961402654647827,0.5589854717254639,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.5483143329620361,0.241668701171875,0.4928571283817291,0.5239551663398743,0.5153335928916931,0.4547748267650604,,,,,,,,,
0.001,0.001,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.6523099541664124,0.7421780824661255,0.31721407175064087,0.6880733966827393,0.6669625043869019,0.5896079540252686,0.5805779099464417,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.5882993936538696,0.2871624231338501,0.6371428370475769,0.5598558783531189,0.5427133440971375,0.5366461277008057,,,,,,,,,
0.001,0.001,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.5665268898010254,0.7433272004127502,0.3241252303123474,0.7489574551582336,0.6537163853645325,0.598464846611023,0.6073774695396423,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.6915067434310913,0.3947349190711975,0.6471428275108337,0.6202118396759033,0.5809667110443115,0.5721895694732666,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.6180685758590698,,,,,,,,
,,54,0.5100551247596741,0.7622591257095337,0.34639036655426025,0.7506255507469177,0.6693147420883179,0.6062382459640503,0.6159607768058777,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.7161543369293213,0.39434748888015747,0.6899999976158142,0.6577732563018799,0.6101590394973755,0.6112852692604065,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.546856701374054,0.7895874977111816,0.38122639060020447,0.7231025695800781,0.7093288898468018,0.6155722141265869,0.6170361042022705,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.7644493579864502,0.47877267003059387,0.7157142758369446,0.711698055267334,0.6452350616455078,0.6490962505340576,,,,,,,,,
0.001,0.001,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.3608465790748596,0.8130418062210083,0.4087580740451813,0.847372829914093,0.6233559846878052,0.6699972152709961,0.6400055289268494,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.7666038274765015,0.4818955659866333,0.7300000190734863,0.7070814371109009,0.6474649310112,0.6558048725128174,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.5209132432937622,0.8243167996406555,0.43021154403686523,0.7606338858604431,0.7312160134315491,0.6363267302513123,0.6490880846977234,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.7907642126083374,0.49207359552383423,0.7014285922050476,0.7190204858779907,0.6455811858177185,0.6430932879447937,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,0.5657060146331787,0.8272351026535034,0.43869346380233765,0.7414512038230896,0.744405210018158,0.6352840065956116,0.6415414214134216,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.8096538782119751,0.5195260643959045,0.7771428823471069,0.7202579975128174,0.6766681671142578,0.6907391548156738,,,,,,,,,
0.001,0.001,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.4941197633743286,,,,,,,,
,,109,0.4359736144542694,0.8338282704353333,0.4512839913368225,0.7939950227737427,0.7262952923774719,0.6502016186714172,0.669437050819397,9,,,,,,,,,,,,,,,
,,109,,,,,,,,9,0.8176047801971436,0.51866614818573,0.727142870426178,0.7485925555229187,0.6669681072235107,0.6701363325119019,,,,,,,,,
0.001,0.001,110,,,,,,,,,,,,,,,,,,,,,,,
,,120,0.46597978472709656,0.8311147689819336,0.4606243669986725,0.7714762091636658,0.7277885675430298,0.6393713355064392,0.6548342704772949,10,,,,,,,,,,,,,,,
,,120,,,,,,,,10,0.827620267868042,0.5452330112457275,0.7428571581840515,0.7529847621917725,0.6738488674163818,0.6821103692054749,,,,,,,,,
0.001,0.001,121,,,,,,,,,,,,,,,,,,,,,,,
,,131,0.48871445655822754,0.8316494822502136,0.46082180738449097,0.7597998380661011,0.7404800057411194,0.6397387981414795,0.6521528959274292,11,,,,,,,,,,,,,,,
,,131,,,,,,,,11,0.8210543394088745,0.5202092528343201,0.7571428418159485,0.7483681440353394,0.6772363185882568,0.6898812651634216,,,,,,,,,
0.0001,0.0001,132,,,,,,,,,,,,,,,,,,,,,,,
,,142,0.4749413728713989,0.8328327536582947,0.4636765420436859,0.7681401371955872,0.7355934381484985,0.6410537362098694,0.655792772769928,12,,,,,,,,,,,,,,,
,,142,,,,,,,,12,0.8332242965698242,0.5440031290054321,0.7457143068313599,0.7547672986984253,0.6756682991981506,0.6846655607223511,,,,,,,,,
0.0001,0.0001,143,,,,,,,,,,,,,,,,,,,,,,,
