lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,0.661781370639801,0.62056565284729,0.22609272599220276,0.8523769974708557,0.5165824890136719,0.6125743389129639,0.5013146996498108,0,,,,,,,,,,,,,,,
,,9,,,,,,,,0,0.5356366634368896,0.15952152013778687,0.48500001430511475,0.5413389801979065,0.5207070708274841,0.4321783781051636,,,,,,,,,
0.001,0.001,10,,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6796519756317139,0.6962477564811707,0.2792709469795227,0.6738949418067932,0.6465060114860535,0.5780452489852905,0.5649511814117432,1,,,,,,,,,,,,,,,
,,19,,,,,,,,1,0.5747350454330444,0.19302500784397125,0.7116666436195374,0.5211736559867859,0.5154664516448975,0.5133865475654602,,,,,,,,,
0.001,0.001,20,,,,,,,,,,,,,,,,,,,,,,,
,,29,0.629703938961029,0.7170910835266113,0.30071210861206055,0.8048373460769653,0.6156136989593506,0.6093084216117859,0.612250804901123,2,,,,,,,,,,,,,,,
,,29,,,,,,,,2,0.6154466867446899,0.1928146481513977,0.6366666555404663,0.5489009618759155,0.5269527435302734,0.5066682696342468,,,,,,,,,
0.001,0.001,30,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6659741997718811,0.7164709568023682,0.30772683024406433,0.5629691481590271,0.647632360458374,0.5722575187683105,0.5041356682777405,3,,,,,,,,,,,,,,,
,,39,,,,,,,,3,0.6963097453117371,0.2918429970741272,0.8016666769981384,0.6501646637916565,0.626129150390625,0.6356678009033203,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.5814434289932251,,,,,,,,
,,49,0.6845079064369202,0.731813371181488,0.32847726345062256,0.5254378914833069,0.6525587439537048,0.5760591626167297,0.4823288917541504,4,,,,,,,,,,,,,,,
,,49,,,,,,,,4,0.7655888795852661,0.3556899428367615,0.6800000071525574,0.6935538053512573,0.6016784906387329,0.5876052379608154,,,,,,,,,
0.001,0.001,50,,,,,,,,,,,,,,,,,,,,,,,
,,59,0.9105564951896667,0.7528045177459717,0.34570077061653137,0.3386155068874359,0.589923620223999,0.5656675696372986,0.3353533148765564,5,,,,,,,,,,,,,,,
,,59,,,,,,,,5,0.7482019066810608,0.3345247805118561,0.7566666603088379,0.6668010950088501,0.6088520288467407,0.6197916865348816,,,,,,,,,
