lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,10,0.7089788317680359,0.5606548190116882,0.564838171005249,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,10,,,,,,,,0,0.4740022122859955,0.05091627687215805,0.8128571510314941,0.47936874628067017,0.49142134189605713,0.4768340587615967,,,,,,,,,
0.001,0.001,11,,,,,,,,,,,,,,,,,,,,,,,
,,21,0.6941841840744019,0.6462105512619019,0.6462410688400269,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,21,,,,,,,,1,0.5213865041732788,0.062046099454164505,0.6171428561210632,0.49992048740386963,0.49998247623443604,0.4259204864501953,,,,,,,,,
0.001,0.001,22,,,,,,,,,,,,,,,,,,,,,,,
,,32,0.7093973159790039,0.702401876449585,0.702120304107666,0.5,0.5,nan,0.3333333432674408,2,,,,,,,,,,,,,,,
,,32,,,,,,,,2,0.5323183536529541,0.0602010115981102,0.7757142782211304,0.4845364987850189,0.4947812557220459,0.4717336893081665,,,,,,,,,
0.001,0.001,33,,,,,,,,,,,,,,,,,,,,,,,
,,43,0.693727433681488,0.7001541256904602,0.6942938566207886,0.5,0.5,nan,0.3333333432674408,3,,,,,,,,,,,,,,,
,,43,,,,,,,,3,0.467323899269104,0.053874313831329346,0.7685714364051819,0.4559548497200012,0.4852219223976135,0.4576757550239563,,,,,,,,,
0.001,0.001,44,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,4,,,,,,,0.687578022480011,,,,,,,,
,,54,0.6975516080856323,0.6974144577980042,0.7002418041229248,0.5,0.5,nan,0.3333333432674408,4,,,,,,,,,,,,,,,
,,54,,,,,,,,4,0.5979885458946228,0.07488872855901718,0.8471428751945496,0.5223008394241333,0.5111888647079468,0.5086559057235718,,,,,,,,,
0.001,0.001,55,,,,,,,,,,,,,,,,,,,,,,,
,,65,0.6960152387619019,0.7059776782989502,0.7036283016204834,0.5016694664955139,0.5016694664955139,0.7504180669784546,0.3370325267314911,5,,,,,,,,,,,,,,,
,,65,,,,,,,,5,0.579305112361908,0.09371013939380646,0.8585714101791382,0.5035378932952881,0.502044141292572,0.49910011887550354,,,,,,,,,
0.001,0.001,66,,,,,,,,,,,,,,,,,,,,,,,
,,76,0.6763014197349548,0.7165253162384033,0.7110171318054199,0.5484140515327454,0.5484140515327454,0.6988438367843628,0.443084180355072,6,,,,,,,,,,,,,,,
,,76,,,,,,,,6,0.6547940969467163,0.12060903757810593,0.8657143115997314,0.6065351963043213,0.5540322661399841,0.5650334358215332,,,,,,,,,
0.001,0.001,77,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.672918975353241,0.7228924036026001,0.7208644151687622,0.5734557509422302,0.5734557509422302,0.6951255798339844,0.49468374252319336,7,,,,,,,,,,,,,,,
,,87,,,,,,,,7,0.7088965177536011,0.16740819811820984,0.8100000023841858,0.6390920877456665,0.5475026965141296,0.5478628873825073,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,98,0.6342192888259888,0.7460361123085022,0.7485379576683044,0.6585976481437683,0.6585976481437683,0.6830684542655945,0.6467943787574768,8,,,,,,,,,,,,,,,
,,98,,,,,,,,8,0.6712116003036499,0.10223148763179779,0.7942857146263123,0.6059787273406982,0.5347570180892944,0.527479350566864,,,,,,,,,
0.001,0.001,99,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,9,,,,,,,0.5521824359893799,,,,,,,,
,,109,0.6090534329414368,0.7744404077529907,0.7723370790481567,0.6936560869216919,0.6936560869216919,0.7064290046691895,0.6888428330421448,9,,,,,,,,,,,,,,,
