lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.6944117546081543,0.5146515369415283,0.514637291431427,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.46059179306030273,0.09562843292951584,0.4580000042915344,0.47676992416381836,0.4918786883354187,0.37626299262046814,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.7011148929595947,0.5489477515220642,0.5479813814163208,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.44095686078071594,0.08332769572734833,0.8040000200271606,0.4912426471710205,0.49280300736427307,0.4913635551929474,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6966067552566528,0.6137970685958862,0.5934405326843262,0.5,0.5,nan,0.3333333432674408,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.5651271939277649,0.11829729378223419,0.8700000047683716,0.4998156428337097,0.499602347612381,0.49407678842544556,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6929824948310852,0.61025470495224,0.5814977884292603,0.5,0.5,0.5,0.3348115384578705,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.5892330408096313,0.1461862474679947,0.7099999785423279,0.5509771108627319,0.5228800773620605,0.5066651105880737,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.689392626285553,0.6408830881118774,0.619590163230896,0.5166944861412048,0.5166944861412048,0.6431918144226074,0.3796992301940918,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.6154590845108032,0.13693253695964813,0.7580000162124634,0.5495944023132324,0.5267004370689392,0.5228669047355652,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.6834953427314758,0.660873293876648,0.6416996717453003,0.5534223914146423,0.5534223914146423,0.6075789928436279,0.4891274571418762,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.6799870729446411,0.18963170051574707,0.8199999928474426,0.5466445684432983,0.5372661352157593,0.5403473377227783,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.6696785092353821,,,,,,,,
,,55,0.6809819340705872,0.6879384517669678,0.6698046922683716,0.5350584387779236,0.5350584387779236,0.6512335538864136,0.4245446026325226,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.7134034037590027,0.1770169734954834,0.7720000147819519,0.6318215131759644,0.5666666626930237,0.5715445280075073,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.668032169342041,0.7142413258552551,0.6993345618247986,0.581803023815155,0.5818029642105103,0.6587295532226562,0.5241490006446838,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.7892699241638184,0.24947647750377655,0.8560000061988831,0.5944874882698059,0.5911110639572144,0.5927417278289795,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.6596691608428955,0.7328909635543823,0.7192070484161377,0.6427379250526428,0.642737865447998,0.678462028503418,0.6239170432090759,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.8189067244529724,0.26485544443130493,0.8080000281333923,0.7262167930603027,0.6159297227859497,0.6354356408119202,,,,,,,,,
0.001,0.001,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.7793305516242981,0.7532309293746948,0.7434930801391602,0.6544240117073059,0.6544240713119507,0.7061283588409424,0.6313034892082214,9,,,,,,,,,,,,,,,
