lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,
,,7,0.7172890901565552,0.5286969542503357,0.5210745334625244,0.5,0.5,nan,0.3333333432674408,0,,,,,,,,,,,,,,,
,,7,,,,,,,,0,0.49422943592071533,0.01836351677775383,0.7960000038146973,0.40529531240463257,0.488943487405777,0.44320711493492126,,,,,,,,,
0.001,0.001,8,,,,,,,,,,,,,,,,,,,,,,,
,,15,0.7537832856178284,0.5626350045204163,0.5573955774307251,0.5,0.5,nan,0.3333333432674408,1,,,,,,,,,,,,,,,
,,15,,,,,,,,1,0.5234216451644897,0.028266839683055878,0.9700000286102295,0.49389001727104187,0.4908906817436218,0.49238577485084534,,,,,,,,,
0.001,0.001,16,,,,,,,,,,,,,,,,,,,,,,,
,,23,0.7676711678504944,0.5990563035011292,0.5985154509544373,0.5,0.5,nan,0.3333333432674408,2,,,,,,,,,,,,,,,
,,23,,,,,,,,2,0.5469563007354736,0.020321279764175415,0.9819999933242798,0.5,nan,0.4954591393470764,,,,,,,,,
0.001,0.001,24,,,,,,,,,,,,,,,,,,,,,,,
,,31,0.782450795173645,0.616871178150177,0.6156619191169739,0.5,0.5,nan,0.3333333432674408,3,,,,,,,,,,,,,,,
,,31,,,,,,,,3,0.5236479043960571,0.02507922798395157,0.9819999933242798,0.5,nan,0.4954591393470764,,,,,,,,,
0.001,0.001,32,,,,,,,,,,,,,,,,,,,,,,,
,,39,0.7101591229438782,0.6422766447067261,0.6393371820449829,0.5,0.5,nan,0.3333333432674408,4,,,,,,,,,,,,,,,
,,39,,,,,,,,4,0.569585919380188,0.022147344425320625,0.9779999852180481,0.4979633390903473,0.4909638464450836,0.4944388270378113,,,,,,,,,
0.001,0.001,40,,,,,,,,,,,,,,,,,,,,,,,
,,47,0.715290904045105,0.6505333185195923,0.64753657579422,0.5,0.5,nan,0.3333333432674408,5,,,,,,,,,,,,,,,
,,47,,,,,,,,5,0.7927132844924927,0.12320848554372787,0.9739999771118164,0.5504639148712158,0.5752361416816711,0.5600677132606506,,,,,,,,,
0.001,0.001,48,,,,,,,,,,,,,,,,,,,,,,,
,,49,,,,,,,,6,,,,,,,0.6896947026252747,,,,,,,,
,,55,0.6920492649078369,0.6693264245986938,0.6631777286529541,0.49916526675224304,0.49916526675224304,0.24979114532470703,0.33296212553977966,6,,,,,,,,,,,,,,,
,,55,,,,,,,,6,0.5747907161712646,0.08171810954809189,0.9440000057220459,0.5351889729499817,0.5154588222503662,0.5189003348350525,,,,,,,,,
0.001,0.001,56,,,,,,,,,,,,,,,,,,,,,,,
,,63,0.714546799659729,0.672885537147522,0.6701368093490601,0.5,0.5,nan,0.3333333432674408,7,,,,,,,,,,,,,,,
,,63,,,,,,,,7,0.5460511445999146,0.037538353353738785,0.9520000219345093,0.5392622947692871,0.5211302042007446,0.5261412262916565,,,,,,,,,
0.001,0.001,64,,,,,,,,,,,,,,,,,,,,,,,
,,71,0.7244994044303894,0.6645981669425964,0.667733907699585,0.5008347034454346,0.5008347034454346,0.750208854675293,0.33518558740615845,8,,,,,,,,,,,,,,,
,,71,,,,,,,,8,0.7266350388526917,0.20080481469631195,0.9639999866485596,0.6544467210769653,0.5938144326210022,0.6157786846160889,,,,,,,,,
0.001,0.001,72,,,,,,,,,,,,,,,,,,,,,,,
,,79,0.6713725924491882,0.6760683059692383,0.6823953986167908,0.6085141897201538,0.6085141897201538,0.6485614776611328,0.5802247524261475,9,,,,,,,,,,,,,,,
,,79,,,,,,,,9,0.7621634006500244,0.056130677461624146,0.9459999799728394,0.5907444953918457,0.53813236951828,0.5505841970443726,,,,,,,,,
0.001,0.001,80,,,,,,,,,,,,,,,,,,,,,,,
,,87,0.6598281264305115,0.6791731119155884,0.6874511241912842,0.6235392093658447,0.6235392093658447,0.6238709688186646,0.6232869625091553,10,,,,,,,,,,,,,,,
,,87,,,,,,,,10,0.7440597414970398,0.08165252208709717,0.8920000195503235,0.6177868247032166,0.52273029088974,0.521276593208313,,,,,,,,,
0.001,0.001,88,,,,,,,,,,,,,,,,,,,,,,,
,,95,0.669678270816803,0.6901792287826538,0.6988076567649841,0.6202003359794617,0.6202003359794617,0.6202757358551025,0.620140790939331,11,,,,,,,,,,,,,,,
,,95,,,,,,,,11,0.8316361308097839,0.10408052057027817,0.8560000061988831,0.708531379699707,0.5295627117156982,0.5217599272727966,,,,,,,,,
0.0001,0.0001,96,,,,,,,,,,,,,,,,,,,,,,,
,,99,,,,,,,,12,,,,,,,0.4393962621688843,,,,,,,,
,,103,0.6729590892791748,0.6908620595932007,0.6994220018386841,0.6176961660385132,0.6176961660385132,0.6178551316261292,0.6175671815872192,12,,,,,,,,,,,,,,,
,,103,,,,,,,,12,0.8834577798843384,0.0783417597413063,0.8379999995231628,0.8084408044815063,0.5382822155952454,0.5289328098297119,,,,,,,,,
0.0001,0.0001,104,,,,,,,,,,,,,,,,,,,,,,,
,,111,0.6746919751167297,0.69261234998703,0.7009605169296265,0.6193656325340271,0.6193655729293823,0.6199002861976624,0.6189408302307129,13,,,,,,,,,,,,,,,
,,111,,,,,,,,13,0.872143030166626,0.07988990843296051,0.8159999847412109,0.7427020072937012,0.5278752446174622,0.5063530206680298,,,,,,,,,
0.0001,0.0001,112,,,,,,,,,,,,,,,,,,,,,,,
,,119,0.6816439628601074,0.6939640641212463,0.7023301720619202,0.6218698024749756,0.6218698024749756,0.6219462156295776,0.6218104362487793,14,,,,,,,,,,,,,,,
,,119,,,,,,,,14,0.9040507078170776,0.11404788494110107,0.8320000171661377,0.8599230647087097,0.5427335500717163,0.5333333611488342,,,,,,,,,
0.0001,0.0001,120,,,,,,,,,,,,,,,,,,,,,,,
